run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,88.33,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,92.5,97.08,0.0,0.0,0.0,0.0
0,1,1,92.5,96.25,0.0,0.0,0.0,0.0
0,1,2,92.5,100.0,0.0,0.0,0.0,0.0
0,2,0,100.0,86.67,92.5,0.0,0.0,0.0
0,2,1,99.58,85.83,100.0,0.0,0.0,0.0
0,2,2,99.58,86.67,100.0,0.0,0.0,0.0
0,3,0,94.58,89.58,91.25,87.5,0.0,0.0
0,3,1,100.0,92.08,74.58,95.83,0.0,0.0
0,3,2,100.0,92.92,74.17,96.25,0.0,0.0
0,4,0,97.08,87.5,99.58,84.17,84.58,0.0
0,4,1,96.67,85.42,90.42,64.17,90.0,0.0
0,4,2,87.5,92.5,58.75,59.58,95.42,0.0
0,5,0,99.58,75.0,95.83,85.42,87.92,85.83
0,5,1,99.17,75.0,62.5,91.25,87.92,95.83
0,5,2,96.67,71.25,77.92,90.0,91.25,97.92
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,86.25,97.5,0.0,0.0,0.0,0.0
1,1,1,75.0,98.75,0.0,0.0,0.0,0.0
1,1,2,75.83,100.0,0.0,0.0,0.0,0.0
1,2,0,62.5,92.92,70.42,0.0,0.0,0.0
1,2,1,78.75,87.92,85.42,0.0,0.0,0.0
1,2,2,70.42,86.67,100.0,0.0,0.0,0.0
1,3,0,67.08,92.08,86.25,67.08,0.0,0.0
1,3,1,70.42,77.08,81.25,89.17,0.0,0.0
1,3,2,70.0,79.58,80.42,90.83,0.0,0.0
1,4,0,74.17,82.08,78.33,75.0,99.17,0.0
1,4,1,75.42,85.83,85.83,73.33,99.58,0.0
1,4,2,75.83,86.67,88.33,79.17,100.0,0.0
1,5,0,76.67,88.33,82.92,78.75,99.58,98.33
1,5,1,77.08,88.75,82.92,78.75,99.58,98.33
1,5,2,76.67,87.5,84.58,78.75,98.75,98.75
2,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2,0,1,100.0,0.0,0.0,0.0,0.0,0.0
2,0,2,100.0,0.0,0.0,0.0,0.0,0.0
2,1,0,87.08,99.58,0.0,0.0,0.0,0.0
2,1,1,88.33,99.58,0.0,0.0,0.0,0.0
2,1,2,89.17,99.58,0.0,0.0,0.0,0.0
2,2,0,70.0,93.33,97.92,0.0,0.0,0.0
2,2,1,55.83,97.5,97.92,0.0,0.0,0.0
2,2,2,56.25,97.5,97.92,0.0,0.0,0.0
2,3,0,66.67,97.08,82.08,86.67,0.0,0.0
2,3,1,75.42,96.67,96.25,93.33,0.0,0.0
2,3,2,83.75,99.17,95.83,95.83,0.0,0.0
2,4,0,87.5,96.67,79.58,65.83,92.08,0.0
2,4,1,90.0,99.17,84.58,93.75,100.0,0.0
2,4,2,87.92,99.17,81.25,93.75,99.58,0.0
2,5,0,80.0,97.92,80.0,92.5,97.5,100.0
2,5,1,80.0,97.92,79.58,92.08,97.5,100.0
2,5,2,80.0,97.92,79.58,92.5,97.08,100.0
3,0,0,52.92,0.0,0.0,0.0,0.0,0.0
3,0,1,95.83,0.0,0.0,0.0,0.0,0.0
3,0,2,99.17,0.0,0.0,0.0,0.0,0.0
3,1,0,80.42,92.92,0.0,0.0,0.0,0.0
3,1,1,82.92,92.92,0.0,0.0,0.0,0.0
3,1,2,85.42,91.67,0.0,0.0,0.0,0.0
3,2,0,84.17,72.08,100.0,0.0,0.0,0.0
3,2,1,85.42,72.92,100.0,0.0,0.0,0.0
3,2,2,86.25,72.92,100.0,0.0,0.0,0.0
3,3,0,82.92,76.25,100.0,93.75,0.0,0.0
3,3,1,82.5,76.25,100.0,93.33,0.0,0.0
3,3,2,87.5,80.42,100.0,100.0,0.0,0.0
3,4,0,80.83,74.17,99.17,89.17,95.42,0.0
3,4,1,75.0,68.75,100.0,97.5,99.58,0.0
3,4,2,75.0,68.75,100.0,97.5,99.58,0.0
3,5,0,80.42,53.75,99.17,81.67,73.33,73.33
3,5,1,80.42,54.17,99.17,83.75,75.42,73.33
3,5,2,79.58,54.58,99.17,84.17,79.17,72.5
4,0,0,57.5,0.0,0.0,0.0,0.0,0.0
4,0,1,97.92,0.0,0.0,0.0,0.0,0.0
4,0,2,97.5,0.0,0.0,0.0,0.0,0.0
4,1,0,63.33,59.58,0.0,0.0,0.0,0.0
4,1,1,94.58,80.83,0.0,0.0,0.0,0.0
4,1,2,89.58,82.92,0.0,0.0,0.0,0.0
4,2,0,93.75,67.92,91.25,0.0,0.0,0.0
4,2,1,48.75,71.25,99.58,0.0,0.0,0.0
4,2,2,52.5,71.25,99.58,0.0,0.0,0.0
4,3,0,89.58,75.83,75.0,100.0,0.0,0.0
4,3,1,90.0,75.0,75.0,99.58,0.0,0.0
4,3,2,91.67,67.92,65.0,100.0,0.0,0.0
4,4,0,89.17,60.42,78.33,94.17,100.0,0.0
4,4,1,89.58,60.83,80.83,93.75,100.0,0.0
4,4,2,87.5,69.58,77.08,97.08,100.0,0.0
4,5,0,89.17,67.92,84.58,98.75,100.0,99.58
4,5,1,85.42,60.0,84.58,100.0,100.0,99.58
4,5,2,89.58,65.42,87.08,100.0,100.0,99.58
