run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,68.33,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,100.0,89.58,0.0,0.0,0.0,0.0
0,1,1,90.83,97.5,0.0,0.0,0.0,0.0
0,1,2,91.67,97.92,0.0,0.0,0.0,0.0
0,2,0,90.83,75.0,89.17,0.0,0.0,0.0
0,2,1,86.25,77.5,99.17,0.0,0.0,0.0
0,2,2,85.83,79.17,99.17,0.0,0.0,0.0
0,3,0,92.5,94.17,60.83,35.0,0.0,0.0
0,3,1,92.92,86.25,89.58,97.5,0.0,0.0
0,3,2,95.83,84.58,91.25,99.17,0.0,0.0
0,4,0,100.0,82.92,96.25,85.42,96.25,0.0
0,4,1,100.0,82.92,96.25,85.42,96.25,0.0
0,4,2,100.0,82.92,96.25,85.42,96.25,0.0
0,5,0,99.58,62.92,96.25,84.17,91.67,87.5
0,5,1,99.58,69.58,80.0,85.42,96.25,100.0
0,5,2,99.58,68.33,73.75,85.42,95.83,100.0
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,81.67,100.0,0.0,0.0,0.0,0.0
1,1,1,63.75,100.0,0.0,0.0,0.0,0.0
1,1,2,80.83,100.0,0.0,0.0,0.0,0.0
1,2,0,36.67,84.17,77.92,0.0,0.0,0.0
1,2,1,70.0,72.92,100.0,0.0,0.0,0.0
1,2,2,70.42,74.58,100.0,0.0,0.0,0.0
1,3,0,70.42,85.0,79.58,69.17,0.0,0.0
1,3,1,58.75,81.67,68.33,85.83,0.0,0.0
1,3,2,69.58,76.25,76.67,91.67,0.0,0.0
1,4,0,82.5,98.75,84.58,56.25,100.0,0.0
1,4,1,82.92,98.75,87.08,57.08,100.0,0.0
1,4,2,83.75,98.75,87.92,57.5,100.0,0.0
1,5,0,71.67,90.42,89.58,69.17,65.83,100.0
1,5,1,80.42,88.33,91.67,77.92,91.25,100.0
1,5,2,80.0,88.33,90.83,78.75,96.25,100.0
2,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2,0,1,100.0,0.0,0.0,0.0,0.0,0.0
2,0,2,100.0,0.0,0.0,0.0,0.0,0.0
2,1,0,92.08,100.0,0.0,0.0,0.0,0.0
2,1,1,91.67,100.0,0.0,0.0,0.0,0.0
2,1,2,89.58,100.0,0.0,0.0,0.0,0.0
2,2,0,85.0,70.83,95.42,0.0,0.0,0.0
2,2,1,85.83,72.08,93.75,0.0,0.0,0.0
2,2,2,86.25,72.5,92.92,0.0,0.0,0.0
2,3,0,83.75,77.08,70.42,64.17,0.0,0.0
2,3,1,76.67,92.92,88.33,75.83,0.0,0.0
2,3,2,80.42,90.83,90.0,89.58,0.0,0.0
2,4,0,85.0,85.42,70.42,82.5,94.58,0.0
2,4,1,84.17,84.58,70.42,81.25,94.58,0.0
2,4,2,76.67,92.5,64.58,77.08,99.58,0.0
2,5,0,71.67,95.42,79.58,76.67,94.58,100.0
2,5,1,72.08,94.58,80.42,77.5,94.58,100.0
2,5,2,72.92,95.0,79.58,78.33,94.58,100.0
3,0,0,89.58,0.0,0.0,0.0,0.0,0.0
3,0,1,99.17,0.0,0.0,0.0,0.0,0.0
3,0,2,99.17,0.0,0.0,0.0,0.0,0.0
3,1,0,88.33,91.67,0.0,0.0,0.0,0.0
3,1,1,89.17,97.92,0.0,0.0,0.0,0.0
3,1,2,89.17,97.5,0.0,0.0,0.0,0.0
3,2,0,93.33,90.42,100.0,0.0,0.0,0.0
3,2,1,92.5,88.33,100.0,0.0,0.0,0.0
3,2,2,92.5,88.33,100.0,0.0,0.0,0.0
3,3,0,69.17,79.17,87.92,98.33,0.0,0.0
3,3,1,89.58,82.92,95.0,100.0,0.0,0.0
3,3,2,89.58,83.33,95.0,100.0,0.0,0.0
3,4,0,72.5,78.33,95.42,90.42,97.92,0.0
3,4,1,77.5,57.92,95.42,91.67,99.58,0.0
3,4,2,77.92,58.75,95.42,91.67,99.58,0.0
3,5,0,76.67,49.58,95.0,51.67,98.33,69.17
3,5,1,55.83,55.83,95.42,67.08,80.83,82.92
3,5,2,62.5,57.92,95.42,84.58,90.83,93.75
4,0,0,90.83,0.0,0.0,0.0,0.0,0.0
4,0,1,72.92,0.0,0.0,0.0,0.0,0.0
4,0,2,98.33,0.0,0.0,0.0,0.0,0.0
4,1,0,95.83,93.75,0.0,0.0,0.0,0.0
4,1,1,84.17,94.17,0.0,0.0,0.0,0.0
4,1,2,60.0,96.67,0.0,0.0,0.0,0.0
4,2,0,67.5,85.0,80.42,0.0,0.0,0.0
4,2,1,42.08,75.83,100.0,0.0,0.0,0.0
4,2,2,43.75,82.92,100.0,0.0,0.0,0.0
4,3,0,63.75,89.17,95.83,97.92,0.0,0.0
4,3,1,67.08,92.08,91.25,100.0,0.0,0.0
4,3,2,67.08,92.08,91.25,100.0,0.0,0.0
4,4,0,57.08,81.67,88.33,97.92,90.0,0.0
4,4,1,84.17,81.67,90.83,97.5,100.0,0.0
4,4,2,85.83,80.83,90.83,97.5,100.0,0.0
4,5,0,87.08,85.0,92.08,100.0,100.0,99.17
4,5,1,81.25,85.42,88.33,100.0,100.0,100.0
4,5,2,82.92,84.58,88.33,100.0,100.0,100.0
