run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,0,3,100.0,0.0,0.0,0.0,0.0,0.0
0,0,4,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,93.89,98.75,0.0,0.0,0.0,0.0
0,1,1,100.0,100.0,0.0,0.0,0.0,0.0
0,1,2,100.0,100.0,0.0,0.0,0.0,0.0
0,1,3,100.0,100.0,0.0,0.0,0.0,0.0
0,1,4,100.0,100.0,0.0,0.0,0.0,0.0
0,2,0,100.0,82.92,75.83,0.0,0.0,0.0
0,2,1,100.0,94.17,98.75,0.0,0.0,0.0
0,2,2,100.0,94.58,98.75,0.0,0.0,0.0
0,2,3,100.0,94.58,99.17,0.0,0.0,0.0
0,2,4,100.0,97.5,99.17,0.0,0.0,0.0
0,3,0,99.44,92.5,93.75,55.83,0.0,0.0
0,3,1,78.89,86.67,98.75,91.67,0.0,0.0
0,3,2,78.89,87.08,98.75,94.58,0.0,0.0
0,3,3,94.44,90.0,98.75,95.0,0.0,0.0
0,3,4,94.44,90.0,98.75,95.42,0.0,0.0
0,4,0,99.44,94.58,94.17,34.17,75.83,0.0
0,4,1,100.0,92.08,99.17,96.25,97.5,0.0
0,4,2,100.0,88.75,84.58,92.5,99.17,0.0
0,4,3,100.0,89.17,86.67,93.75,99.17,0.0
0,4,4,100.0,89.17,88.75,94.17,99.17,0.0
0,5,0,100.0,83.75,80.0,77.08,94.58,82.08
0,5,1,99.44,80.0,88.75,90.83,97.5,99.58
0,5,2,100.0,77.08,92.92,93.75,98.75,100.0
0,5,3,100.0,77.5,92.92,94.17,98.75,100.0
0,5,4,99.44,77.92,92.92,94.17,98.75,100.0
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,0,3,100.0,0.0,0.0,0.0,0.0,0.0
1,0,4,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,71.11,84.58,0.0,0.0,0.0,0.0
1,1,1,100.0,100.0,0.0,0.0,0.0,0.0
1,1,2,100.0,100.0,0.0,0.0,0.0,0.0
1,1,3,100.0,100.0,0.0,0.0,0.0,0.0
1,1,4,100.0,100.0,0.0,0.0,0.0,0.0
1,2,0,55.56,89.17,97.92,0.0,0.0,0.0
1,2,1,98.89,99.58,99.58,0.0,0.0,0.0
1,2,2,97.78,99.58,99.58,0.0,0.0,0.0
1,2,3,97.78,99.58,99.58,0.0,0.0,0.0
1,2,4,98.89,99.58,99.58,0.0,0.0,0.0
1,3,0,96.11,91.67,96.25,71.25,0.0,0.0
1,3,1,96.67,92.08,96.67,70.83,0.0,0.0
1,3,2,96.67,92.08,96.67,70.83,0.0,0.0
1,3,3,98.89,99.58,100.0,84.17,0.0,0.0
1,3,4,99.44,99.58,92.5,88.75,0.0,0.0
1,4,0,98.89,99.58,99.17,91.25,97.08,0.0
1,4,1,98.89,99.58,98.75,90.42,97.08,0.0
1,4,2,98.89,99.58,98.75,90.0,97.08,0.0
1,4,3,99.44,99.58,94.58,92.08,98.33,0.0
1,4,4,99.44,99.58,94.58,92.08,98.33,0.0
1,5,0,100.0,99.58,94.17,82.92,95.83,95.83
