run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,0,3,100.0,0.0,0.0,0.0,0.0,0.0
0,0,4,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,100.0,98.33,0.0,0.0,0.0,0.0
0,1,1,100.0,98.33,0.0,0.0,0.0,0.0
0,1,2,100.0,98.33,0.0,0.0,0.0,0.0
0,1,3,100.0,97.92,0.0,0.0,0.0,0.0
0,1,4,100.0,97.5,0.0,0.0,0.0,0.0
0,2,0,100.0,87.92,60.42,0.0,0.0,0.0
0,2,1,100.0,96.25,99.58,0.0,0.0,0.0
0,2,2,100.0,96.25,99.58,0.0,0.0,0.0
0,2,3,100.0,96.25,99.58,0.0,0.0,0.0
0,2,4,100.0,96.25,99.58,0.0,0.0,0.0
0,3,0,99.44,94.17,93.33,84.58,0.0,0.0
0,3,1,100.0,92.5,90.42,96.67,0.0,0.0
0,3,2,100.0,93.33,95.83,99.17,0.0,0.0
0,3,3,100.0,91.25,97.08,98.75,0.0,0.0
0,3,4,100.0,90.42,97.08,98.75,0.0,0.0
0,4,0,100.0,95.0,87.08,91.25,91.67,0.0
0,4,1,100.0,97.08,86.67,95.83,100.0,0.0
0,4,2,100.0,97.08,87.08,95.83,100.0,0.0
0,4,3,100.0,97.08,87.08,95.42,99.58,0.0
0,4,4,100.0,97.08,87.08,95.42,100.0,0.0
0,5,0,100.0,73.75,82.5,95.0,98.75,89.17
0,5,1,99.44,78.75,79.17,92.5,98.75,99.58
0,5,2,99.44,78.75,79.17,92.92,98.75,99.58
0,5,3,99.44,78.75,79.17,92.92,98.75,99.58
0,5,4,99.44,78.75,79.17,92.5,98.33,99.58
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,0,3,100.0,0.0,0.0,0.0,0.0,0.0
1,0,4,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,93.89,96.67,0.0,0.0,0.0,0.0
1,1,1,99.44,100.0,0.0,0.0,0.0,0.0
1,1,2,99.44,100.0,0.0,0.0,0.0,0.0
1,1,3,100.0,100.0,0.0,0.0,0.0,0.0
1,1,4,100.0,100.0,0.0,0.0,0.0,0.0
1,2,0,97.22,97.92,86.67,0.0,0.0,0.0
1,2,1,98.89,99.58,100.0,0.0,0.0,0.0
1,2,2,98.89,99.58,100.0,0.0,0.0,0.0
1,2,3,98.89,99.17,100.0,0.0,0.0,0.0
1,2,4,98.89,99.58,100.0,0.0,0.0,0.0
1,3,0,100.0,98.33,95.0,83.33,0.0,0.0
1,3,1,99.44,95.83,92.92,90.83,0.0,0.0
1,3,2,99.44,95.83,95.42,92.08,0.0,0.0
1,3,3,99.44,95.83,95.83,92.08,0.0,0.0
1,3,4,99.44,95.83,95.83,92.5,0.0,0.0
1,4,0,100.0,99.58,77.5,85.83,96.67,0.0
1,4,1,100.0,99.58,78.33,86.25,96.25,0.0
1,4,2,100.0,99.58,88.33,92.5,97.5,0.0
1,4,3,100.0,99.58,88.33,92.5,97.92,0.0
1,4,4,100.0,99.58,88.33,92.5,97.92,0.0
1,5,0,100.0,99.58,89.58,90.0,96.67,99.58
