run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,0,3,100.0,0.0,0.0,0.0,0.0,0.0
0,0,4,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,100.0,64.17,0.0,0.0,0.0,0.0
0,1,1,98.89,98.33,0.0,0.0,0.0,0.0
0,1,2,100.0,100.0,0.0,0.0,0.0,0.0
0,1,3,100.0,99.17,0.0,0.0,0.0,0.0
0,1,4,100.0,99.17,0.0,0.0,0.0,0.0
0,2,0,100.0,94.17,70.0,0.0,0.0,0.0
0,2,1,100.0,96.67,94.17,0.0,0.0,0.0
0,2,2,100.0,94.17,95.0,0.0,0.0,0.0
0,2,3,100.0,92.5,99.17,0.0,0.0,0.0
0,2,4,100.0,93.75,98.75,0.0,0.0,0.0
0,3,0,100.0,83.33,96.67,81.67,0.0,0.0
0,3,1,100.0,86.25,98.33,98.75,0.0,0.0
0,3,2,100.0,88.33,98.33,99.58,0.0,0.0
0,3,3,100.0,88.33,98.33,99.58,0.0,0.0
0,3,4,100.0,88.33,98.33,99.58,0.0,0.0
0,4,0,100.0,89.58,95.0,92.92,95.42,0.0
0,4,1,100.0,85.42,95.0,95.83,98.33,0.0
0,4,2,100.0,85.42,95.0,95.83,98.33,0.0
0,4,3,100.0,85.83,95.0,96.25,98.33,0.0
0,4,4,100.0,86.67,95.0,95.83,98.75,0.0
0,5,0,100.0,82.08,84.58,90.0,95.83,91.67
0,5,1,100.0,81.25,86.67,86.67,97.5,99.17
0,5,2,100.0,78.33,90.0,90.0,97.5,99.58
0,5,3,100.0,78.33,90.0,90.0,97.5,99.58
0,5,4,100.0,78.33,90.0,90.0,97.5,99.58
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,0,3,100.0,0.0,0.0,0.0,0.0,0.0
1,0,4,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,96.67,94.17,0.0,0.0,0.0,0.0
1,1,1,100.0,100.0,0.0,0.0,0.0,0.0
1,1,2,100.0,100.0,0.0,0.0,0.0,0.0
1,1,3,100.0,100.0,0.0,0.0,0.0,0.0
1,1,4,100.0,100.0,0.0,0.0,0.0,0.0
1,2,0,98.89,99.58,95.0,0.0,0.0,0.0
1,2,1,96.11,98.33,99.58,0.0,0.0,0.0
1,2,2,96.11,98.33,99.58,0.0,0.0,0.0
1,2,3,95.0,97.92,100.0,0.0,0.0,0.0
1,2,4,97.78,99.58,100.0,0.0,0.0,0.0
1,3,0,98.33,87.5,85.83,75.0,0.0,0.0
1,3,1,98.33,87.92,86.67,76.25,0.0,0.0
1,3,2,98.33,87.92,87.5,77.08,0.0,0.0
1,3,3,98.33,87.92,88.33,78.75,0.0,0.0
1,3,4,98.33,87.92,91.25,79.58,0.0,0.0
1,4,0,99.44,99.58,94.58,74.58,90.83,0.0
1,4,1,98.33,99.58,87.08,85.0,98.33,0.0
1,4,2,98.89,99.58,87.5,85.42,97.5,0.0
1,4,3,98.89,99.58,87.08,85.83,97.92,0.0
1,4,4,98.89,99.17,87.92,85.83,97.5,0.0
1,5,0,99.44,100.0,95.0,82.5,85.0,93.75
