run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,0,3,100.0,0.0,0.0,0.0,0.0,0.0
0,0,4,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,100.0,99.58,0.0,0.0,0.0,0.0
0,1,1,100.0,100.0,0.0,0.0,0.0,0.0
0,1,2,100.0,99.58,0.0,0.0,0.0,0.0
0,1,3,100.0,99.58,0.0,0.0,0.0,0.0
0,1,4,100.0,99.17,0.0,0.0,0.0,0.0
0,2,0,100.0,99.17,48.75,0.0,0.0,0.0
0,2,1,100.0,95.42,70.42,0.0,0.0,0.0
0,2,2,100.0,96.25,94.58,0.0,0.0,0.0
0,2,3,100.0,98.75,98.75,0.0,0.0,0.0
0,2,4,100.0,98.75,98.75,0.0,0.0,0.0
0,3,0,98.89,95.0,82.92,65.83,0.0,0.0
0,3,1,98.89,91.25,89.58,90.83,0.0,0.0
0,3,2,98.89,91.25,90.0,91.25,0.0,0.0
0,3,3,97.22,93.33,97.92,92.08,0.0,0.0
0,3,4,98.33,92.92,98.33,92.92,0.0,0.0
0,4,0,100.0,95.42,88.33,84.58,76.25,0.0
0,4,1,100.0,96.25,75.0,87.92,95.42,0.0
0,4,2,100.0,87.92,61.67,87.08,98.33,0.0
0,4,3,100.0,87.92,61.67,87.08,98.75,0.0
0,4,4,100.0,89.58,62.08,87.5,98.75,0.0
0,5,0,100.0,70.83,75.0,82.5,95.0,93.75
0,5,1,100.0,81.67,75.42,85.42,97.08,100.0
0,5,2,100.0,82.08,75.42,85.42,97.08,100.0
0,5,3,100.0,82.5,75.42,85.42,97.08,100.0
0,5,4,100.0,83.33,75.42,86.25,97.92,100.0
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,0,3,100.0,0.0,0.0,0.0,0.0,0.0
1,0,4,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,91.67,92.5,0.0,0.0,0.0,0.0
1,1,1,96.67,97.92,0.0,0.0,0.0,0.0
1,1,2,100.0,100.0,0.0,0.0,0.0,0.0
1,1,3,100.0,100.0,0.0,0.0,0.0,0.0
1,1,4,100.0,100.0,0.0,0.0,0.0,0.0
1,2,0,95.56,97.92,97.08,0.0,0.0,0.0
1,2,1,99.44,99.58,100.0,0.0,0.0,0.0
1,2,2,98.89,99.58,100.0,0.0,0.0,0.0
1,2,3,98.89,99.58,100.0,0.0,0.0,0.0
1,2,4,98.89,99.58,100.0,0.0,0.0,0.0
1,3,0,99.44,100.0,100.0,69.17,0.0,0.0
1,3,1,97.78,75.83,78.33,90.83,0.0,0.0
1,3,2,98.89,81.25,81.67,90.0,0.0,0.0
1,3,3,98.89,88.33,84.58,90.0,0.0,0.0
1,3,4,98.89,88.75,86.25,89.58,0.0,0.0
1,4,0,96.67,95.83,92.08,90.83,97.08,0.0
1,4,1,93.33,95.42,95.0,91.67,97.5,0.0
1,4,2,93.33,95.42,95.42,91.67,97.08,0.0
1,4,3,98.89,91.25,89.58,92.92,98.33,0.0
1,4,4,98.89,97.92,80.83,92.5,99.17,0.0
1,5,0,99.44,88.33,95.42,86.67,96.67,98.33
