run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,88.33,0.0,0.0,0.0,0.0,0.0
0,0,1,94.17,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,94.17,98.33,0.0,0.0,0.0,0.0
0,1,1,90.42,97.5,0.0,0.0,0.0,0.0
0,1,2,90.42,97.08,0.0,0.0,0.0,0.0
0,2,0,94.58,87.92,78.33,0.0,0.0,0.0
0,2,1,87.92,90.42,100.0,0.0,0.0,0.0
0,2,2,87.92,90.83,100.0,0.0,0.0,0.0
0,3,0,78.75,94.58,87.5,52.5,0.0,0.0
0,3,1,84.58,91.67,80.0,91.67,0.0,0.0
0,3,2,92.92,89.17,77.08,100.0,0.0,0.0
0,4,0,90.0,91.67,66.67,83.33,93.33,0.0
0,4,1,90.42,68.33,21.67,46.25,99.58,0.0
0,4,2,90.42,70.83,22.08,51.67,99.58,0.0
0,5,0,92.5,76.25,64.58,70.0,64.17,68.33
0,5,1,84.58,70.83,74.58,54.17,80.0,92.5
0,5,2,85.83,63.33,73.33,77.5,94.17,99.17
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,80.0,92.5,0.0,0.0,0.0,0.0
1,1,1,80.0,100.0,0.0,0.0,0.0,0.0
1,1,2,79.58,100.0,0.0,0.0,0.0,0.0
1,2,0,72.92,86.25,98.33,0.0,0.0,0.0
1,2,1,74.17,75.0,100.0,0.0,0.0,0.0
1,2,2,75.0,73.33,100.0,0.0,0.0,0.0
1,3,0,77.5,72.5,77.5,79.17,0.0,0.0
1,3,1,71.67,75.83,80.83,97.5,0.0,0.0
1,3,2,72.08,75.83,80.83,97.5,0.0,0.0
1,4,0,72.5,77.92,87.5,90.0,100.0,0.0
1,4,1,73.33,78.75,87.5,90.0,100.0,0.0
1,4,2,73.33,80.0,87.5,90.0,100.0,0.0
1,5,0,77.5,82.92,88.33,88.33,100.0,98.75
1,5,1,77.5,82.92,88.33,88.75,99.58,98.33
1,5,2,77.08,83.75,88.33,88.75,99.58,98.33
2,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2,0,1,100.0,0.0,0.0,0.0,0.0,0.0
2,0,2,100.0,0.0,0.0,0.0,0.0,0.0
2,1,0,97.08,99.58,0.0,0.0,0.0,0.0
2,1,1,93.33,100.0,0.0,0.0,0.0,0.0
2,1,2,92.5,100.0,0.0,0.0,0.0,0.0
2,2,0,90.0,93.75,80.42,0.0,0.0,0.0
2,2,1,62.92,86.25,97.08,0.0,0.0,0.0
2,2,2,62.5,72.92,99.17,0.0,0.0,0.0
2,3,0,58.75,96.67,90.42,50.0,0.0,0.0
2,3,1,72.08,91.25,90.83,98.33,0.0,0.0
2,3,2,49.17,90.0,85.0,99.58,0.0,0.0
2,4,0,83.33,97.08,73.75,86.67,97.5,0.0
2,4,1,77.92,57.08,65.83,87.92,100.0,0.0
2,4,2,77.92,58.75,65.83,87.92,100.0,0.0
2,5,0,76.67,96.67,75.42,87.92,99.17,100.0
2,5,1,75.83,95.0,76.25,87.92,99.58,100.0
2,5,2,75.42,95.42,76.25,87.92,99.58,100.0
3,0,0,52.92,0.0,0.0,0.0,0.0,0.0
3,0,1,99.17,0.0,0.0,0.0,0.0,0.0
3,0,2,100.0,0.0,0.0,0.0,0.0,0.0
3,1,0,85.42,92.5,0.0,0.0,0.0,0.0
3,1,1,87.92,90.83,0.0,0.0,0.0,0.0
3,1,2,88.75,90.42,0.0,0.0,0.0,0.0
3,2,0,87.08,92.92,100.0,0.0,0.0,0.0
3,2,1,85.0,82.92,100.0,0.0,0.0,0.0
3,2,2,85.0,82.92,100.0,0.0,0.0,0.0
3,3,0,88.75,82.92,92.92,96.25,0.0,0.0
3,3,1,86.67,90.0,100.0,100.0,0.0,0.0
3,3,2,86.67,90.0,100.0,100.0,0.0,0.0
3,4,0,84.17,90.0,100.0,100.0,85.0,0.0
3,4,1,87.08,93.75,100.0,100.0,100.0,0.0
3,4,2,75.0,82.92,99.58,100.0,100.0,0.0
3,5,0,80.0,75.0,100.0,96.67,95.83,72.08
3,5,1,72.92,87.5,100.0,89.17,90.83,89.58
3,5,2,78.33,76.25,100.0,89.17,100.0,96.25
4,0,0,57.5,0.0,0.0,0.0,0.0,0.0
4,0,1,52.92,0.0,0.0,0.0,0.0,0.0
4,0,2,50.42,0.0,0.0,0.0,0.0,0.0
4,1,0,6.25,72.92,0.0,0.0,0.0,0.0
4,1,1,54.58,90.83,0.0,0.0,0.0,0.0
4,1,2,60.42,93.33,0.0,0.0,0.0,0.0
4,2,0,77.5,73.33,99.58,0.0,0.0,0.0
4,2,1,79.17,63.33,100.0,0.0,0.0,0.0
4,2,2,79.58,63.33,100.0,0.0,0.0,0.0
4,3,0,74.17,70.0,100.0,92.92,0.0,0.0
4,3,1,52.92,70.0,100.0,99.58,0.0,0.0
4,3,2,55.42,70.42,100.0,99.58,0.0,0.0
4,4,0,63.33,65.0,100.0,77.5,100.0,0.0
4,4,1,70.83,66.25,98.75,78.75,100.0,0.0
4,4,2,70.0,66.67,99.17,78.75,100.0,0.0
4,5,0,62.5,66.25,90.42,85.42,100.0,99.17
4,5,1,81.67,67.92,98.75,82.92,100.0,100.0
4,5,2,88.33,64.17,98.75,83.33,100.0,100.0
