run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,88.33,0.0,0.0,0.0,0.0,0.0
0,0,1,94.17,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,93.75,98.75,0.0,0.0,0.0,0.0
0,1,1,93.75,98.75,0.0,0.0,0.0,0.0
0,1,2,94.17,97.92,0.0,0.0,0.0,0.0
0,2,0,99.58,57.08,87.92,0.0,0.0,0.0
0,2,1,99.58,57.92,87.5,0.0,0.0,0.0
0,2,2,99.58,78.75,80.42,0.0,0.0,0.0
0,3,0,93.33,79.17,75.83,82.08,0.0,0.0
0,3,1,98.75,89.17,77.5,96.25,0.0,0.0
0,3,2,98.75,82.5,78.33,97.92,0.0,0.0
0,4,0,100.0,83.33,85.83,87.5,87.5,0.0
0,4,1,99.58,86.67,85.0,95.0,99.17,0.0
0,4,2,99.58,86.25,82.5,85.0,100.0,0.0
0,5,0,87.92,62.5,84.17,87.08,89.17,86.25
0,5,1,100.0,59.58,60.0,85.42,89.58,98.75
0,5,2,99.17,60.83,75.42,88.75,89.17,100.0
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,66.25,82.5,0.0,0.0,0.0,0.0
1,1,1,71.67,100.0,0.0,0.0,0.0,0.0
1,1,2,71.67,100.0,0.0,0.0,0.0,0.0
1,2,0,73.33,86.25,93.33,0.0,0.0,0.0
1,2,1,69.58,82.92,100.0,0.0,0.0,0.0
1,2,2,84.58,82.5,100.0,0.0,0.0,0.0
1,3,0,75.83,87.5,90.83,62.92,0.0,0.0
1,3,1,78.75,74.17,97.08,75.42,0.0,0.0
1,3,2,78.75,73.33,97.08,75.42,0.0,0.0
1,4,0,52.92,81.25,97.08,65.0,92.92,0.0
1,4,1,79.58,90.42,99.17,56.67,100.0,0.0
1,4,2,79.17,90.0,99.17,56.67,100.0,0.0
1,5,0,80.42,68.75,99.58,54.58,94.17,100.0
1,5,1,80.83,84.58,95.0,65.0,87.5,100.0
1,5,2,80.83,84.58,96.25,64.58,87.5,100.0
2,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2,0,1,100.0,0.0,0.0,0.0,0.0,0.0
2,0,2,100.0,0.0,0.0,0.0,0.0,0.0
2,1,0,97.08,99.58,0.0,0.0,0.0,0.0
2,1,1,92.5,100.0,0.0,0.0,0.0,0.0
2,1,2,91.67,100.0,0.0,0.0,0.0,0.0
2,2,0,77.5,97.08,91.25,0.0,0.0,0.0
2,2,1,47.92,65.42,98.33,0.0,0.0,0.0
2,2,2,48.33,67.92,98.33,0.0,0.0,0.0
2,3,0,71.67,87.92,67.92,94.58,0.0,0.0
2,3,1,63.75,87.92,90.0,99.58,0.0,0.0
2,3,2,62.5,94.17,83.33,99.58,0.0,0.0
2,4,0,74.17,92.92,70.0,100.0,99.17,0.0
2,4,1,70.83,95.83,66.25,97.92,100.0,0.0
2,4,2,70.0,95.83,60.42,97.92,100.0,0.0
2,5,0,77.08,90.0,73.33,97.08,89.58,98.75
2,5,1,84.17,94.17,74.17,98.33,100.0,100.0
2,5,2,82.5,92.92,73.75,99.17,100.0,100.0
3,0,0,52.92,0.0,0.0,0.0,0.0,0.0
3,0,1,99.17,0.0,0.0,0.0,0.0,0.0
3,0,2,100.0,0.0,0.0,0.0,0.0,0.0
3,1,0,88.75,93.33,0.0,0.0,0.0,0.0
3,1,1,89.58,90.83,0.0,0.0,0.0,0.0
3,1,2,91.67,88.33,0.0,0.0,0.0,0.0
3,2,0,73.33,77.5,99.17,0.0,0.0,0.0
3,2,1,77.08,82.08,100.0,0.0,0.0,0.0
3,2,2,87.08,85.0,100.0,0.0,0.0,0.0
3,3,0,75.83,68.33,98.33,87.5,0.0,0.0
3,3,1,86.25,87.92,99.17,97.5,0.0,0.0
3,3,2,86.25,88.75,99.17,100.0,0.0,0.0
3,4,0,80.42,52.08,100.0,97.5,90.83,0.0
3,4,1,85.0,86.67,95.83,96.25,100.0,0.0
3,4,2,83.75,83.75,97.5,90.0,100.0,0.0
3,5,0,82.5,74.17,88.33,89.58,90.83,82.92
3,5,1,82.08,67.08,92.92,62.92,85.83,95.0
3,5,2,72.08,60.83,92.5,70.0,92.08,97.5
4,0,0,57.5,0.0,0.0,0.0,0.0,0.0
4,0,1,52.92,0.0,0.0,0.0,0.0,0.0
4,0,2,50.42,0.0,0.0,0.0,0.0,0.0
4,1,0,6.25,72.92,0.0,0.0,0.0,0.0
4,1,1,58.33,88.33,0.0,0.0,0.0,0.0
4,1,2,66.67,92.5,0.0,0.0,0.0,0.0
4,2,0,68.33,85.42,92.92,0.0,0.0,0.0
4,2,1,65.0,57.92,100.0,0.0,0.0,0.0
4,2,2,66.67,65.83,100.0,0.0,0.0,0.0
4,3,0,89.17,80.83,90.0,98.75,0.0,0.0
4,3,1,65.83,81.67,100.0,100.0,0.0,0.0
4,3,2,84.58,74.58,100.0,100.0,0.0,0.0
4,4,0,83.75,68.75,88.33,100.0,100.0,0.0
4,4,1,80.0,76.25,98.33,100.0,100.0,0.0
4,4,2,80.42,76.67,98.33,100.0,100.0,0.0
4,5,0,64.17,80.42,85.83,100.0,100.0,96.67
4,5,1,87.92,73.75,97.5,100.0,100.0,99.17
4,5,2,87.92,67.5,99.58,100.0,100.0,100.0
