run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,0,3,100.0,0.0,0.0,0.0,0.0,0.0
0,0,4,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,99.44,99.17,0.0,0.0,0.0,0.0
0,1,1,99.44,99.17,0.0,0.0,0.0,0.0
0,1,2,99.44,99.17,0.0,0.0,0.0,0.0
0,1,3,100.0,97.92,0.0,0.0,0.0,0.0
0,1,4,100.0,99.58,0.0,0.0,0.0,0.0
0,2,0,99.44,77.5,93.33,0.0,0.0,0.0
0,2,1,100.0,91.67,95.42,0.0,0.0,0.0
0,2,2,100.0,93.33,98.75,0.0,0.0,0.0
0,2,3,100.0,94.58,97.08,0.0,0.0,0.0
0,2,4,100.0,94.17,98.33,0.0,0.0,0.0
0,3,0,100.0,85.0,90.0,90.83,0.0,0.0
0,3,1,100.0,72.5,93.75,99.58,0.0,0.0
0,3,2,100.0,77.08,94.58,99.58,0.0,0.0
0,3,3,100.0,77.08,94.58,99.58,0.0,0.0
0,3,4,100.0,77.08,94.58,99.58,0.0,0.0
0,4,0,100.0,69.58,83.75,89.17,97.08,0.0
0,4,1,100.0,74.58,90.83,98.33,99.58,0.0
0,4,2,100.0,72.92,90.0,97.92,100.0,0.0
0,4,3,100.0,74.17,88.75,97.92,100.0,0.0
0,4,4,100.0,75.42,87.92,97.5,100.0,0.0
0,5,0,100.0,70.42,78.33,91.67,99.17,99.17
0,5,1,100.0,68.75,74.17,55.42,90.83,100.0
0,5,2,100.0,68.75,74.17,57.08,90.83,100.0
0,5,3,100.0,68.75,75.0,57.5,90.83,100.0
0,5,4,100.0,68.75,75.42,58.75,91.25,100.0
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,0,3,100.0,0.0,0.0,0.0,0.0,0.0
1,0,4,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,98.33,93.33,0.0,0.0,0.0,0.0
1,1,1,100.0,100.0,0.0,0.0,0.0,0.0
1,1,2,100.0,100.0,0.0,0.0,0.0,0.0
1,1,3,100.0,100.0,0.0,0.0,0.0,0.0
1,1,4,100.0,100.0,0.0,0.0,0.0,0.0
1,2,0,99.44,94.58,93.33,0.0,0.0,0.0
1,2,1,100.0,100.0,100.0,0.0,0.0,0.0
1,2,2,100.0,99.58,100.0,0.0,0.0,0.0
1,2,3,100.0,99.58,100.0,0.0,0.0,0.0
1,2,4,100.0,99.58,100.0,0.0,0.0,0.0
1,3,0,97.22,95.42,98.33,67.92,0.0,0.0
1,3,1,98.89,86.25,95.0,81.25,0.0,0.0
1,3,2,100.0,91.25,95.83,86.67,0.0,0.0
1,3,3,100.0,92.92,96.67,91.67,0.0,0.0
1,3,4,100.0,92.92,97.08,90.42,0.0,0.0
1,4,0,100.0,99.58,96.25,75.83,89.58,0.0
1,4,1,99.44,82.5,94.58,82.5,91.25,0.0
1,4,2,100.0,85.83,66.25,86.67,97.08,0.0
1,4,3,100.0,88.75,75.42,90.0,96.67,0.0
1,4,4,100.0,90.0,81.25,90.42,96.67,0.0
1,5,0,100.0,95.83,97.92,75.42,92.92,100.0
