run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,88.33,0.0,0.0,0.0,0.0,0.0
0,0,1,94.17,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,93.75,98.75,0.0,0.0,0.0,0.0
0,1,1,93.75,98.75,0.0,0.0,0.0,0.0
0,1,2,93.75,97.92,0.0,0.0,0.0,0.0
0,2,0,99.58,57.08,87.92,0.0,0.0,0.0
0,2,1,99.58,57.5,87.5,0.0,0.0,0.0
0,2,2,93.75,79.58,92.92,0.0,0.0,0.0
0,3,0,93.75,95.42,84.58,90.83,0.0,0.0
0,3,1,93.75,93.33,38.33,99.17,0.0,0.0
0,3,2,93.75,91.67,82.92,99.58,0.0,0.0
0,4,0,93.75,75.0,82.92,88.33,80.0,0.0
0,4,1,93.75,85.42,77.92,76.25,98.75,0.0
0,4,2,70.83,92.08,74.58,80.0,100.0,0.0
0,5,0,82.08,82.92,84.58,96.25,90.42,78.75
0,5,1,82.08,67.5,78.75,95.83,93.33,100.0
0,5,2,82.08,67.92,78.75,95.83,93.75,100.0
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,66.25,82.5,0.0,0.0,0.0,0.0
1,1,1,73.33,100.0,0.0,0.0,0.0,0.0
1,1,2,73.75,100.0,0.0,0.0,0.0,0.0
1,2,0,63.75,82.08,92.5,0.0,0.0,0.0
1,2,1,83.75,83.33,99.17,0.0,0.0,0.0
1,2,2,81.67,82.92,99.17,0.0,0.0,0.0
1,3,0,69.17,84.17,75.0,85.0,0.0,0.0
1,3,1,83.33,85.83,85.42,88.75,0.0,0.0
1,3,2,71.67,81.25,82.5,85.83,0.0,0.0
1,4,0,71.25,85.0,86.67,90.0,87.92,0.0
1,4,1,80.83,88.75,86.67,84.17,98.75,0.0
1,4,2,78.75,89.17,86.67,84.17,99.58,0.0
1,5,0,73.33,82.08,75.83,80.0,92.92,96.67
1,5,1,66.67,77.08,87.5,85.0,97.92,100.0
1,5,2,69.17,77.92,87.5,86.25,97.92,100.0
2,0,0,100.0,0.0,0.0,0.0,0.0,0.0
2,0,1,100.0,0.0,0.0,0.0,0.0,0.0
2,0,2,100.0,0.0,0.0,0.0,0.0,0.0
2,1,0,97.08,99.58,0.0,0.0,0.0,0.0
2,1,1,93.33,100.0,0.0,0.0,0.0,0.0
2,1,2,92.5,100.0,0.0,0.0,0.0,0.0
2,2,0,73.75,97.08,86.67,0.0,0.0,0.0
2,2,1,72.92,69.17,98.33,0.0,0.0,0.0
2,2,2,73.33,96.67,97.08,0.0,0.0,0.0
2,3,0,61.67,91.67,62.92,82.08,0.0,0.0
2,3,1,52.92,96.25,68.33,90.42,0.0,0.0
2,3,2,56.67,87.08,80.0,98.75,0.0,0.0
2,4,0,79.58,95.42,78.75,90.83,82.08,0.0
2,4,1,77.08,93.75,68.33,87.08,100.0,0.0
2,4,2,76.25,93.75,68.33,87.08,100.0,0.0
2,5,0,72.08,92.5,63.75,64.58,96.67,100.0
2,5,1,72.08,92.92,64.58,65.42,96.67,100.0
2,5,2,72.92,93.33,65.0,66.25,97.08,100.0
3,0,0,52.92,0.0,0.0,0.0,0.0,0.0
3,0,1,99.17,0.0,0.0,0.0,0.0,0.0
3,0,2,100.0,0.0,0.0,0.0,0.0,0.0
3,1,0,85.83,92.08,0.0,0.0,0.0,0.0
3,1,1,87.92,90.83,0.0,0.0,0.0,0.0
3,1,2,89.17,90.42,0.0,0.0,0.0,0.0
3,2,0,87.08,93.33,100.0,0.0,0.0,0.0
3,2,1,85.0,81.67,100.0,0.0,0.0,0.0
3,2,2,84.58,82.08,100.0,0.0,0.0,0.0
3,3,0,85.83,91.25,100.0,100.0,0.0,0.0
3,3,1,85.83,87.5,100.0,100.0,0.0,0.0
3,3,2,85.83,87.5,100.0,100.0,0.0,0.0
3,4,0,75.0,66.67,92.92,100.0,82.08,0.0
3,4,1,81.67,76.25,83.75,100.0,95.42,0.0
3,4,2,86.25,82.92,92.92,100.0,100.0,0.0
3,5,0,82.92,61.67,100.0,100.0,99.58,93.33
3,5,1,58.33,52.08,100.0,99.58,59.17,99.58
3,5,2,55.0,54.17,92.92,98.75,68.75,100.0
4,0,0,57.5,0.0,0.0,0.0,0.0,0.0
4,0,1,52.92,0.0,0.0,0.0,0.0,0.0
4,0,2,50.42,0.0,0.0,0.0,0.0,0.0
4,1,0,6.25,72.92,0.0,0.0,0.0,0.0
4,1,1,65.0,92.92,0.0,0.0,0.0,0.0
4,1,2,68.33,92.5,0.0,0.0,0.0,0.0
4,2,0,65.42,83.33,89.17,0.0,0.0,0.0
4,2,1,56.25,75.42,100.0,0.0,0.0,0.0
4,2,2,57.92,75.83,100.0,0.0,0.0,0.0
4,3,0,77.5,81.25,84.58,95.42,0.0,0.0
4,3,1,86.67,74.58,74.17,97.08,0.0,0.0
4,3,2,86.67,75.0,74.17,97.08,0.0,0.0
4,4,0,80.42,75.42,62.08,99.58,100.0,0.0
4,4,1,86.25,76.67,82.08,94.58,100.0,0.0
4,4,2,87.5,76.25,82.08,95.0,100.0,0.0
4,5,0,51.67,57.08,82.08,97.5,100.0,83.75
4,5,1,81.67,61.67,80.83,93.33,100.0,100.0
4,5,2,75.83,62.92,81.25,94.17,100.0,100.0
