run,task,cycle,task_1,task_2,task_3,task_4,task_5,task_6
0,0,0,100.0,0.0,0.0,0.0,0.0,0.0
0,0,1,100.0,0.0,0.0,0.0,0.0,0.0
0,0,2,100.0,0.0,0.0,0.0,0.0,0.0
0,0,3,100.0,0.0,0.0,0.0,0.0,0.0
0,0,4,100.0,0.0,0.0,0.0,0.0,0.0
0,1,0,93.89,62.92,0.0,0.0,0.0,0.0
0,1,1,100.0,100.0,0.0,0.0,0.0,0.0
0,1,2,100.0,100.0,0.0,0.0,0.0,0.0
0,1,3,100.0,100.0,0.0,0.0,0.0,0.0
0,1,4,100.0,100.0,0.0,0.0,0.0,0.0
0,2,0,100.0,100.0,57.5,0.0,0.0,0.0
0,2,1,100.0,99.17,60.42,0.0,0.0,0.0
0,2,2,100.0,96.67,85.0,0.0,0.0,0.0
0,2,3,100.0,92.92,99.17,0.0,0.0,0.0
0,2,4,100.0,99.17,99.58,0.0,0.0,0.0
0,3,0,99.44,89.17,97.92,96.25,0.0,0.0
0,3,1,99.44,91.67,98.33,100.0,0.0,0.0
0,3,2,100.0,86.25,97.92,100.0,0.0,0.0
0,3,3,100.0,86.25,97.92,100.0,0.0,0.0
0,3,4,100.0,87.08,97.92,100.0,0.0,0.0
0,4,0,100.0,87.92,97.5,98.33,96.67,0.0
0,4,1,100.0,90.0,97.5,97.92,96.67,0.0
0,4,2,100.0,90.83,97.5,97.92,96.67,0.0
0,4,3,100.0,91.67,97.92,97.92,97.5,0.0
0,4,4,99.44,87.5,97.08,99.58,98.75,0.0
0,5,0,100.0,82.5,74.58,88.75,99.17,90.42
0,5,1,99.44,70.83,69.58,85.0,97.08,100.0
0,5,2,99.44,71.25,70.0,85.0,97.08,100.0
0,5,3,99.44,72.08,70.0,85.0,97.08,100.0
0,5,4,99.44,72.08,70.83,85.0,97.08,100.0
1,0,0,100.0,0.0,0.0,0.0,0.0,0.0
1,0,1,100.0,0.0,0.0,0.0,0.0,0.0
1,0,2,100.0,0.0,0.0,0.0,0.0,0.0
1,0,3,100.0,0.0,0.0,0.0,0.0,0.0
1,0,4,100.0,0.0,0.0,0.0,0.0,0.0
1,1,0,61.67,81.67,0.0,0.0,0.0,0.0
1,1,1,100.0,100.0,0.0,0.0,0.0,0.0
1,1,2,100.0,99.58,0.0,0.0,0.0,0.0
1,1,3,100.0,100.0,0.0,0.0,0.0,0.0
1,1,4,100.0,100.0,0.0,0.0,0.0,0.0
1,2,0,55.0,85.83,91.67,0.0,0.0,0.0
1,2,1,99.44,99.58,100.0,0.0,0.0,0.0
1,2,2,99.44,99.58,100.0,0.0,0.0,0.0
1,2,3,99.44,99.58,100.0,0.0,0.0,0.0
1,2,4,99.44,99.58,100.0,0.0,0.0,0.0
1,3,0,99.44,94.17,98.33,68.75,0.0,0.0
1,3,1,99.44,94.17,98.33,69.17,0.0,0.0
1,3,2,71.67,85.83,86.25,93.75,0.0,0.0
1,3,3,100.0,99.58,86.25,92.5,0.0,0.0
1,3,4,100.0,99.58,87.5,93.33,0.0,0.0
1,4,0,99.44,96.25,85.0,91.67,98.75,0.0
1,4,1,99.44,96.67,85.0,91.67,98.75,0.0
1,4,2,99.44,96.67,85.42,91.67,98.75,0.0
1,4,3,99.44,97.08,85.42,91.67,98.75,0.0
1,4,4,99.44,97.92,85.42,91.67,98.75,0.0
1,5,0,100.0,99.58,83.33,90.0,98.33,97.08
