task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
87.5,0.0,0.0,0.0,0.0,0.0,0,0,87.5,87.5
95.83,0.0,0.0,0.0,0.0,0.0,0,1,95.83,95.83
96.53,0.0,0.0,0.0,0.0,0.0,0,2,96.53,96.53
95.83,86.25,0.0,0.0,0.0,0.0,1,0,91.04,86.25
97.92,93.61,0.0,0.0,0.0,0.0,1,1,95.76,93.61
98.61,97.78,0.0,0.0,0.0,0.0,1,2,98.2,97.78
97.22,97.64,79.45,0.0,0.0,0.0,2,0,91.44,79.45
98.61,98.33,83.89,0.0,0.0,0.0,2,1,93.61,83.89
97.22,97.22,87.5,0.0,0.0,0.0,2,2,93.98,87.5
98.61,94.58,77.91,79.03,0.0,0.0,3,0,87.53,79.03
99.31,94.44,76.8,90.0,0.0,0.0,3,1,90.14,90.0
99.31,95.14,80.83,92.92,0.0,0.0,3,2,92.05,92.92
97.92,93.47,81.67,87.64,74.72,0.0,4,0,87.08,74.72
99.31,96.25,79.03,90.69,86.39,0.0,4,1,90.33,86.39
97.22,93.75,79.86,85.7,92.22,0.0,4,2,89.75,92.22
97.92,92.64,70.28,82.5,80.83,75.97,5,0,83.36,75.97
96.53,90.7,68.19,83.89,87.64,79.3,5,1,84.38,79.3
95.83,88.61,67.08,83.06,91.39,86.53,5,2,85.42,86.53
