task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
90.556,0.0,0.0,0.0,0.0,0.0,0,0,15.092666666666666,90.556,0.0
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,1,16.537000000000003,99.22200000000001,-8.666000000000011
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,2,16.537000000000003,99.22200000000001,0.0
99.888,0.0,0.0,0.0,0.0,0.0,0,3,16.648,99.888,-0.6659999999999968
99.888,0.0,0.0,0.0,0.0,0.0,0,4,16.648,99.888,0.0
98.22200000000001,94.25,0.0,0.0,0.0,0.0,1,0,32.07866666666667,96.236,1.6659999999999968
98.112,97.334,0.0,0.0,0.0,0.0,1,1,32.574333333333335,97.723,-0.6539999999999964
97.77799999999999,97.5,0.0,0.0,0.0,0.0,1,2,32.54633333333333,97.639,0.9720000000000084
98.112,97.334,0.0,0.0,0.0,0.0,1,3,32.574333333333335,97.723,0.9710000000000036
98.77799999999999,98.832,0.0,0.0,0.0,0.0,1,4,32.934999999999995,98.80499999999999,-0.11099999999999
92.22200000000001,96.084,95.584,0.0,0.0,0.0,2,0,47.315,94.63,5.206999999999994
91.666,96.5,99.0,0.0,0.0,0.0,2,1,47.861,95.722,2.379333333333335
94.0,96.834,99.084,0.0,0.0,0.0,2,2,48.31966666666667,96.63933333333334,2.600666666666664
94.332,97.084,99.166,0.0,0.0,0.0,2,3,48.43033333333333,96.86066666666666,2.407333333333336
94.556,97.248,99.166,0.0,0.0,0.0,2,4,48.495000000000005,96.99000000000001,2.305333333333332
92.11,92.834,95.334,88.752,0.0,0.0,3,0,61.505,92.25750000000001,5.86933333333333
93.22200000000001,93.334,98.25,96.248,0.0,0.0,3,1,63.50900000000001,95.26350000000001,1.3959999999999937
91.444,92.166,97.916,96.416,0.0,0.0,3,2,62.99033333333333,94.4855,4.048000000000002
91.22200000000001,92.25,97.832,97.0,0.0,0.0,3,3,63.050666666666665,94.576,3.9994999999999976
91.22200000000001,93.916,97.916,98.0,0.0,0.0,3,4,63.50899999999999,95.2635,3.4579999999999984
92.33,95.664,94.418,92.832,95.502,0.0,4,0,78.45766666666667,94.14920000000001,5.160499999999999
92.332,93.416,93.334,93.0,96.832,0.0,4,1,78.15233333333333,93.7828,4.494800000000001
91.444,93.416,95.166,94.5,97.666,0.0,4,2,78.69866666666667,94.4384,4.105199999999999
91.11,93.668,95.334,94.582,97.75,0.0,4,3,78.74066666666667,94.4888,4.221599999999998
91.11,94.502,95.5,95.916,98.584,0.0,4,4,79.26866666666666,95.1224,3.6048
91.334,87.416,90.666,91.832,92.998,93.75,5,0,91.33266666666667,91.33266666666667,8.0448
92.334,85.418,90.5,95.084,98.166,98.916,5,1,93.403,93.403,4.633666666666666
93.22200000000001,86.832,90.916,95.166,97.918,98.998,5,2,93.842,93.842,5.0556666666666645
92.89,87.666,92.25,95.916,98.084,98.916,5,3,94.28699999999999,94.28699999999999,4.624333333333335
92.89,88.084,92.002,95.084,98.5,99.5,5,4,94.34333333333332,94.34333333333332,4.5680000000000005
