task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
90.556,0.0,0.0,0.0,0.0,0.0,0,0,15.092666666666666,90.556,0.0
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,1,16.537000000000003,99.22200000000001,-8.666000000000011
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,2,16.537000000000003,99.22200000000001,0.0
99.888,0.0,0.0,0.0,0.0,0.0,0,3,16.648,99.888,-0.6659999999999968
99.888,0.0,0.0,0.0,0.0,0.0,0,4,16.648,99.888,0.0
88.556,92.416,0.0,0.0,0.0,0.0,1,0,30.161999999999995,90.48599999999999,11.332000000000008
97.446,97.834,0.0,0.0,0.0,0.0,1,1,32.54666666666667,97.64,-1.4879999999999995
95.22200000000001,97.416,0.0,0.0,0.0,0.0,1,2,32.10633333333333,96.319,2.5420000000000016
95.668,96.834,0.0,0.0,0.0,0.0,1,3,32.083666666666666,96.251,2.6099999999999994
95.558,97.084,0.0,0.0,0.0,0.0,1,4,32.107,96.321,2.539999999999999
77.112,88.084,86.584,0.0,0.0,0.0,2,0,41.96333333333333,83.92666666666666,16.263000000000005
89.668,95.916,96.248,0.0,0.0,0.0,2,1,46.972,93.944,0.8246666666666679
92.112,96.332,99.0,0.0,0.0,0.0,2,2,47.90733333333333,95.81466666666665,2.1753333333333416
92.224,96.416,99.168,0.0,0.0,0.0,2,3,47.967999999999996,95.93599999999999,2.971333333333334
93.0,97.25,99.0,0.0,0.0,0.0,2,4,48.208333333333336,96.41666666666667,2.5466666666666717
93.11,94.418,97.416,81.0,0.0,0.0,3,0,60.99066666666667,91.486,3.982000000000004
85.446,90.832,98.002,92.334,0.0,0.0,3,1,61.10233333333333,91.6535,2.819000000000006
88.224,91.998,98.166,92.832,0.0,0.0,3,2,61.870000000000005,92.805,4.501000000000005
92.666,93.416,98.832,95.834,0.0,0.0,3,3,63.458,95.187,2.2435000000000045
92.554,93.332,97.332,96.834,0.0,0.0,3,4,63.34199999999999,95.01299999999999,3.1680000000000064
93.77799999999999,90.416,93.752,83.084,91.664,0.0,4,0,75.449,90.5388,8.173500000000008
94.77799999999999,94.416,96.752,96.666,98.75,0.0,4,1,80.22699999999999,96.27239999999999,0.8052000000000078
94.668,93.082,93.75,95.832,99.084,0.0,4,2,79.40266666666666,95.2832,3.2116000000000042
94.888,93.082,93.418,96.416,99.416,0.0,4,3,79.53666666666668,95.444,3.1176000000000044
94.0,88.0,92.248,96.666,99.5,0.0,4,4,78.40233333333333,94.08279999999999,4.545200000000003
94.334,89.416,90.5,90.666,95.416,90.916,5,0,91.87466666666667,91.87466666666667,6.578400000000005
92.554,88.25,91.584,93.416,98.334,99.666,5,1,93.96733333333334,93.96733333333334,3.3893333333333353
92.888,87.832,93.584,93.5,98.252,99.832,5,2,94.31466666666665,94.31466666666665,4.500333333333337
93.0,90.668,93.918,94.834,98.918,99.916,5,3,95.209,95.209,3.6336666666666653
93.22,90.668,94.084,95.084,98.918,99.916,5,4,95.315,95.315,3.5416666666666665
