task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
90.556,0.0,0.0,0.0,0.0,0.0,0,0,15.092666666666666,90.556,0.0
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,1,16.537000000000003,99.22200000000001,-8.666000000000011
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,2,16.537000000000003,99.22200000000001,0.0
99.888,0.0,0.0,0.0,0.0,0.0,0,3,16.648,99.888,-0.6659999999999968
99.888,0.0,0.0,0.0,0.0,0.0,0,4,16.648,99.888,0.0
90.334,94.0,0.0,0.0,0.0,0.0,1,0,30.722333333333335,92.167,9.554000000000002
96.554,96.498,0.0,0.0,0.0,0.0,1,1,32.175333333333334,96.52600000000001,0.41799999999999926
97.22200000000001,95.916,0.0,0.0,0.0,0.0,1,2,32.18966666666667,96.569,1.6240000000000023
96.888,94.918,0.0,0.0,0.0,0.0,1,3,31.96766666666667,95.903,2.289999999999999
96.888,94.75,0.0,0.0,0.0,0.0,1,4,31.939666666666668,95.819,2.3740000000000023
94.22200000000001,93.0,85.668,0.0,0.0,0.0,2,0,45.48166666666666,90.96333333333332,4.582000000000001
86.668,94.082,99.248,0.0,0.0,0.0,2,1,46.666333333333334,93.33266666666667,0.6853333333333372
92.444,95.25,99.416,0.0,0.0,0.0,2,2,47.85166666666667,95.70333333333333,2.8413333333333384
92.668,95.168,99.416,0.0,0.0,0.0,2,3,47.87533333333334,95.75066666666667,2.849999999999999
91.22200000000001,95.084,99.5,0.0,0.0,0.0,2,4,47.63433333333334,95.26866666666668,3.3319999999999985
94.112,94.0,96.334,86.248,0.0,0.0,3,0,61.782333333333334,92.6735,3.8133333333333375
92.776,91.248,94.418,96.916,0.0,0.0,3,1,62.559666666666665,93.8395,1.6940000000000026
91.554,92.414,97.25,98.082,0.0,0.0,3,2,63.21666666666667,94.825,3.3755000000000024
92.444,92.416,97.582,97.998,0.0,0.0,3,3,63.406666666666666,95.11,3.3820000000000014
92.556,92.334,97.582,98.082,0.0,0.0,3,4,63.425666666666665,95.1385,3.353500000000004
91.77799999999999,92.666,88.498,93.582,95.334,0.0,4,0,76.97633333333333,92.3716,6.861000000000004
92.22200000000001,93.914,91.25,94.832,99.166,0.0,4,1,78.56400000000001,94.27680000000001,3.5836000000000015
91.77799999999999,94.416,91.998,95.248,99.332,0.0,4,2,78.79533333333333,94.5544,4.072400000000002
92.334,94.582,92.332,95.5,99.332,0.0,4,3,79.01333333333334,94.816,3.8440000000000025
87.0,92.582,90.914,95.834,99.416,0.0,4,4,77.62433333333333,93.1492,5.510800000000001
93.22200000000001,84.914,89.584,95.25,98.584,95.0,5,0,92.75900000000001,92.75900000000001,6.365999999999997
92.112,81.0,87.084,95.0,98.666,99.416,5,1,92.21300000000001,92.21300000000001,5.851000000000002
92.112,82.166,87.168,95.168,99.0,99.5,5,2,92.519,92.519,6.280999999999999
92.22200000000001,82.25,87.332,95.084,99.0,99.5,5,3,92.56466666666665,92.56466666666665,6.2493333333333325
92.444,82.498,87.25,95.084,98.916,99.416,5,4,92.60133333333333,92.60133333333333,6.212666666666666
