task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
90.556,0.0,0.0,0.0,0.0,0.0,0,0,15.092666666666666,90.556,0.0
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,1,16.537000000000003,99.22200000000001,-8.666000000000011
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,2,16.537000000000003,99.22200000000001,0.0
99.888,0.0,0.0,0.0,0.0,0.0,0,3,16.648,99.888,-0.6659999999999968
99.888,0.0,0.0,0.0,0.0,0.0,0,4,16.648,99.888,0.0
93.77799999999999,89.084,0.0,0.0,0.0,0.0,1,0,30.477,91.431,6.110000000000014
94.556,97.498,0.0,0.0,0.0,0.0,1,1,32.009,96.027,-1.5409999999999968
96.22200000000001,98.0,0.0,0.0,0.0,0.0,1,2,32.370333333333335,97.111,1.5820000000000007
97.11,98.0,0.0,0.0,0.0,0.0,1,3,32.51833333333334,97.555,1.389000000000003
97.556,97.834,0.0,0.0,0.0,0.0,1,4,32.565,97.695,1.2490000000000023
90.224,93.918,86.332,0.0,0.0,0.0,2,0,45.079,90.158,6.8729999999999976
93.22200000000001,97.0,97.834,0.0,0.0,0.0,2,1,48.00933333333334,96.01866666666668,-1.2786666666666708
93.332,96.916,98.498,0.0,0.0,0.0,2,2,48.12433333333333,96.24866666666667,2.325333333333338
93.444,96.5,99.584,0.0,0.0,0.0,2,3,48.25466666666667,96.50933333333334,2.2860000000000014
94.112,97.082,99.5,0.0,0.0,0.0,2,4,48.44899999999999,96.89799999999998,2.25933333333334
89.0,89.0,94.916,86.168,0.0,0.0,3,0,59.84733333333333,89.771,8.185333333333338
91.888,91.166,95.666,94.666,0.0,0.0,3,1,62.231,93.3465,2.5635000000000048
92.0,91.5,95.832,94.998,0.0,0.0,3,2,62.38833333333333,93.5825,4.452000000000002
92.444,91.834,96.332,95.416,0.0,0.0,3,3,62.671,94.0065,4.111000000000004
92.444,92.084,96.916,95.666,0.0,0.0,3,4,62.85166666666667,94.2775,3.9445000000000014
91.22200000000001,91.082,93.998,91.998,93.166,0.0,4,0,76.911,92.2932,6.2094999999999985
91.444,92.168,93.748,95.666,98.916,0.0,4,1,78.657,94.3884,2.872399999999999
92.666,92.5,94.416,95.918,99.082,0.0,4,2,79.097,94.9164,3.4944000000000015
92.776,92.832,94.666,96.082,99.166,0.0,4,3,79.25366666666666,95.1044,3.3900000000000063
93.11,92.918,95.334,96.332,99.166,0.0,4,4,79.47666666666667,95.372,3.1719999999999997
91.77799999999999,90.082,93.5,93.916,93.916,93.834,5,0,92.83766666666668,92.83766666666668,5.955600000000004
94.888,91.166,92.584,92.5,98.084,99.0,5,1,94.70366666666666,94.70366666666666,3.096999999999999
93.888,89.5,93.334,93.332,98.25,99.832,5,2,94.68933333333332,94.68933333333332,3.9723333333333337
94.22200000000001,89.418,92.998,93.75,98.416,99.832,5,3,94.77266666666667,94.77266666666667,4.027666666666664
93.77799999999999,88.582,92.914,93.916,98.416,99.748,5,4,94.55900000000001,94.55900000000001,4.241333333333334
