task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
87.5,0.0,0.0,0.0,0.0,0.0,0,0,87.5,87.5
82.64,0.0,0.0,0.0,0.0,0.0,0,1,82.64,82.64
96.53,0.0,0.0,0.0,0.0,0.0,0,2,96.53,96.53
97.92,93.33,0.0,0.0,0.0,0.0,1,0,95.62,93.33
100.0,99.58,0.0,0.0,0.0,0.0,1,1,99.79,99.58
100.0,99.58,0.0,0.0,0.0,0.0,1,2,99.79,99.58
85.42,88.89,83.33,0.0,0.0,0.0,2,0,85.88,83.33
88.89,90.0,83.47,0.0,0.0,0.0,2,1,87.45,83.47
92.36,94.17,86.39,0.0,0.0,0.0,2,2,90.97,86.39
88.2,88.33,83.19,86.94,0.0,0.0,3,0,86.66,86.94
78.47,80.7,75.69,90.28,0.0,0.0,3,1,81.28,90.28
81.25,82.36,76.53,94.3,0.0,0.0,3,2,83.61,94.3
86.11,83.19,80.69,91.25,83.19,0.0,4,0,84.89,83.19
96.53,90.28,75.14,86.25,94.72,0.0,4,1,88.58,94.72
95.83,92.22,72.92,76.95,96.53,0.0,4,2,86.89,96.53
98.61,89.72,61.25,61.81,91.81,95.56,5,0,83.13,95.56
92.36,86.11,59.72,54.58,90.7,99.31,5,1,80.46,99.31
88.19,83.2,58.75,53.61,92.22,99.03,5,2,79.17,99.03
