task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
98.332,0.0,0.0,0.0,0.0,0.0,0,0,16.388666666666666,98.332,0.0
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,1,16.537000000000003,99.22200000000001,-0.8900000000000148
100.0,0.0,0.0,0.0,0.0,0.0,0,2,16.666666666666668,100.0,-0.7779999999999916
100.0,0.0,0.0,0.0,0.0,0.0,0,3,16.666666666666668,100.0,0.0
100.0,0.0,0.0,0.0,0.0,0.0,0,4,16.666666666666668,100.0,0.0
88.112,87.416,0.0,0.0,0.0,0.0,1,0,29.254666666666665,87.764,11.888000000000005
97.554,95.582,0.0,0.0,0.0,0.0,1,1,32.18933333333333,96.568,-2.8599999999999994
97.776,98.334,0.0,0.0,0.0,0.0,1,2,32.685,98.055,-0.2640000000000029
96.776,98.0,0.0,0.0,0.0,0.0,1,3,32.46266666666667,97.388,1.7790000000000035
96.77799999999999,98.082,0.0,0.0,0.0,0.0,1,4,32.47666666666667,97.42999999999999,1.737000000000009
93.334,95.334,82.332,0.0,0.0,0.0,2,0,45.166666666666664,90.33333333333333,4.832999999999998
90.556,96.334,87.082,0.0,0.0,0.0,2,1,45.662,91.324,2.231333333333334
91.332,96.916,99.082,0.0,0.0,0.0,2,2,47.88833333333333,95.77666666666666,-0.6379999999999958
91.334,96.082,99.25,0.0,0.0,0.0,2,3,47.77766666666667,95.55533333333334,3.5833333333333335
91.556,96.25,99.334,0.0,0.0,0.0,2,4,47.85666666666666,95.71333333333332,3.481333333333334
92.112,95.666,96.918,94.416,0.0,0.0,3,0,63.18533333333334,94.778,4.3240000000000025
92.22200000000001,90.668,94.416,98.666,0.0,0.0,3,1,62.662000000000006,93.99300000000001,4.027999999999999
92.332,90.918,95.582,98.666,0.0,0.0,3,2,62.916333333333334,94.3745,4.709000000000003
92.332,90.918,96.166,98.834,0.0,0.0,3,3,63.041666666666664,94.5625,4.521000000000001
92.444,91.416,96.668,98.834,0.0,0.0,3,4,63.227000000000004,94.8405,4.285
93.334,92.248,93.082,95.75,89.084,0.0,4,0,77.24966666666667,92.6996,5.522000000000002
93.89,94.914,90.666,96.584,99.748,0.0,4,1,79.30033333333334,95.16040000000001,1.9568000000000012
93.89,95.418,89.916,97.334,99.832,0.0,4,2,79.39833333333333,95.27799999999999,3.9720000000000026
94.0,94.166,88.916,97.166,99.832,0.0,4,3,79.01333333333334,94.816,4.450800000000004
94.112,94.084,88.998,97.166,99.832,0.0,4,4,79.032,94.83840000000001,4.428400000000002
91.89,81.584,78.584,90.334,95.25,96.332,5,0,88.99566666666665,88.99566666666665,11.738399999999999
92.224,91.25,90.834,95.166,98.834,99.584,5,1,94.64866666666667,94.64866666666667,4.128999999999998
91.77799999999999,88.832,87.918,94.084,99.166,99.916,5,2,93.61566666666666,93.61566666666666,5.704000000000003
91.558,88.666,88.834,94.418,99.0,99.834,5,3,93.71833333333332,93.71833333333332,5.656666666666664
91.666,87.084,89.582,95.166,99.0,99.834,5,4,93.722,93.722,5.653000000000001
