task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
87.5,0.0,0.0,0.0,0.0,0.0,0,0,87.5,87.5
82.64,0.0,0.0,0.0,0.0,0.0,0,1,82.64,82.64
96.53,0.0,0.0,0.0,0.0,0.0,0,2,96.53,96.53
96.53,82.5,0.0,0.0,0.0,0.0,1,0,89.52,82.5
99.31,98.19,0.0,0.0,0.0,0.0,1,1,98.75,98.19
100.0,99.58,0.0,0.0,0.0,0.0,1,2,99.79,99.58
100.0,99.31,79.72,0.0,0.0,0.0,2,0,93.01,79.72
100.0,98.89,78.89,0.0,0.0,0.0,2,1,92.59,78.89
100.0,99.31,80.14,0.0,0.0,0.0,2,2,93.15,80.14
100.0,94.03,72.22,77.36,0.0,0.0,3,0,85.9,77.36
99.31,92.36,68.61,88.33,0.0,0.0,3,1,87.15,88.33
96.53,93.34,75.28,89.58,0.0,0.0,3,2,88.68,89.58
99.31,93.47,72.22,83.05,72.5,0.0,4,0,84.11,72.5
98.61,94.03,71.53,84.31,83.06,0.0,4,1,86.31,83.06
98.61,93.19,68.47,76.11,88.75,0.0,4,2,85.03,88.75
98.61,92.36,67.64,75.83,86.25,73.75,5,0,82.41,73.75
97.22,90.83,65.97,67.09,83.89,89.58,5,1,82.43,89.58
95.14,88.19,63.89,73.33,80.28,91.67,5,2,82.08,91.67
