task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
98.75,0.0,0.0,0.0,0.0,0.0,0,0,16.458333333333332,98.75,0.0
99.862,0.0,0.0,0.0,0.0,0.0,0,1,16.643666666666665,99.862,-1.1119999999999948
99.862,0.0,0.0,0.0,0.0,0.0,0,2,16.643666666666665,99.862,0.0
99.862,0.0,0.0,0.0,0.0,0.0,0,3,16.643666666666665,99.862,0.0
99.862,0.0,0.0,0.0,0.0,0.0,0,4,16.643666666666665,99.862,0.0
98.056,95.5,0.0,0.0,0.0,0.0,1,0,32.25933333333333,96.77799999999999,1.8059999999999974
99.306,96.582,0.0,0.0,0.0,0.0,1,1,32.647999999999996,97.94399999999999,-0.2629999999999981
99.444,98.082,0.0,0.0,0.0,0.0,1,2,32.921,98.763,-0.5410000000000039
99.306,98.166,0.0,0.0,0.0,0.0,1,3,32.912,98.73599999999999,0.2359999999999971
99.306,98.25,0.0,0.0,0.0,0.0,1,4,32.925999999999995,98.77799999999999,0.2359999999999971
89.306,92.25,90.166,0.0,0.0,0.0,2,0,45.287,90.574,8.277999999999999
97.77799999999999,97.084,97.75,0.0,0.0,0.0,2,1,48.76866666666666,97.53733333333332,-1.4446666666666677
98.194,97.25,98.498,0.0,0.0,0.0,2,2,48.99033333333333,97.98066666666666,0.6399999999999958
98.47200000000001,97.5,98.582,0.0,0.0,0.0,2,3,49.09233333333333,98.18466666666666,0.6853333333333325
98.47200000000001,97.502,98.582,0.0,0.0,0.0,2,4,49.092666666666666,98.18533333333333,0.7126666666666637
95.696,95.5,95.25,83.166,0.0,0.0,3,0,61.602000000000004,92.403,3.415999999999997
94.442,93.832,97.336,93.666,0.0,0.0,3,1,63.21266666666667,94.819,0.1460000000000008
97.224,94.5,96.334,98.666,0.0,0.0,3,2,64.454,96.681,0.9089999999999954
97.22200000000001,94.582,96.584,98.666,0.0,0.0,3,3,64.509,96.76350000000001,2.076499999999996
97.22200000000001,94.666,96.834,98.5,0.0,0.0,3,4,64.53699999999999,96.8055,2.034499999999994
95.97200000000001,95.25,94.25,96.582,93.998,0.0,4,0,79.342,95.21039999999999,3.326499999999996
93.748,91.834,92.166,96.834,98.668,0.0,4,1,78.875,94.65,3.221599999999995
94.444,92.918,93.584,97.5,99.25,0.0,4,2,79.616,95.53920000000001,3.266399999999996
97.5,95.334,95.25,98.166,99.166,0.0,4,3,80.90266666666666,97.0832,1.8387999999999978
97.64,94.998,95.582,98.166,99.084,0.0,4,4,80.91166666666668,97.09400000000001,1.8279999999999972
93.332,90.418,91.25,96.0,98.166,94.582,5,0,93.95800000000001,93.95800000000001,5.088799999999997
96.944,89.0,90.75,94.5,96.916,99.166,5,1,94.546,94.546,3.6526666666666636
95.694,88.416,89.834,95.0,97.498,99.5,5,2,94.32366666666667,94.32366666666667,4.638999999999996
96.112,89.416,89.666,94.832,97.582,99.75,5,3,94.55966666666666,94.55966666666666,4.4586666666666686
96.944,90.166,90.416,94.248,97.416,99.834,5,4,94.83733333333333,94.83733333333333,4.222666666666664
