task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_accuracy,learning_accuracy
87.5,0.0,0.0,0.0,0.0,0.0,0,0,87.5,87.5
82.64,0.0,0.0,0.0,0.0,0.0,0,1,82.64,82.64
96.53,0.0,0.0,0.0,0.0,0.0,0,2,96.53,96.53
97.92,96.53,0.0,0.0,0.0,0.0,1,0,97.22,96.53
100.0,99.31,0.0,0.0,0.0,0.0,1,1,99.66,99.31
100.0,100.0,0.0,0.0,0.0,0.0,1,2,100.0,100.0
98.61,98.61,82.78,0.0,0.0,0.0,2,0,93.33,82.78
92.36,92.92,85.56,0.0,0.0,0.0,2,1,90.28,85.56
92.36,93.06,85.42,0.0,0.0,0.0,2,2,90.28,85.42
94.44,91.25,79.44,82.78,0.0,0.0,3,0,86.98,82.78
98.61,92.5,71.8,98.05,0.0,0.0,3,1,90.24,98.05
94.44,87.64,72.92,97.22,0.0,0.0,3,2,88.06,97.22
82.64,80.7,69.31,82.64,86.39,0.0,4,0,80.34,86.39
95.14,89.45,69.72,84.72,96.67,0.0,4,1,87.14,96.67
98.61,91.53,69.72,82.91,97.5,0.0,4,2,88.05,97.5
93.06,86.81,57.5,63.2,92.5,95.28,5,0,81.39,95.28
90.97,86.8,60.55,74.58,95.14,96.53,5,1,84.09,96.53
89.58,83.89,59.3,73.33,88.89,98.75,5,2,82.29,98.75
