task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
79.75,0.0,0.0,0.0,0.0,0.0,0,0,13.291666666666666,79.75,0.0
89.252,0.0,0.0,0.0,0.0,0.0,0,1,14.875333333333332,89.252,-9.501999999999995
90.084,0.0,0.0,0.0,0.0,0.0,0,2,15.014000000000001,90.084,-0.8320000000000078
70.416,89.416,0.0,0.0,0.0,0.0,1,0,26.638666666666666,79.916,19.668000000000006
81.166,95.582,0.0,0.0,0.0,0.0,1,1,29.458,88.374,1.3760000000000048
83.17,95.75,0.0,0.0,0.0,0.0,1,2,29.820000000000004,89.46000000000001,3.3729999999999976
78.414,80.666,92.918,0.0,0.0,0.0,2,0,41.99966666666666,83.99933333333333,13.377000000000002
71.832,69.252,97.166,0.0,0.0,0.0,2,1,39.708333333333336,79.41666666666667,13.500666666666675
77.248,76.0,95.75,0.0,0.0,0.0,2,2,41.49966666666666,82.99933333333333,11.333999999999998
81.166,80.75,84.582,85.166,0.0,0.0,3,0,55.27733333333333,82.916,12.167333333333337
78.666,84.17,92.75,93.75,0.0,0.0,3,1,58.22266666666667,87.334,4.7075
82.166,82.666,91.582,94.584,0.0,0.0,3,2,58.49966666666666,87.7495,6.438000000000002
78.252,75.666,88.248,90.0,94.084,0.0,4,0,71.04166666666667,85.25,11.354500000000002
82.998,87.168,88.916,89.168,99.834,0.0,4,1,74.68066666666667,89.6168,4.716799999999997
82.584,86.5,87.584,85.918,100.0,0.0,4,2,73.76433333333334,88.5172,6.966399999999998
78.418,75.168,86.248,85.664,92.75,92.918,5,0,85.19433333333333,85.19433333333333,11.867199999999997
87.0,75.832,83.918,82.334,92.582,98.584,5,1,86.70833333333333,86.70833333333333,8.375333333333336
84.5,73.332,87.5,84.5,93.75,99.5,5,2,87.18033333333334,87.18033333333334,8.847666666666669
