task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
90.556,0.0,0.0,0.0,0.0,0.0,0,0,15.092666666666666,90.556,0.0
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,1,16.537000000000003,99.22200000000001,-8.666000000000011
99.332,0.0,0.0,0.0,0.0,0.0,0,2,16.555333333333333,99.332,-0.10999999999998522
99.776,0.0,0.0,0.0,0.0,0.0,0,3,16.62933333333333,99.776,-0.4440000000000026
100.0,0.0,0.0,0.0,0.0,0.0,0,4,16.666666666666668,100.0,-0.22400000000000375
96.444,95.584,0.0,0.0,0.0,0.0,1,0,32.00466666666667,96.01400000000001,3.5559999999999974
98.442,98.084,0.0,0.0,0.0,0.0,1,1,32.754333333333335,98.263,-0.47099999999999653
98.666,98.25,0.0,0.0,0.0,0.0,1,2,32.81933333333333,98.458,0.5840000000000032
98.888,98.5,0.0,0.0,0.0,0.0,1,3,32.898,98.694,0.4309999999999974
96.334,98.5,0.0,0.0,0.0,0.0,1,4,32.47233333333333,97.417,1.8329999999999984
82.10799999999999,88.164,93.414,0.0,0.0,0.0,2,0,43.94766666666666,87.89533333333333,14.114000000000004
87.888,95.5,98.918,0.0,0.0,0.0,2,1,47.05100000000001,94.10200000000002,3.2026666666666634
94.334,96.582,99.666,0.0,0.0,0.0,2,2,48.43033333333333,96.86066666666666,2.278666666666671
94.22200000000001,96.832,99.332,0.0,0.0,0.0,2,3,48.39766666666666,96.79533333333332,2.5933333333333337
94.22200000000001,96.5,99.582,0.0,0.0,0.0,2,4,48.38399999999999,96.76799999999999,2.620666666666665
93.444,92.002,95.916,89.75,0.0,0.0,3,0,61.852,92.77799999999999,5.601333333333334
86.556,83.416,95.168,95.082,0.0,0.0,3,1,60.037,90.0555,6.923500000000001
87.11,85.416,95.416,96.166,0.0,0.0,3,2,60.684666666666665,91.027,7.285
87.776,86.002,95.582,97.332,0.0,0.0,3,3,61.11533333333333,91.673,6.910000000000004
88.444,86.584,95.832,97.082,0.0,0.0,3,4,61.32366666666667,91.9855,6.888999999999999
93.334,83.748,88.418,91.5,96.666,0.0,4,0,75.611,90.7332,9.624499999999994
92.888,80.416,89.584,94.666,98.082,0.0,4,1,75.93933333333334,91.1272,7.305599999999998
93.002,81.25,84.25,95.584,99.416,0.0,4,2,75.58366666666667,90.7004,8.015599999999997
93.556,85.0,88.002,96.584,99.334,0.0,4,3,77.07933333333334,92.4952,6.487599999999998
93.556,85.5,89.25,96.5,99.334,0.0,4,4,77.35666666666667,92.828,6.154799999999997
95.0,85.166,88.75,91.502,98.168,99.002,5,0,92.93133333333333,92.93133333333333,7.265599999999997
90.888,75.332,86.166,82.418,95.25,99.668,5,1,88.28699999999999,88.28699999999999,10.698999999999996
91.332,74.75,84.416,85.0,96.332,99.832,5,2,88.61033333333334,88.61033333333334,10.48666666666667
91.998,75.832,85.082,86.25,96.832,99.916,5,3,89.31833333333333,89.31833333333333,9.806
92.11,75.998,85.5,86.5,96.916,99.916,5,4,89.49000000000001,89.49000000000001,9.648333333333332
