task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
79.75,0.0,0.0,0.0,0.0,0.0,0,0,13.291666666666666,79.75,0.0
89.252,0.0,0.0,0.0,0.0,0.0,0,1,14.875333333333332,89.252,-9.501999999999995
90.084,0.0,0.0,0.0,0.0,0.0,0,2,15.014000000000001,90.084,-0.8320000000000078
69.832,89.166,0.0,0.0,0.0,0.0,1,0,26.499666666666666,79.499,20.25200000000001
82.666,96.5,0.0,0.0,0.0,0.0,1,1,29.861,89.583,0.04200000000000159
83.5,96.168,0.0,0.0,0.0,0.0,1,2,29.944666666666667,89.834,3.4579999999999984
77.916,82.58,91.252,0.0,0.0,0.0,2,0,41.958,83.916,13.044000000000004
79.5,73.418,97.0,0.0,0.0,0.0,2,1,41.653,83.306,9.305999999999997
78.25,83.416,97.834,0.0,0.0,0.0,2,2,43.25,86.5,8.028
77.584,88.752,81.416,90.666,0.0,0.0,3,0,56.403,84.6045,12.222000000000003
80.5,87.498,73.25,95.084,0.0,0.0,3,1,56.05533333333333,84.083,9.687999999999999
78.918,84.5,83.918,96.248,0.0,0.0,3,2,57.264,85.896,8.979499999999998
80.0,79.502,80.668,93.748,86.416,0.0,4,0,70.05566666666667,84.0668,11.687000000000001
83.916,84.168,79.75,88.416,98.584,0.0,4,1,72.47233333333334,86.9668,6.449600000000001
79.916,86.834,80.916,89.25,99.916,0.0,4,2,72.80533333333334,87.3664,8.483600000000004
72.416,75.25,81.248,87.666,95.918,90.5,5,0,83.833,83.833,13.616800000000001
72.166,70.25,82.332,87.832,89.418,99.916,5,1,83.65233333333333,83.65233333333333,11.528000000000004
71.0,71.252,81.084,88.25,91.5,100.0,5,2,83.84766666666667,83.84766666666667,12.902000000000001
