task_1,task_2,task_3,task_4,task_5,task_6,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
90.556,0.0,0.0,0.0,0.0,0.0,0,0,15.092666666666666,90.556,0.0
99.22200000000001,0.0,0.0,0.0,0.0,0.0,0,1,16.537000000000003,99.22200000000001,-8.666000000000011
99.332,0.0,0.0,0.0,0.0,0.0,0,2,16.555333333333333,99.332,-0.10999999999998522
99.776,0.0,0.0,0.0,0.0,0.0,0,3,16.62933333333333,99.776,-0.4440000000000026
100.0,0.0,0.0,0.0,0.0,0.0,0,4,16.666666666666668,100.0,-0.22400000000000375
85.112,85.584,0.0,0.0,0.0,0.0,1,0,28.449333333333332,85.348,14.888000000000005
91.112,97.584,0.0,0.0,0.0,0.0,1,1,31.449333333333332,94.348,-1.5559999999999974
92.22200000000001,96.25,0.0,0.0,0.0,0.0,1,2,31.412000000000003,94.236,4.555999999999997
96.0,97.082,0.0,0.0,0.0,0.0,1,3,32.18033333333333,96.541,2.2510000000000048
96.77799999999999,98.75,0.0,0.0,0.0,0.0,1,4,32.588,97.764,1.0280000000000058
72.998,90.084,85.668,0.0,0.0,0.0,2,0,41.458333333333336,82.91666666666667,17.833999999999996
94.11,98.416,91.168,0.0,0.0,0.0,2,1,47.282333333333334,94.56466666666667,0.2413333333333346
90.332,96.918,96.5,0.0,0.0,0.0,2,2,47.291666666666664,94.58333333333333,2.0560000000000023
90.776,96.668,99.75,0.0,0.0,0.0,2,3,47.86566666666667,95.73133333333334,2.6853333333333325
90.888,97.918,99.832,0.0,0.0,0.0,2,4,48.10633333333334,96.21266666666668,3.2873333333333314
89.886,91.252,96.75,89.0,0.0,0.0,3,0,61.147999999999996,91.722,6.898000000000001
94.0,94.086,98.082,93.668,0.0,0.0,3,1,63.306000000000004,94.959,1.9364999999999988
88.556,91.584,95.834,98.584,0.0,0.0,3,2,62.42633333333333,93.6395,4.422999999999998
93.888,94.416,95.834,98.334,0.0,0.0,3,3,63.74533333333334,95.61800000000001,3.673499999999997
94.22200000000001,94.666,96.166,98.5,0.0,0.0,3,4,63.925666666666665,95.8885,3.4029999999999987
91.888,88.502,90.916,96.166,95.168,0.0,4,0,77.10666666666667,92.52799999999999,7.423500000000001
89.886,92.252,91.834,96.502,98.668,0.0,4,1,78.19033333333333,93.8284,4.638400000000002
90.0,92.248,92.0,96.502,99.084,0.0,4,2,78.30566666666667,93.9668,5.2
90.0,92.582,92.084,96.502,99.25,0.0,4,3,78.403,94.0836,5.166400000000001
90.444,92.25,92.168,97.0,99.5,0.0,4,4,78.56033333333333,94.2724,5.010799999999998
89.446,89.998,87.916,94.75,98.75,96.168,5,0,92.83800000000001,92.83800000000001,7.161199999999999
92.998,88.416,87.334,92.25,98.248,100.0,5,1,93.20766666666667,93.20766666666667,5.597999999999999
92.442,88.5,88.334,92.916,98.248,99.916,5,2,93.39266666666667,93.39266666666667,6.051666666666667
94.11,88.832,89.666,93.084,98.332,100.0,5,3,94.004,94.004,5.440333333333335
93.77799999999999,88.582,89.914,93.084,98.332,100.0,5,4,93.94833333333334,93.94833333333334,5.496000000000002
