run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,80.21,0.0,0.0,0.0,0.0
0,0,1,80.08,0.0,0.0,0.0,0.0
0,0,2,79.88,0.0,0.0,0.0,0.0
0,0,3,94.69,0.0,0.0,0.0,0.0
0,0,4,94.75,0.0,0.0,0.0,0.0
0,0,5,96.35,0.0,0.0,0.0,0.0
0,1,0,76.69,62.43,0.0,0.0,0.0
0,1,1,73.97,72.61,0.0,0.0,0.0
0,1,2,69.52,77.33,0.0,0.0,0.0
0,1,3,73.51,81.38,0.0,0.0,0.0
0,1,4,70.92,84.71,0.0,0.0,0.0
0,1,5,68.79,90.89,0.0,0.0,0.0
0,2,0,73.84,61.5,47.07,0.0,0.0
0,2,1,64.21,45.88,61.37,0.0,0.0
0,2,2,68.59,43.75,66.49,0.0,0.0
0,2,3,68.26,45.01,66.95,0.0,0.0
0,2,4,68.73,46.34,67.02,0.0,0.0
0,2,5,67.99,48.8,68.62,0.0,0.0
0,3,0,55.31,47.14,37.03,58.21,0.0
0,3,1,57.9,45.68,34.77,72.29,0.0
0,3,2,61.95,39.3,29.79,77.94,0.0
0,3,3,59.5,39.3,33.11,80.66,0.0
0,3,4,57.24,42.22,34.91,84.72,0.0
0,3,5,59.3,39.56,33.31,86.25,0.0
0,4,0,63.28,45.01,32.31,58.87,48.34
0,4,1,60.09,44.48,37.03,53.36,59.5
0,4,2,61.75,41.09,38.16,54.09,71.85
0,4,3,62.08,43.09,33.38,53.55,71.58
0,4,4,60.36,41.49,33.78,56.88,74.37
0,4,5,56.57,42.09,41.82,53.75,78.29
1,0,0,50.66,0.0,0.0,0.0,0.0
1,0,1,51.86,0.0,0.0,0.0,0.0
1,0,2,53.39,0.0,0.0,0.0,0.0
1,0,3,52.86,0.0,0.0,0.0,0.0
1,0,4,64.67,0.0,0.0,0.0,0.0
1,0,5,64.21,0.0,0.0,0.0,0.0
1,1,0,47.08,54.26,0.0,0.0,0.0
1,1,1,48.87,51.53,0.0,0.0,0.0
1,1,2,49.6,49.2,0.0,0.0,0.0
1,1,3,50.53,46.94,0.0,0.0,0.0
1,1,4,50.6,44.48,0.0,0.0,0.0
1,1,5,50.73,42.15,0.0,0.0,0.0
1,2,0,44.22,26.86,60.09,0.0,0.0
1,2,1,45.48,27.19,58.7,0.0,0.0
1,2,2,46.75,27.79,54.65,0.0,0.0
1,2,3,45.95,53.99,74.04,0.0,0.0
1,2,4,45.15,47.34,87.52,0.0,0.0
1,2,5,44.69,49.34,90.64,0.0,0.0
1,3,0,41.7,40.09,63.75,57.08,0.0
1,3,1,39.44,45.15,61.49,59.6,0.0
1,3,2,40.77,41.76,61.75,70.1,0.0
1,3,3,42.7,39.89,59.96,70.43,0.0
1,3,4,40.97,44.61,62.55,74.82,0.0
1,3,5,40.84,42.62,57.44,78.94,0.0
1,4,0,38.58,34.64,51.26,44.85,65.98
1,4,1,42.56,35.84,53.39,50.23,74.75
1,4,2,41.97,36.5,60.03,48.97,76.74
1,4,3,43.89,31.78,59.63,50.43,81.79
1,4,4,44.36,31.85,58.1,50.56,83.06
1,4,5,43.23,33.64,57.04,47.57,83.99
2,0,0,67.35,0.0,0.0,0.0,0.0
2,0,1,74.8,0.0,0.0,0.0,0.0
2,0,2,80.32,0.0,0.0,0.0,0.0
2,0,3,82.65,0.0,0.0,0.0,0.0
2,0,4,86.7,0.0,0.0,0.0,0.0
2,0,5,88.36,0.0,0.0,0.0,0.0
2,1,0,75.66,56.81,0.0,0.0,0.0
2,1,1,77.93,53.69,0.0,0.0,0.0
2,1,2,80.85,50.03,0.0,0.0,0.0
2,1,3,82.65,46.38,0.0,0.0,0.0
2,1,4,71.74,84.19,0.0,0.0,0.0
