run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,67.07,0.0,0.0,0.0,0.0
0,0,1,67.0,0.0,0.0,0.0,0.0
0,0,2,68.66,0.0,0.0,0.0,0.0
0,0,3,77.16,0.0,0.0,0.0,0.0
0,0,4,94.95,0.0,0.0,0.0,0.0
0,0,5,95.75,0.0,0.0,0.0,0.0
0,1,0,34.26,66.89,0.0,0.0,0.0
0,1,1,27.89,79.45,0.0,0.0,0.0
0,1,2,37.85,80.98,0.0,0.0,0.0
0,1,3,39.11,83.31,0.0,0.0,0.0
0,1,4,39.24,86.9,0.0,0.0,0.0
0,1,5,41.43,84.57,0.0,0.0,0.0
0,2,0,50.33,24.53,63.96,0.0,0.0
0,2,1,47.61,15.49,72.34,0.0,0.0
0,2,2,37.85,22.54,77.73,0.0,0.0
0,2,3,37.32,19.02,81.98,0.0,0.0
0,2,4,43.49,19.95,81.72,0.0,0.0
0,2,5,42.16,22.27,82.65,0.0,0.0
0,3,0,33.27,14.36,27.46,77.21,0.0
0,3,1,26.96,12.57,21.34,86.25,0.0
0,3,2,27.76,12.63,17.75,89.63,0.0
0,3,3,31.14,16.49,21.54,90.1,0.0
0,3,4,29.35,13.9,20.61,90.63,0.0
0,3,5,29.81,14.1,20.61,90.63,0.0
0,4,0,41.37,17.95,30.92,36.88,59.83
0,4,1,33.8,14.63,28.72,35.22,76.29
0,4,2,34.79,16.69,26.13,41.59,79.15
0,4,3,35.66,14.96,28.52,36.81,81.61
0,4,4,33.47,18.35,31.58,36.68,84.53
0,4,5,33.4,20.94,29.39,35.48,87.18
1,0,0,51.2,0.0,0.0,0.0,0.0
1,0,1,53.59,0.0,0.0,0.0,0.0
1,0,2,53.92,0.0,0.0,0.0,0.0
1,0,3,54.05,0.0,0.0,0.0,0.0
1,0,4,53.32,0.0,0.0,0.0,0.0
1,0,5,53.85,0.0,0.0,0.0,0.0
1,1,0,40.44,39.96,0.0,0.0,0.0
1,1,1,39.97,38.7,0.0,0.0,0.0
1,1,2,39.97,37.37,0.0,0.0,0.0
1,1,3,40.24,35.9,0.0,0.0,0.0
1,1,4,40.7,34.84,0.0,0.0,0.0
1,1,5,43.49,33.24,0.0,0.0,0.0
1,2,0,33.6,11.77,52.59,0.0,0.0
1,2,1,33.73,14.1,50.13,0.0,0.0
1,2,2,32.74,16.02,47.01,0.0,0.0
1,2,3,33.8,40.89,80.41,0.0,0.0
1,2,4,33.13,41.42,84.4,0.0,0.0
1,2,5,37.78,35.51,89.84,0.0,0.0
1,3,0,26.16,25.8,32.74,70.3,0.0
1,3,1,29.28,25.27,24.57,76.61,0.0
1,3,2,29.28,26.06,17.8,80.47,0.0
1,3,3,32.47,26.73,20.45,80.13,0.0
1,3,4,34.2,27.13,21.31,81.79,0.0
1,3,5,35.13,27.66,23.51,83.06,0.0
1,4,0,28.55,17.62,28.69,41.2,63.99
1,4,1,30.35,20.94,44.09,37.41,77.61
1,4,2,30.48,24.47,38.38,31.56,85.91
1,4,3,29.95,20.15,35.59,27.18,92.09
1,4,4,32.27,22.01,35.33,28.97,92.03
1,4,5,34.66,23.27,35.79,24.58,94.15
2,0,0,53.92,0.0,0.0,0.0,0.0
2,0,1,61.44,0.0,0.0,0.0,0.0
2,0,2,74.87,0.0,0.0,0.0,0.0
2,0,3,76.33,0.0,0.0,0.0,0.0
2,0,4,76.06,0.0,0.0,0.0,0.0
2,0,5,82.65,0.0,0.0,0.0,0.0
2,1,0,54.99,46.98,0.0,0.0,0.0
2,1,1,56.12,46.45,0.0,0.0,0.0
2,1,2,41.82,73.42,0.0,0.0,0.0
2,1,3,42.09,87.38,0.0,0.0,0.0
2,1,4,34.38,92.43,0.0,0.0,0.0
2,1,5,34.57,95.15,0.0,0.0,0.0
2,2,0,8.91,45.58,71.81,0.0,0.0
2,2,1,10.9,28.37,83.64,0.0,0.0
2,2,2,10.24,21.33,87.23,0.0,0.0
2,2,3,9.97,28.97,88.23,0.0,0.0
2,2,4,10.7,30.63,90.29,0.0,0.0
2,2,5,10.17,33.16,91.76,0.0,0.0
2,3,0,14.49,34.75,41.49,54.95,0.0
2,3,1,12.17,27.31,40.09,65.98,0.0
2,3,2,12.63,24.65,30.39,75.42,0.0
2,3,3,14.03,24.05,35.24,76.74,0.0
2,3,4,16.16,26.64,35.37,77.81,0.0
2,3,5,16.95,25.78,34.64,80.8,0.0
2,4,0,11.57,33.09,40.23,27.91,64.34
2,4,1,14.76,29.7,35.97,16.35,77.89
2,4,2,17.42,28.7,39.83,18.07,85.79
2,4,3,18.09,28.44,42.42,19.14,87.98
2,4,4,15.29,35.48,37.43,19.2,90.44
2,4,5,18.22,30.23,39.49,19.0,91.97
3,0,0,69.83,0.0,0.0,0.0,0.0
3,0,1,77.48,0.0,0.0,0.0,0.0
3,0,2,82.06,0.0,0.0,0.0,0.0
3,0,3,82.39,0.0,0.0,0.0,0.0
3,0,4,83.65,0.0,0.0,0.0,0.0
3,0,5,83.65,0.0,0.0,0.0,0.0
3,1,0,41.46,53.55,0.0,0.0,0.0
3,1,1,46.58,49.1,0.0,0.0,0.0
3,1,2,51.43,44.32,0.0,0.0,0.0
3,1,3,56.35,38.01,0.0,0.0,0.0
3,1,4,58.14,32.76,0.0,0.0,0.0
3,1,5,65.12,79.14,0.0,0.0,0.0
3,2,0,29.04,46.91,65.76,0.0,0.0
3,2,1,34.29,44.25,80.92,0.0,0.0
3,2,2,30.03,40.2,87.9,0.0,0.0
3,2,3,28.31,40.93,90.82,0.0,0.0
3,2,4,25.78,38.27,92.02,0.0,0.0
3,2,5,27.31,45.51,94.88,0.0,0.0
3,3,0,31.5,42.52,53.39,55.85,0.0
3,3,1,34.15,36.61,57.05,64.83,0.0
3,3,2,36.94,33.89,56.85,70.94,0.0
3,3,3,34.62,35.95,51.13,76.0,0.0
3,3,4,39.67,32.49,52.26,79.32,0.0
3,3,5,37.61,34.68,50.93,80.72,0.0
3,4,0,42.86,35.61,52.13,25.93,66.73
3,4,1,33.02,32.23,45.35,20.08,79.61
3,4,2,32.43,35.68,44.22,24.67,84.53
3,4,3,35.95,33.55,39.03,28.46,88.38
3,4,4,34.75,29.1,44.02,31.38,88.38
3,4,5,33.55,34.95,46.88,30.45,93.23
4,0,0,78.6,0.0,0.0,0.0,0.0
4,0,1,83.32,0.0,0.0,0.0,0.0
4,0,2,85.18,0.0,0.0,0.0,0.0
4,0,3,87.24,0.0,0.0,0.0,0.0
4,0,4,89.3,0.0,0.0,0.0,0.0
4,0,5,88.9,0.0,0.0,0.0,0.0
