run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,67.07,0.0,0.0,0.0,0.0
0,0,1,67.0,0.0,0.0,0.0,0.0
0,0,2,68.66,0.0,0.0,0.0,0.0
0,0,3,77.16,0.0,0.0,0.0,0.0
0,0,4,94.95,0.0,0.0,0.0,0.0
0,0,5,95.75,0.0,0.0,0.0,0.0
0,1,0,44.16,67.75,0.0,0.0,0.0
0,1,1,51.0,78.19,0.0,0.0,0.0
0,1,2,48.01,82.31,0.0,0.0,0.0
0,1,3,40.24,85.64,0.0,0.0,0.0
0,1,4,44.36,87.23,0.0,0.0,0.0
0,1,5,37.85,93.15,0.0,0.0,0.0
0,2,0,36.32,58.58,55.85,0.0,0.0
0,2,1,41.1,31.85,73.2,0.0,0.0
0,2,2,41.43,28.99,76.33,0.0,0.0
0,2,3,43.96,28.26,80.25,0.0,0.0
0,2,4,41.04,27.53,80.72,0.0,0.0
0,2,5,45.15,28.32,81.85,0.0,0.0
0,3,0,34.2,35.51,53.39,61.99,0.0
0,3,1,30.01,25.4,39.83,80.53,0.0
0,3,2,31.27,29.26,41.69,82.59,0.0
0,3,3,28.55,27.39,39.56,85.78,0.0
0,3,4,29.22,27.33,38.96,89.5,0.0
0,3,5,26.89,28.66,37.7,91.16,0.0
0,4,0,29.61,26.46,36.17,56.68,51.59
0,4,1,31.74,28.86,39.36,52.96,70.25
0,4,2,28.49,25.73,40.69,45.65,76.63
0,4,3,30.54,27.79,42.62,42.39,80.68
0,4,4,30.41,28.39,41.69,40.0,83.0
0,4,5,29.68,26.93,37.3,42.52,87.18
1,0,0,51.2,0.0,0.0,0.0,0.0
1,0,1,53.59,0.0,0.0,0.0,0.0
1,0,2,53.92,0.0,0.0,0.0,0.0
1,0,3,54.05,0.0,0.0,0.0,0.0
1,0,4,53.32,0.0,0.0,0.0,0.0
1,0,5,53.85,0.0,0.0,0.0,0.0
1,1,0,28.88,66.76,0.0,0.0,0.0
1,1,1,28.62,78.26,0.0,0.0,0.0
1,1,2,28.55,81.58,0.0,0.0,0.0
1,1,3,32.54,84.04,0.0,0.0,0.0
1,1,4,30.15,86.57,0.0,0.0,0.0
1,1,5,34.53,89.63,0.0,0.0,0.0
1,2,0,28.15,63.76,57.44,0.0,0.0
1,2,1,31.08,47.94,80.74,0.0,0.0
1,2,2,30.41,35.84,85.72,0.0,0.0
1,2,3,27.42,35.9,87.25,0.0,0.0
1,2,4,26.83,35.24,88.11,0.0,0.0
1,2,5,24.77,33.58,91.77,0.0,0.0
1,3,0,31.41,37.97,45.55,64.45,0.0
1,3,1,29.35,33.84,32.93,76.28,0.0
1,3,2,31.27,31.52,30.61,78.01,0.0
1,3,3,30.94,32.11,30.21,78.27,0.0
1,3,4,31.01,31.78,30.08,78.74,0.0
1,3,5,29.15,31.72,25.96,81.46,0.0
1,4,0,31.14,29.92,39.31,54.29,53.22
1,4,1,31.54,27.79,34.06,50.5,77.87
1,4,2,31.61,26.53,37.72,44.39,85.91
1,4,3,29.02,27.46,30.88,45.32,86.71
1,4,4,33.6,24.67,36.59,35.42,91.89
1,4,5,29.61,23.4,37.05,39.14,92.82
2,0,0,53.92,0.0,0.0,0.0,0.0
2,0,1,61.44,0.0,0.0,0.0,0.0
2,0,2,74.87,0.0,0.0,0.0,0.0
2,0,3,76.33,0.0,0.0,0.0,0.0
2,0,4,76.06,0.0,0.0,0.0,0.0
2,0,5,82.65,0.0,0.0,0.0,0.0
2,1,0,49.0,64.52,0.0,0.0,0.0
2,1,1,31.72,68.17,0.0,0.0,0.0
2,1,2,35.04,81.06,0.0,0.0,0.0
2,1,3,31.91,89.04,0.0,0.0,0.0
2,1,4,37.37,93.75,0.0,0.0,0.0
2,1,5,37.5,94.22,0.0,0.0,0.0
2,2,0,22.87,74.68,60.31,0.0,0.0
2,2,1,16.49,48.97,77.66,0.0,0.0
2,2,2,17.35,43.79,83.11,0.0,0.0
2,2,3,17.09,46.45,84.31,0.0,0.0
2,2,4,16.56,41.53,87.37,0.0,0.0
2,2,5,14.96,43.52,89.03,0.0,0.0
2,3,0,22.74,38.87,54.39,50.17,0.0
2,3,1,19.48,38.8,46.81,64.52,0.0
2,3,2,17.69,43.12,41.95,69.7,0.0
2,3,3,17.09,37.21,40.16,73.75,0.0
2,3,4,16.95,41.33,36.9,76.48,0.0
2,3,5,16.42,39.07,40.29,79.87,0.0
2,4,0,16.02,39.2,40.09,54.95,45.82
2,4,1,22.87,39.14,42.22,30.83,66.6
2,4,2,20.41,40.27,48.01,33.29,76.03
2,4,3,19.88,37.87,47.61,34.42,82.8
2,4,4,19.02,37.54,40.36,30.63,86.12
2,4,5,21.94,37.81,39.3,29.83,86.99
3,0,0,69.83,0.0,0.0,0.0,0.0
3,0,1,77.48,0.0,0.0,0.0,0.0
3,0,2,82.06,0.0,0.0,0.0,0.0
3,0,3,82.39,0.0,0.0,0.0,0.0
3,0,4,83.65,0.0,0.0,0.0,0.0
3,0,5,83.65,0.0,0.0,0.0,0.0
3,1,0,51.5,59.34,0.0,0.0,0.0
3,1,1,54.15,58.27,0.0,0.0,0.0
3,1,2,57.81,57.14,0.0,0.0,0.0
3,1,3,57.54,55.61,0.0,0.0,0.0
3,1,4,60.0,54.82,0.0,0.0,0.0
3,1,5,61.93,88.97,0.0,0.0,0.0
3,2,0,44.85,68.37,64.63,0.0,0.0
3,2,1,36.68,51.1,79.45,0.0,0.0
3,2,2,38.6,51.23,83.98,0.0,0.0
3,2,3,32.89,48.97,88.76,0.0,0.0
3,2,4,34.42,49.97,89.43,0.0,0.0
3,2,5,33.75,49.44,93.55,0.0,0.0
3,3,0,43.52,45.78,70.88,47.34,0.0
3,3,1,42.39,33.89,54.79,58.58,0.0
3,3,2,39.2,41.4,62.63,68.95,0.0
3,3,3,42.52,43.52,55.19,73.34,0.0
3,3,4,45.98,41.79,55.65,76.6,0.0
3,3,5,45.45,40.73,45.21,83.38,0.0
3,4,0,40.6,40.4,48.2,54.72,64.08
3,4,1,35.02,31.3,36.77,49.07,74.97
3,4,2,38.74,37.14,42.49,49.73,81.67
3,4,3,37.54,36.61,37.1,43.95,89.97
3,4,4,34.29,33.02,38.56,36.7,93.36
3,4,5,36.15,36.68,40.69,37.3,94.02
4,0,0,78.6,0.0,0.0,0.0,0.0
4,0,1,83.32,0.0,0.0,0.0,0.0
4,0,2,85.18,0.0,0.0,0.0,0.0
4,0,3,87.24,0.0,0.0,0.0,0.0
4,0,4,89.3,0.0,0.0,0.0,0.0
4,0,5,88.9,0.0,0.0,0.0,0.0
