run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,80.21,0.0,0.0,0.0,0.0
0,0,1,80.21,0.0,0.0,0.0,0.0
0,0,2,79.95,0.0,0.0,0.0,0.0
0,0,3,80.48,0.0,0.0,0.0,0.0
0,0,4,81.41,0.0,0.0,0.0,0.0
0,0,5,95.68,0.0,0.0,0.0,0.0
0,1,0,56.71,68.28,0.0,0.0,0.0
0,1,1,62.22,72.47,0.0,0.0,0.0
0,1,2,55.18,81.65,0.0,0.0,0.0
0,1,3,70.39,81.72,0.0,0.0,0.0
0,1,4,66.0,86.5,0.0,0.0,0.0
0,1,5,64.81,88.36,0.0,0.0,0.0
0,2,0,59.96,31.58,64.23,0.0,0.0
0,2,1,70.19,28.32,70.21,0.0,0.0
0,2,2,71.71,30.65,72.67,0.0,0.0
0,2,3,67.99,41.02,74.6,0.0,0.0
0,2,4,71.05,42.62,74.8,0.0,0.0
0,2,5,70.25,41.29,78.12,0.0,0.0
0,3,0,57.44,35.9,27.99,71.3,0.0
0,3,1,52.12,28.86,18.55,81.13,0.0
0,3,2,63.94,27.93,20.21,82.39,0.0
0,3,3,59.56,34.38,26.0,84.39,0.0
0,3,4,60.89,31.85,25.47,83.46,0.0
0,3,5,58.17,31.45,31.45,84.72,0.0
0,4,0,57.04,30.59,34.77,37.81,63.48
0,4,1,53.85,31.85,35.57,39.07,75.03
0,4,2,54.58,32.31,34.51,42.19,78.15
0,4,3,59.03,35.11,36.44,43.19,78.69
0,4,4,61.29,37.43,34.84,43.19,80.01
0,4,5,63.48,33.44,34.64,42.52,80.15
1,0,0,50.66,0.0,0.0,0.0,0.0
1,0,1,51.99,0.0,0.0,0.0,0.0
1,0,2,52.72,0.0,0.0,0.0,0.0
1,0,3,53.32,0.0,0.0,0.0,0.0
1,0,4,68.79,0.0,0.0,0.0,0.0
1,0,5,71.65,0.0,0.0,0.0,0.0
1,1,0,53.65,38.23,0.0,0.0,0.0
1,1,1,55.58,34.71,0.0,0.0,0.0
1,1,2,57.37,31.85,0.0,0.0,0.0
1,1,3,59.5,28.99,0.0,0.0,0.0
1,1,4,51.06,74.07,0.0,0.0,0.0
1,1,5,52.46,76.93,0.0,0.0,0.0
1,2,0,45.75,29.92,67.07,0.0,0.0
1,2,1,48.07,42.69,67.07,0.0,0.0
1,2,2,47.01,47.47,78.75,0.0,0.0
1,2,3,44.02,44.22,81.74,0.0,0.0
1,2,4,48.41,50.33,85.92,0.0,0.0
1,2,5,50.27,46.94,87.18,0.0,0.0
1,3,0,43.29,38.56,41.77,67.97,0.0
1,3,1,46.68,38.83,34.53,71.1,0.0
1,3,2,46.81,43.22,37.65,72.09,0.0
1,3,3,47.81,42.69,38.05,75.02,0.0
1,3,4,48.34,39.1,42.9,76.94,0.0
1,3,5,47.01,43.09,44.69,75.28,0.0
1,4,0,41.57,39.3,46.81,40.33,71.1
1,4,1,42.03,43.09,48.61,43.72,77.34
1,4,2,47.48,37.43,49.34,43.92,81.86
1,4,3,44.29,35.04,52.06,49.44,85.51
1,4,4,46.61,39.03,55.25,47.97,88.64
1,4,5,44.69,40.82,53.05,48.57,89.77
2,0,0,67.35,0.0,0.0,0.0,0.0
2,0,1,76.53,0.0,0.0,0.0,0.0
2,0,2,80.19,0.0,0.0,0.0,0.0
2,0,3,81.78,0.0,0.0,0.0,0.0
2,0,4,82.78,0.0,0.0,0.0,0.0
2,0,5,83.05,0.0,0.0,0.0,0.0
2,1,0,54.79,54.22,0.0,0.0,0.0
2,1,1,59.71,49.63,0.0,0.0,0.0
2,1,2,63.43,43.19,0.0,0.0,0.0
2,1,3,67.75,38.21,0.0,0.0,0.0
2,1,4,62.57,81.33,0.0,0.0,0.0
2,1,5,59.04,84.72,0.0,0.0,0.0
2,2,0,40.89,54.49,64.56,0.0,0.0
2,2,1,36.37,46.91,76.66,0.0,0.0
2,2,2,42.75,46.78,77.39,0.0,0.0
2,2,3,38.56,51.03,81.85,0.0,0.0
2,2,4,35.97,55.88,82.91,0.0,0.0
2,2,5,29.19,60.73,86.37,0.0,0.0
2,3,0,39.49,46.98,34.77,51.69,0.0
2,3,1,47.74,49.37,36.97,52.89,0.0
2,3,2,47.01,50.96,36.17,59.14,0.0
2,3,3,51.46,53.22,39.96,66.25,0.0
2,3,4,48.74,60.27,41.95,67.04,0.0
2,3,5,46.81,60.13,44.28,71.5,0.0
2,4,0,41.82,55.48,39.3,29.9,67.0
2,4,1,49.27,55.48,46.88,26.18,70.12
2,4,2,44.08,54.68,44.61,26.38,77.36
2,4,3,44.22,54.42,48.54,27.44,79.75
2,4,4,45.21,55.15,47.94,27.44,79.88
2,4,5,45.68,56.48,48.14,27.77,81.08
3,0,0,74.88,0.0,0.0,0.0,0.0
3,0,1,83.39,0.0,0.0,0.0,0.0
3,0,2,86.51,0.0,0.0,0.0,0.0
3,0,3,88.37,0.0,0.0,0.0,0.0
3,0,4,89.44,0.0,0.0,0.0,0.0
3,0,5,92.96,0.0,0.0,0.0,0.0
3,1,0,56.28,71.69,0.0,0.0,0.0
3,1,1,62.92,77.87,0.0,0.0,0.0
3,1,2,66.05,79.8,0.0,0.0,0.0
3,1,3,65.58,79.93,0.0,0.0,0.0
3,1,4,72.16,83.12,0.0,0.0,0.0
3,1,5,76.88,84.32,0.0,0.0,0.0
3,2,0,47.24,39.27,62.17,0.0,0.0
3,2,1,63.72,53.42,74.2,0.0,0.0
3,2,2,57.08,54.22,80.32,0.0,0.0
3,2,3,59.6,54.42,84.04,0.0,0.0
3,2,4,60.2,61.13,85.31,0.0,0.0
3,2,5,61.46,55.68,87.3,0.0,0.0
3,3,0,54.22,45.78,32.71,55.45,0.0
3,3,1,64.98,51.83,42.62,67.69,0.0
3,3,2,64.12,49.77,40.76,71.94,0.0
3,3,3,65.98,54.22,40.23,72.54,0.0
3,3,4,65.65,55.55,44.41,73.6,0.0
3,3,5,65.85,53.89,45.55,73.74,0.0
3,4,0,60.4,49.04,45.61,23.34,70.05
3,4,1,60.53,50.37,48.6,29.65,76.29
3,4,2,62.33,53.42,44.88,33.98,80.81
3,4,3,60.86,54.75,51.0,33.98,82.54
3,4,4,60.73,53.42,49.53,33.31,84.0
3,4,5,61.66,53.36,49.67,34.04,85.26
4,0,0,81.73,0.0,0.0,0.0,0.0
4,0,1,87.57,0.0,0.0,0.0,0.0
4,0,2,88.24,0.0,0.0,0.0,0.0
4,0,3,88.04,0.0,0.0,0.0,0.0
4,0,4,90.56,0.0,0.0,0.0,0.0
4,0,5,91.69,0.0,0.0,0.0,0.0
4,1,0,64.05,40.16,0.0,0.0,0.0
4,1,1,67.97,35.04,0.0,0.0,0.0
4,1,2,70.7,64.1,0.0,0.0,0.0
4,1,3,68.97,76.26,0.0,0.0,0.0
4,1,4,63.12,83.78,0.0,0.0,0.0
4,1,5,62.92,86.37,0.0,0.0,0.0
