run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,78.09,0.0,0.0,0.0,0.0
0,0,1,78.35,0.0,0.0,0.0,0.0
0,0,2,79.15,0.0,0.0,0.0,0.0
0,0,3,79.35,0.0,0.0,0.0,0.0
0,0,4,92.76,0.0,0.0,0.0,0.0
0,0,5,94.95,0.0,0.0,0.0,0.0
0,1,0,57.3,63.56,0.0,0.0,0.0
0,1,1,59.1,67.22,0.0,0.0,0.0
0,1,2,62.08,72.21,0.0,0.0,0.0
0,1,3,61.82,73.34,0.0,0.0,0.0
0,1,4,64.61,74.73,0.0,0.0,0.0
0,1,5,65.41,74.07,0.0,0.0,0.0
0,2,0,62.35,30.78,61.04,0.0,0.0
0,2,1,70.05,25.73,63.63,0.0,0.0
0,2,2,67.0,36.17,61.24,0.0,0.0
0,2,3,70.65,34.97,63.1,0.0,0.0
0,2,4,71.98,36.24,64.3,0.0,0.0
0,2,5,70.98,38.43,65.43,0.0,0.0
0,3,0,24.17,15.29,17.15,76.54,0.0
0,3,1,59.83,24.4,15.29,76.21,0.0
0,3,2,55.64,24.4,17.89,79.2,0.0
0,3,3,56.97,31.78,15.36,78.54,0.0
0,3,4,57.97,32.18,15.62,77.48,0.0
0,3,5,60.29,31.65,15.69,79.07,0.0
0,4,0,46.35,25.27,16.69,25.91,64.08
0,4,1,55.25,21.61,12.83,22.92,72.05
0,4,2,52.99,23.47,13.9,23.06,75.43
0,4,3,54.65,27.93,14.96,26.91,74.77
0,4,4,54.25,30.98,16.09,24.39,77.16
0,4,5,55.11,29.85,16.36,25.45,77.56
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,50.2,0.0,0.0,0.0,0.0
1,0,2,50.0,0.0,0.0,0.0,0.0
1,0,3,49.93,0.0,0.0,0.0,0.0
1,0,4,50.07,0.0,0.0,0.0,0.0
1,0,5,50.86,0.0,0.0,0.0,0.0
1,1,0,40.84,34.71,0.0,0.0,0.0
1,1,1,41.63,33.38,0.0,0.0,0.0
1,1,2,41.97,32.11,0.0,0.0,0.0
1,1,3,42.1,32.51,0.0,0.0,0.0
1,1,4,43.56,31.25,0.0,0.0,0.0
1,1,5,44.49,29.85,0.0,0.0,0.0
1,2,0,34.13,1.73,63.28,0.0,0.0
1,2,1,35.99,2.59,61.22,0.0,0.0
1,2,2,37.18,3.72,57.9,0.0,0.0
1,2,3,38.25,5.25,53.19,0.0,0.0
1,2,4,39.24,6.58,49.4,0.0,0.0
1,2,5,38.91,53.79,77.95,0.0,0.0
1,3,0,34.59,44.22,34.66,61.93,0.0
1,3,1,39.44,42.89,42.1,63.85,0.0
1,3,2,41.5,47.54,36.52,62.33,0.0
1,3,3,41.43,45.74,38.98,66.05,0.0
1,3,4,40.11,44.95,38.38,68.57,0.0
1,3,5,41.5,42.62,39.24,70.17,0.0
1,4,0,37.78,25.8,32.54,34.82,71.23
1,4,1,38.71,29.92,39.24,34.09,71.03
1,4,2,41.57,31.25,42.03,33.09,80.6
1,4,3,38.05,30.65,45.48,41.86,84.52
1,4,4,38.38,32.25,51.66,41.26,86.45
1,4,5,40.7,30.85,49.14,41.46,86.98
