run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,79.88,0.0,0.0,0.0,0.0
0,1,0,65.8,50.53,0.0,0.0,0.0
0,2,0,57.17,31.45,14.1,0.0,0.0
0,3,0,18.53,19.41,1.33,67.31,0.0
0,4,0,32.07,17.95,2.13,4.45,39.18
1,0,0,50.2,0.0,0.0,0.0,0.0
1,1,0,53.59,78.46,0.0,0.0,0.0
1,2,0,39.18,32.25,85.66,0.0,0.0
1,3,0,38.91,20.08,9.16,84.12,0.0
1,4,0,31.61,11.1,7.37,9.1,93.29
2,0,0,74.87,0.0,0.0,0.0,0.0
2,1,0,78.26,74.09,0.0,0.0,0.0
2,2,0,13.1,21.66,85.11,0.0,0.0
2,3,0,43.22,26.71,18.62,67.44,0.0
2,4,0,25.13,16.15,23.07,8.04,89.11
3,0,0,90.9,0.0,0.0,0.0,0.0
3,1,0,91.16,78.34,0.0,0.0,0.0
3,2,0,15.55,26.64,92.22,0.0,0.0
3,3,0,50.5,36.21,17.02,81.25,0.0
3,4,0,41.79,22.79,14.16,23.07,93.82
4,0,0,90.3,0.0,0.0,0.0,0.0
4,1,0,81.66,47.41,0.0,0.0,0.0
4,2,0,47.64,7.58,46.55,0.0,0.0
4,3,0,47.84,25.13,26.43,65.56,0.0
4,4,0,42.72,22.47,26.96,7.78,68.22
