run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,80.28,0.0,0.0,0.0,0.0
0,0,1,81.67,0.0,0.0,0.0,0.0
0,0,2,81.01,0.0,0.0,0.0,0.0
0,0,3,94.42,0.0,0.0,0.0,0.0
0,0,4,97.28,0.0,0.0,0.0,0.0
0,0,5,97.28,0.0,0.0,0.0,0.0
0,1,0,72.97,62.63,0.0,0.0,0.0
0,1,1,67.46,65.03,0.0,0.0,0.0
0,1,2,69.46,68.55,0.0,0.0,0.0
0,1,3,77.22,79.72,0.0,0.0,0.0
0,1,4,73.04,80.72,0.0,0.0,0.0
0,1,5,70.65,86.44,0.0,0.0,0.0
0,2,0,71.05,54.39,52.59,0.0,0.0
0,2,1,71.31,49.0,58.78,0.0,0.0
0,2,2,74.7,42.69,64.49,0.0,0.0
0,2,3,72.18,41.76,69.02,0.0,0.0
0,2,4,71.98,41.89,69.81,0.0,0.0
0,2,5,73.31,43.55,72.54,0.0,0.0
0,3,0,61.02,37.97,40.76,53.42,0.0
0,3,1,61.02,34.44,44.28,67.44,0.0
0,3,2,60.49,39.36,38.3,76.41,0.0
0,3,3,61.35,43.02,46.08,83.46,0.0
0,3,4,60.56,35.37,43.15,88.11,0.0
0,3,5,59.1,37.97,45.01,89.63,0.0
0,4,0,58.23,32.18,33.91,53.55,60.36
0,4,1,54.45,35.17,41.29,51.3,68.33
0,4,2,53.72,34.57,41.16,53.69,73.9
0,4,3,58.57,34.04,43.55,50.9,76.63
0,4,4,57.1,33.05,42.29,51.83,78.95
0,4,5,56.84,35.04,43.68,48.44,82.27
1,0,0,51.99,0.0,0.0,0.0,0.0
1,0,1,52.32,0.0,0.0,0.0,0.0
1,0,2,53.45,0.0,0.0,0.0,0.0
1,0,3,53.45,0.0,0.0,0.0,0.0
1,0,4,52.66,0.0,0.0,0.0,0.0
1,0,5,69.79,0.0,0.0,0.0,0.0
1,1,0,53.52,51.6,0.0,0.0,0.0
1,1,1,54.38,49.93,0.0,0.0,0.0
1,1,2,55.31,48.34,0.0,0.0,0.0
1,1,3,56.51,46.21,0.0,0.0,0.0
1,1,4,56.57,46.88,0.0,0.0,0.0
1,1,5,58.5,43.95,0.0,0.0,0.0
1,2,0,50.27,28.72,59.3,0.0,0.0
1,2,1,52.12,30.25,56.84,0.0,0.0
1,2,2,54.18,35.7,73.24,0.0,0.0
1,2,3,51.93,37.7,81.61,0.0,0.0
1,2,4,49.6,36.64,89.18,0.0,0.0
1,2,5,51.2,36.97,90.17,0.0,0.0
1,3,0,46.28,29.52,58.3,57.28,0.0
1,3,1,48.47,31.65,60.09,54.75,0.0
1,3,2,52.12,31.58,56.31,62.59,0.0
1,3,3,48.54,39.1,60.62,70.76,0.0
