run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,86.45,0.0,0.0,0.0,0.0
0,0,1,90.84,0.0,0.0,0.0,0.0
0,0,2,91.5,0.0,0.0,0.0,0.0
0,0,3,91.17,0.0,0.0,0.0,0.0
0,0,4,91.17,0.0,0.0,0.0,0.0
0,0,5,91.1,0.0,0.0,0.0,0.0
0,0,6,90.77,0.0,0.0,0.0,0.0
0,1,0,74.97,47.94,0.0,0.0,0.0
0,1,1,75.23,47.54,0.0,0.0,0.0
0,1,2,75.56,47.34,0.0,0.0,0.0
0,1,3,75.83,47.27,0.0,0.0,0.0
0,1,4,76.49,47.41,0.0,0.0,0.0
0,1,5,76.49,47.01,0.0,0.0,0.0
0,1,6,76.56,46.68,0.0,0.0,0.0
0,2,0,76.36,20.01,44.68,0.0,0.0
0,2,1,76.96,19.88,44.08,0.0,0.0
0,2,2,77.22,19.22,43.55,0.0,0.0
0,2,3,77.49,19.22,42.89,0.0,0.0
0,2,4,78.09,19.02,42.22,0.0,0.0
0,2,5,78.42,18.82,41.82,0.0,0.0
0,2,6,78.75,18.75,42.02,0.0,0.0
0,3,0,72.51,29.19,25.13,25.78,0.0
0,3,1,73.04,28.92,25.6,25.05,0.0
0,3,2,73.17,28.52,26.46,24.65,0.0
0,3,3,73.24,28.12,26.8,24.05,0.0
0,3,4,73.31,27.99,27.59,23.26,0.0
0,3,5,73.51,27.79,28.12,22.99,0.0
0,3,6,73.71,27.26,28.46,22.59,0.0
0,4,0,74.97,20.08,37.03,6.91,27.49
0,4,1,75.9,20.48,37.43,7.18,25.23
0,4,2,76.29,20.81,37.63,7.71,23.37
0,4,3,76.69,21.54,37.43,8.11,22.11
0,4,4,77.09,22.21,37.63,8.37,21.25
0,4,5,77.56,22.47,37.9,8.24,20.45
0,4,6,77.56,22.74,37.77,8.5,19.85
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,50.93,0.0,0.0,0.0,0.0
1,0,2,51.53,0.0,0.0,0.0,0.0
1,0,3,51.73,0.0,0.0,0.0,0.0
1,0,4,51.53,0.0,0.0,0.0,0.0
1,0,5,51.66,0.0,0.0,0.0,0.0
