run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,80.28,0.0,0.0,0.0,0.0
0,0,1,81.67,0.0,0.0,0.0,0.0
0,0,2,91.5,0.0,0.0,0.0,0.0
0,0,3,94.36,0.0,0.0,0.0,0.0
0,0,4,94.22,0.0,0.0,0.0,0.0
0,0,5,94.29,0.0,0.0,0.0,0.0
0,1,0,64.14,51.06,0.0,0.0,0.0
0,1,1,70.39,56.91,0.0,0.0,0.0
0,1,2,74.1,69.48,0.0,0.0,0.0
0,1,3,75.03,77.26,0.0,0.0,0.0
0,1,4,70.05,84.64,0.0,0.0,0.0
0,1,5,71.91,84.44,0.0,0.0,0.0
0,2,0,58.96,32.58,63.7,0.0,0.0
0,2,1,67.4,25.93,68.35,0.0,0.0
0,2,2,71.91,34.11,68.95,0.0,0.0
0,2,3,69.06,41.16,73.74,0.0,0.0
0,2,4,69.26,42.29,73.47,0.0,0.0
0,2,5,72.44,39.96,72.34,0.0,0.0
0,3,0,56.51,29.65,25.8,69.04,0.0
0,3,1,65.47,35.17,21.41,76.15,0.0
0,3,2,65.47,34.24,26.86,79.53,0.0
0,3,3,65.21,39.16,27.33,79.34,0.0
0,3,4,57.97,35.31,36.37,84.39,0.0
0,3,5,62.42,36.97,35.77,84.98,0.0
0,4,0,59.96,30.39,34.97,41.79,61.49
0,4,1,57.97,33.98,30.52,38.27,69.65
0,4,2,58.23,34.51,35.04,44.05,71.71
0,4,3,59.16,43.15,33.18,45.71,72.31
0,4,4,59.3,43.35,34.31,45.05,72.11
0,4,5,60.76,43.75,35.77,44.85,73.77
1,0,0,51.99,0.0,0.0,0.0,0.0
1,0,1,52.32,0.0,0.0,0.0,0.0
1,0,2,53.12,0.0,0.0,0.0,0.0
1,0,3,52.99,0.0,0.0,0.0,0.0
1,0,4,67.26,0.0,0.0,0.0,0.0
1,0,5,66.53,0.0,0.0,0.0,0.0
1,1,0,48.67,41.02,0.0,0.0,0.0
1,1,1,50.46,39.1,0.0,0.0,0.0
1,1,2,52.32,35.84,0.0,0.0,0.0
1,1,3,54.38,32.71,0.0,0.0,0.0
1,1,4,55.44,31.05,0.0,0.0,0.0
1,1,5,56.71,27.59,0.0,0.0,0.0
1,2,0,39.71,2.99,61.09,0.0,0.0
1,2,1,42.7,3.19,58.5,0.0,0.0
1,2,2,45.55,3.46,55.78,0.0,0.0
1,2,3,47.08,4.06,52.12,0.0,0.0
1,2,4,48.34,4.65,49.27,0.0,0.0
1,2,5,50.13,6.18,45.82,0.0,0.0
1,3,0,47.14,5.59,1.59,46.31,0.0
1,3,1,47.61,6.58,1.73,44.72,0.0
1,3,2,47.68,8.05,2.32,41.26,0.0
1,3,3,49.14,10.04,2.92,36.15,0.0
