run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,80.28,0.0,0.0,0.0,0.0
0,0,1,81.67,0.0,0.0,0.0,0.0
0,0,2,91.5,0.0,0.0,0.0,0.0
0,0,3,94.36,0.0,0.0,0.0,0.0
0,0,4,94.22,0.0,0.0,0.0,0.0
0,0,5,94.29,0.0,0.0,0.0,0.0
0,1,0,75.23,47.87,0.0,0.0,0.0
0,1,1,75.17,47.47,0.0,0.0,0.0
0,1,2,81.01,69.95,0.0,0.0,0.0
0,1,3,78.55,75.6,0.0,0.0,0.0
0,1,4,79.75,76.06,0.0,0.0,0.0
0,1,5,75.5,84.11,0.0,0.0,0.0
0,2,0,69.12,52.66,49.2,0.0,0.0
0,2,1,77.56,43.82,53.99,0.0,0.0
0,2,2,74.3,45.28,56.05,0.0,0.0
0,2,3,73.11,50.13,57.85,0.0,0.0
0,2,4,71.38,51.46,71.01,0.0,0.0
0,2,5,73.51,49.93,75.13,0.0,0.0
0,3,0,65.87,49.0,46.21,51.56,0.0
0,3,1,60.29,45.35,37.03,67.97,0.0
0,3,2,62.82,45.48,43.48,71.23,0.0
0,3,3,62.42,45.01,46.54,71.3,0.0
0,3,4,63.68,46.01,49.27,73.22,0.0
0,3,5,63.28,49.47,48.07,83.46,0.0
0,4,0,61.02,41.89,37.63,55.88,52.59
0,4,1,53.92,42.69,41.09,54.35,63.48
0,4,2,56.84,45.35,42.09,53.69,67.99
0,4,3,57.3,44.88,42.49,51.03,72.11
0,4,4,57.3,44.61,43.42,52.36,72.71
0,4,5,54.45,42.75,43.15,54.35,76.03
1,0,0,51.99,0.0,0.0,0.0,0.0
1,0,1,52.32,0.0,0.0,0.0,0.0
1,0,2,53.12,0.0,0.0,0.0,0.0
1,0,3,52.99,0.0,0.0,0.0,0.0
1,0,4,67.26,0.0,0.0,0.0,0.0
1,0,5,66.53,0.0,0.0,0.0,0.0
1,1,0,51.86,48.74,0.0,0.0,0.0
1,1,1,53.05,47.67,0.0,0.0,0.0
1,1,2,54.12,46.61,0.0,0.0,0.0
1,1,3,54.78,44.88,0.0,0.0,0.0
1,1,4,56.11,43.82,0.0,0.0,0.0
1,1,5,57.64,42.69,0.0,0.0,0.0
1,2,0,40.7,17.09,65.6,0.0,0.0
1,2,1,43.89,18.48,64.28,0.0,0.0
1,2,2,45.55,20.15,62.35,0.0,0.0
1,2,3,47.34,21.54,59.5,0.0,0.0
1,2,4,49.0,23.8,56.04,0.0,0.0
1,2,5,50.33,25.8,53.19,0.0,0.0
1,3,0,50.07,24.93,15.47,41.0,0.0
1,3,1,50.53,25.0,16.93,39.6,0.0
1,3,2,51.46,25.33,18.26,37.21,0.0
1,3,3,51.99,25.93,19.39,34.02,0.0
