run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,82.46,0.0,0.0,0.0,0.0
0,0,1,83.08,0.0,0.0,0.0,0.0
0,0,2,88.13,0.0,0.0,0.0,0.0
0,0,3,87.6,0.0,0.0,0.0,0.0
0,0,4,87.42,0.0,0.0,0.0,0.0
0,1,0,70.68,50.76,0.0,0.0,0.0
0,1,1,71.12,54.62,0.0,0.0,0.0
0,1,2,71.21,54.49,0.0,0.0,0.0
0,1,3,71.39,54.62,0.0,0.0,0.0
0,1,4,71.57,54.35,0.0,0.0,0.0
0,2,0,69.8,53.16,18.42,0.0,0.0
0,2,1,62.44,46.58,22.94,0.0,0.0
0,2,2,62.89,46.05,22.07,0.0,0.0
0,2,3,63.33,45.98,21.54,0.0,0.0
0,2,4,63.42,45.98,20.74,0.0,0.0
0,3,0,65.99,45.85,18.95,9.18,0.0
0,3,1,42.87,29.77,9.84,41.82,0.0
0,3,2,44.2,30.63,9.77,40.69,0.0
0,3,3,44.82,31.03,9.97,39.96,0.0
0,3,4,46.06,31.3,10.17,39.49,0.0
0,4,0,66.25,39.93,10.17,9.44,28.62
0,4,1,55.0,36.08,12.23,27.26,36.32
0,4,2,55.62,36.61,12.57,27.39,35.66
0,4,3,56.33,36.74,12.7,27.39,35.33
0,4,4,56.78,37.41,12.9,27.26,34.59
1,0,0,51.2,0.0,0.0,0.0,0.0
1,0,1,51.37,0.0,0.0,0.0,0.0
1,0,2,51.11,0.0,0.0,0.0,0.0
1,0,3,51.28,0.0,0.0,0.0,0.0
1,0,4,51.2,0.0,0.0,0.0,0.0
1,1,0,8.06,38.07,0.0,0.0,0.0
1,1,1,10.1,38.14,0.0,0.0,0.0
1,1,2,12.13,37.21,0.0,0.0,0.0
1,1,3,13.91,36.61,0.0,0.0,0.0
1,1,4,14.61,34.42,0.0,0.0,0.0
1,2,0,34.54,37.94,43.46,0.0,0.0
1,2,1,34.99,37.87,43.65,0.0,0.0
1,2,2,35.87,37.87,43.79,0.0,0.0
1,2,3,36.14,37.74,43.65,0.0,0.0
1,2,4,36.4,37.54,43.52,0.0,0.0
1,3,0,35.34,21.59,25.71,38.8,0.0
1,3,1,35.87,21.0,30.76,56.48,0.0
1,3,2,35.78,20.66,30.83,56.35,0.0
1,3,3,41.1,26.25,38.01,61.4,0.0
1,3,4,41.01,25.98,45.25,62.46,0.0
1,4,0,39.86,25.65,35.75,50.03,49.37
1,4,1,37.38,20.66,28.84,53.89,62.59
1,4,2,39.06,22.72,27.84,50.96,64.19
1,4,3,38.8,22.99,27.71,47.91,65.32
1,4,4,40.04,21.86,25.25,49.37,65.12
2,0,0,55.5,0.0,0.0,0.0,0.0
2,0,1,72.34,0.0,0.0,0.0,0.0
2,0,2,72.7,0.0,0.0,0.0,0.0
2,0,3,72.34,0.0,0.0,0.0,0.0
2,0,4,72.34,0.0,0.0,0.0,0.0
2,1,0,53.28,56.98,0.0,0.0,0.0
2,1,1,53.99,56.32,0.0,0.0,0.0
2,1,2,54.88,55.65,0.0,0.0,0.0
2,1,3,55.23,54.92,0.0,0.0,0.0
2,1,4,55.14,54.45,0.0,0.0,0.0
2,2,0,50.44,48.47,32.16,0.0,0.0
2,2,1,38.65,42.22,48.17,0.0,0.0
2,2,2,39.01,42.42,48.04,0.0,0.0
2,2,3,39.01,42.49,47.64,0.0,0.0
2,2,4,39.63,42.75,47.44,0.0,0.0
2,3,0,45.74,42.82,27.04,14.43,0.0
2,3,1,34.75,27.79,30.9,30.39,0.0
2,3,2,34.75,28.12,31.1,29.45,0.0
2,3,3,35.02,28.79,31.83,28.12,0.0
2,3,4,35.37,29.52,32.09,27.59,0.0
2,4,0,41.67,37.9,32.56,10.44,24.24
2,4,1,38.65,32.25,34.49,18.48,27.89
2,4,2,39.18,32.85,35.02,18.55,27.16
2,4,3,39.36,33.38,35.28,18.42,26.49
2,4,4,40.34,34.18,35.75,18.48,25.63
3,0,0,79.52,0.0,0.0,0.0,0.0
3,0,1,82.62,0.0,0.0,0.0,0.0
3,0,2,82.71,0.0,0.0,0.0,0.0
3,0,3,85.2,0.0,0.0,0.0,0.0
3,0,4,84.66,0.0,0.0,0.0,0.0
3,1,0,70.48,47.84,0.0,0.0,0.0
3,1,1,64.01,55.02,0.0,0.0,0.0
3,1,2,63.56,54.29,0.0,0.0,0.0
3,1,3,62.94,57.81,0.0,0.0,0.0
3,1,4,61.7,56.81,0.0,0.0,0.0
3,2,0,42.55,38.01,57.81,0.0,0.0
3,2,1,46.28,48.5,57.74,0.0,0.0
3,2,2,46.9,48.9,57.41,0.0,0.0
3,2,3,47.52,49.57,56.54,0.0,0.0
3,2,4,47.7,50.56,56.81,0.0,0.0
3,3,0,51.51,41.26,41.06,37.03,0.0
3,3,1,53.99,50.03,41.33,45.88,0.0
3,3,2,54.34,50.1,41.33,44.55,0.0
3,3,3,55.14,50.3,41.26,44.55,0.0
3,3,4,55.5,50.56,41.06,43.88,0.0
3,4,0,57.09,50.76,39.2,29.65,41.53
3,4,1,51.95,47.38,38.14,41.22,51.43
3,4,2,54.26,52.96,40.0,40.49,58.6
3,4,3,53.99,53.42,34.75,39.36,58.67
3,4,4,54.7,53.55,38.01,40.09,58.74
4,0,0,71.81,0.0,0.0,0.0,0.0
4,0,1,78.9,0.0,0.0,0.0,0.0
4,0,2,82.18,0.0,0.0,0.0,0.0
4,0,3,84.84,0.0,0.0,0.0,0.0
4,0,4,84.84,0.0,0.0,0.0,0.0
4,1,0,67.82,48.57,0.0,0.0,0.0
4,1,1,68.71,47.84,0.0,0.0,0.0
4,1,2,68.79,46.71,0.0,0.0,0.0
4,1,3,69.06,46.18,0.0,0.0,0.0
4,1,4,69.06,45.78,0.0,0.0,0.0
4,2,0,60.46,33.49,31.43,0.0,0.0
4,2,1,62.41,34.68,29.83,0.0,0.0
4,2,2,64.01,35.95,28.44,0.0,0.0
4,2,3,58.16,37.94,36.81,0.0,0.0
4,2,4,59.93,38.67,34.35,0.0,0.0
4,3,0,69.5,37.01,8.7,23.72,0.0
4,3,1,62.59,39.6,14.88,31.76,0.0
4,3,2,63.56,40.07,15.02,31.1,0.0
4,3,3,64.1,40.27,14.62,30.03,0.0
4,3,4,65.07,40.66,14.55,29.5,0.0
4,4,0,70.83,40.13,9.24,9.37,16.22
4,4,1,63.92,35.08,7.71,18.54,32.65
4,4,2,63.92,35.48,7.77,18.47,32.05
4,4,3,64.1,36.15,7.77,18.47,31.65
4,4,4,64.27,36.68,7.91,18.21,30.85
