run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,82.46,0.0,0.0,0.0,0.0
0,0,1,83.08,0.0,0.0,0.0,0.0
0,0,2,88.13,0.0,0.0,0.0,0.0
0,0,3,87.6,0.0,0.0,0.0,0.0
0,0,4,87.42,0.0,0.0,0.0,0.0
0,1,0,64.75,55.61,0.0,0.0,0.0
0,1,1,64.92,55.68,0.0,0.0,0.0
0,1,2,65.19,55.88,0.0,0.0,0.0
0,1,3,65.54,55.95,0.0,0.0,0.0
0,1,4,65.99,56.01,0.0,0.0,0.0
0,2,0,65.46,51.3,25.8,0.0,0.0
0,2,1,69.09,44.92,25.47,0.0,0.0
0,2,2,68.91,44.78,25.33,0.0,0.0
0,2,3,69.44,44.45,25.2,0.0,0.0
0,2,4,69.8,44.12,25.2,0.0,0.0
0,3,0,42.52,28.31,20.28,42.75,0.0
0,3,1,42.16,29.04,24.87,48.27,0.0
0,3,2,42.52,29.3,25.07,48.01,0.0
0,3,3,43.31,29.83,25.2,47.61,0.0
0,3,4,58.72,35.95,42.02,57.31,0.0
0,4,0,58.1,33.62,32.38,42.62,42.76
0,4,1,57.04,31.83,31.38,47.34,52.52
0,4,2,49.34,31.03,30.45,48.34,53.52
0,4,3,51.73,32.76,29.12,48.27,54.78
0,4,4,51.73,32.96,29.19,48.27,54.98
1,0,0,51.2,0.0,0.0,0.0,0.0
1,0,1,51.37,0.0,0.0,0.0,0.0
1,0,2,51.11,0.0,0.0,0.0,0.0
1,0,3,51.28,0.0,0.0,0.0,0.0
1,0,4,51.2,0.0,0.0,0.0,0.0
1,1,0,4.96,40.27,0.0,0.0,0.0
1,1,1,4.96,40.13,0.0,0.0,0.0
1,1,2,6.02,39.8,0.0,0.0,0.0
1,1,3,6.64,40.0,0.0,0.0,0.0
1,1,4,7.35,39.34,0.0,0.0,0.0
1,2,0,24.45,24.72,52.62,0.0,0.0
1,2,1,24.98,24.58,52.43,0.0,0.0
1,2,2,25.42,25.32,52.23,0.0,0.0
1,2,3,25.6,25.78,52.03,0.0,0.0
1,2,4,25.86,25.85,51.89,0.0,0.0
1,3,0,24.0,21.0,24.39,49.3,0.0
1,3,1,40.92,31.63,39.4,56.28,0.0
1,3,2,41.1,31.43,39.53,56.21,0.0
1,3,3,41.19,31.63,39.73,55.61,0.0
1,3,4,43.49,32.82,42.39,60.6,0.0
1,4,0,46.24,34.49,30.56,47.31,51.89
1,4,1,41.63,24.98,27.77,44.39,63.59
1,4,2,43.14,25.71,27.38,43.59,67.18
1,4,3,42.34,28.24,26.45,41.79,68.11
1,4,4,43.05,28.17,24.85,41.59,70.17
2,0,0,55.5,0.0,0.0,0.0,0.0
2,0,1,72.34,0.0,0.0,0.0,0.0
2,0,2,72.7,0.0,0.0,0.0,0.0
2,0,3,72.34,0.0,0.0,0.0,0.0
2,0,4,72.34,0.0,0.0,0.0,0.0
2,1,0,53.19,55.32,0.0,0.0,0.0
2,1,1,53.9,54.06,0.0,0.0,0.0
2,1,2,54.52,52.59,0.0,0.0,0.0
2,1,3,54.43,51.73,0.0,0.0,0.0
2,1,4,54.34,50.93,0.0,0.0,0.0
2,2,0,37.15,26.33,37.01,0.0,0.0
2,2,1,36.26,33.91,41.59,0.0,0.0
2,2,2,37.32,34.57,40.4,0.0,0.0
2,2,3,38.48,35.44,39.47,0.0,0.0
2,2,4,39.54,35.84,37.87,0.0,0.0
2,3,0,37.68,26.6,20.33,29.65,0.0
2,3,1,39.63,36.84,29.24,37.37,0.0
2,3,2,40.69,37.23,29.3,36.57,0.0
2,3,3,41.05,37.83,28.97,35.84,0.0
2,3,4,42.73,38.36,28.97,34.77,0.0
2,4,0,46.1,34.97,22.13,19.75,38.05
2,4,1,43.97,30.12,17.48,22.21,48.01
2,4,2,44.06,30.52,17.81,22.14,47.81
2,4,3,44.86,31.25,18.14,22.27,47.68
2,4,4,49.47,34.38,20.53,27.06,54.05
3,0,0,79.52,0.0,0.0,0.0,0.0
3,0,1,82.62,0.0,0.0,0.0,0.0
3,0,2,82.71,0.0,0.0,0.0,0.0
3,0,3,85.2,0.0,0.0,0.0,0.0
3,0,4,84.66,0.0,0.0,0.0,0.0
3,1,0,66.4,44.85,0.0,0.0,0.0
3,1,1,67.29,51.3,0.0,0.0,0.0
3,1,2,67.11,50.76,0.0,0.0,0.0
3,1,3,67.2,50.23,0.0,0.0,0.0
3,1,4,67.11,49.3,0.0,0.0,0.0
3,2,0,39.45,38.74,51.36,0.0,0.0
3,2,1,37.94,46.78,63.32,0.0,0.0
3,2,2,38.39,46.84,62.92,0.0,0.0
3,2,3,38.92,46.98,62.19,0.0,0.0
3,2,4,39.72,46.64,61.79,0.0,0.0
3,3,0,49.65,31.63,41.66,36.24,0.0
3,3,1,36.35,24.58,44.52,48.2,0.0
3,3,2,48.23,39.07,49.7,54.72,0.0
3,3,3,53.72,38.41,48.17,55.92,0.0
3,3,4,52.84,38.54,48.7,56.52,0.0
3,4,0,55.67,39.0,36.88,51.4,47.31
3,4,1,51.86,33.62,34.15,49.73,60.0
3,4,2,51.86,33.62,34.42,49.47,59.93
3,4,3,50.27,34.02,35.61,48.8,63.19
3,4,4,53.1,35.22,34.29,50.33,65.05
4,0,0,71.81,0.0,0.0,0.0,0.0
4,0,1,78.9,0.0,0.0,0.0,0.0
4,0,2,82.18,0.0,0.0,0.0,0.0
4,0,3,84.84,0.0,0.0,0.0,0.0
4,0,4,84.84,0.0,0.0,0.0,0.0
4,1,0,64.36,46.98,0.0,0.0,0.0
4,1,1,65.16,46.58,0.0,0.0,0.0
4,1,2,66.13,45.45,0.0,0.0,0.0
4,1,3,66.93,44.78,0.0,0.0,0.0
4,1,4,67.73,44.12,0.0,0.0,0.0
4,2,0,43.35,28.5,43.32,0.0,0.0
4,2,1,43.71,29.1,42.52,0.0,0.0
4,2,2,43.79,29.5,42.06,0.0,0.0
4,2,3,44.41,29.9,41.93,0.0,0.0
4,2,4,44.77,30.5,41.53,0.0,0.0
4,3,0,38.48,27.84,25.58,43.72,0.0
4,3,1,44.59,32.16,27.84,49.04,0.0
4,3,2,45.48,32.49,28.11,48.24,0.0
4,3,3,46.19,33.16,28.44,47.77,0.0
4,3,4,46.81,33.69,28.5,46.91,0.0
4,4,0,50.8,28.04,14.95,29.44,36.44
4,4,1,56.21,35.95,22.06,38.54,44.81
4,4,2,51.33,32.56,23.12,46.18,55.19
4,4,3,52.3,30.43,21.66,47.77,57.05
4,4,4,52.04,31.56,23.39,45.98,56.98
