run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,82.46,0.0,0.0,0.0,0.0
0,0,1,83.08,0.0,0.0,0.0,0.0
0,0,2,88.13,0.0,0.0,0.0,0.0
0,0,3,87.6,0.0,0.0,0.0,0.0
0,0,4,87.42,0.0,0.0,0.0,0.0
0,1,0,73.16,51.76,0.0,0.0,0.0
0,1,1,69.62,54.95,0.0,0.0,0.0
0,1,2,69.97,55.28,0.0,0.0,0.0
0,1,3,70.5,55.22,0.0,0.0,0.0
0,1,4,71.04,55.08,0.0,0.0,0.0
0,2,0,71.48,49.3,21.21,0.0,0.0
0,2,1,65.63,46.45,24.67,0.0,0.0
0,2,2,65.9,45.71,24.0,0.0,0.0
0,2,3,65.63,45.25,22.94,0.0,0.0
0,2,4,65.81,44.65,22.74,0.0,0.0
0,3,0,71.04,42.59,13.23,14.23,0.0
0,3,1,58.99,31.69,16.49,29.12,0.0
0,3,2,58.9,31.96,16.49,28.39,0.0
0,3,3,58.99,32.03,16.42,27.79,0.0
0,3,4,58.9,32.09,16.42,27.73,0.0
0,4,0,64.75,41.93,13.9,9.24,27.22
0,4,1,57.31,36.01,15.29,25.27,34.86
0,4,2,57.93,36.28,15.69,25.13,33.73
0,4,3,58.46,36.41,16.02,25.13,33.27
0,4,4,58.81,36.68,16.16,25.07,33.13
1,0,0,51.2,0.0,0.0,0.0,0.0
1,0,1,51.37,0.0,0.0,0.0,0.0
1,0,2,51.11,0.0,0.0,0.0,0.0
1,0,3,51.28,0.0,0.0,0.0,0.0
1,0,4,51.2,0.0,0.0,0.0,0.0
1,1,0,8.5,39.53,0.0,0.0,0.0
1,1,1,9.65,39.14,0.0,0.0,0.0
1,1,2,10.81,38.67,0.0,0.0,0.0
1,1,3,12.05,38.01,0.0,0.0,0.0
1,1,4,13.64,37.61,0.0,0.0,0.0
1,2,0,24.36,29.9,46.38,0.0,0.0
1,2,1,24.53,30.03,45.98,0.0,0.0
1,2,2,25.16,29.9,45.98,0.0,0.0
1,2,3,25.51,29.83,45.71,0.0,0.0
1,2,4,25.86,30.17,45.85,0.0,0.0
1,3,0,20.64,20.66,33.22,40.66,0.0
1,3,1,35.08,27.57,35.28,61.06,0.0
1,3,2,32.15,25.51,33.89,62.72,0.0
1,3,3,33.66,26.71,31.96,63.26,0.0
1,3,4,37.2,30.5,38.34,61.93,0.0
1,4,0,35.87,25.51,31.63,47.64,55.88
1,4,1,35.16,21.53,28.77,53.95,63.12
1,4,2,36.49,22.79,32.09,55.22,65.18
1,4,3,35.96,23.65,29.24,50.76,66.31
1,4,4,36.4,22.26,28.5,52.03,67.64
2,0,0,55.5,0.0,0.0,0.0,0.0
2,0,1,72.34,0.0,0.0,0.0,0.0
2,0,2,72.7,0.0,0.0,0.0,0.0
2,0,3,72.34,0.0,0.0,0.0,0.0
2,0,4,72.34,0.0,0.0,0.0,0.0
2,1,0,50.09,58.51,0.0,0.0,0.0
2,1,1,51.06,57.65,0.0,0.0,0.0
2,1,2,51.77,56.91,0.0,0.0,0.0
2,1,3,51.6,55.78,0.0,0.0,0.0
2,1,4,52.13,55.19,0.0,0.0,0.0
2,2,0,43.17,51.6,38.34,0.0,0.0
2,2,1,37.77,49.0,49.24,0.0,0.0
2,2,2,38.92,49.27,48.37,0.0,0.0
2,2,3,39.45,49.6,47.91,0.0,0.0
2,2,4,39.89,49.47,47.44,0.0,0.0
2,3,0,43.09,44.28,28.7,29.19,0.0
2,3,1,39.45,41.82,39.07,28.99,0.0
2,3,2,39.63,42.42,39.4,28.39,0.0
2,3,3,39.63,42.62,39.8,27.13,0.0
2,3,4,39.72,43.22,40.0,26.46,0.0
2,4,0,43.09,48.07,33.82,15.36,24.04
2,4,1,43.35,48.2,34.42,15.62,23.64
2,4,2,45.12,45.74,34.02,21.21,26.63
2,4,3,45.12,45.94,34.09,21.34,25.43
2,4,4,45.21,45.88,34.35,21.28,24.9
3,0,0,79.52,0.0,0.0,0.0,0.0
3,0,1,82.62,0.0,0.0,0.0,0.0
3,0,2,82.71,0.0,0.0,0.0,0.0
3,0,3,85.2,0.0,0.0,0.0,0.0
3,0,4,84.66,0.0,0.0,0.0,0.0
3,1,0,67.46,49.7,0.0,0.0,0.0
3,1,1,62.94,52.96,0.0,0.0,0.0
3,1,2,62.94,51.83,0.0,0.0,0.0
3,1,3,63.03,51.36,0.0,0.0,0.0
3,1,4,63.12,50.43,0.0,0.0,0.0
3,2,0,45.12,41.93,54.42,0.0,0.0
3,2,1,48.14,50.3,56.21,0.0,0.0
3,2,2,48.58,50.63,55.61,0.0,0.0
3,2,3,48.94,51.5,54.82,0.0,0.0
3,2,4,49.11,51.96,54.09,0.0,0.0
3,3,0,46.19,40.93,42.59,34.84,0.0
3,3,1,50.0,46.05,40.4,45.55,0.0
3,3,2,50.8,46.25,40.53,45.15,0.0
3,3,3,59.31,58.34,50.76,51.0,0.0
3,3,4,55.32,56.48,52.56,52.59,0.0
3,4,0,57.45,52.49,46.71,43.28,46.78
3,4,1,52.75,53.75,48.37,46.54,51.63
3,4,2,54.17,53.29,50.03,45.55,51.56
3,4,3,55.85,53.62,49.9,47.54,51.63
3,4,4,54.7,52.62,51.3,50.93,54.68
4,0,0,71.81,0.0,0.0,0.0,0.0
4,0,1,78.9,0.0,0.0,0.0,0.0
4,0,2,82.18,0.0,0.0,0.0,0.0
4,0,3,84.84,0.0,0.0,0.0,0.0
4,0,4,84.84,0.0,0.0,0.0,0.0
4,1,0,63.3,45.78,0.0,0.0,0.0
4,1,1,64.27,44.98,0.0,0.0,0.0
4,1,2,64.36,43.85,0.0,0.0,0.0
4,1,3,64.27,43.19,0.0,0.0,0.0
4,1,4,64.36,42.59,0.0,0.0,0.0
4,2,0,55.23,33.09,32.76,0.0,0.0
4,2,1,56.21,33.55,31.1,0.0,0.0
4,2,2,56.65,37.54,30.7,0.0,0.0
4,2,3,58.42,37.87,28.57,0.0,0.0
4,2,4,58.95,38.41,26.98,0.0,0.0
4,3,0,57.89,35.48,13.95,32.16,0.0
4,3,1,58.24,36.01,14.42,31.1,0.0
4,3,2,58.33,36.28,14.42,29.77,0.0
4,3,3,58.33,36.48,14.42,28.9,0.0
4,3,4,58.6,36.88,14.49,28.11,0.0
4,4,0,54.08,34.42,9.3,20.8,25.6
4,4,1,53.1,32.36,9.37,22.86,31.65
4,4,2,53.37,32.69,9.7,22.66,30.05
4,4,3,53.81,32.89,9.83,22.46,29.32
4,4,4,54.08,33.09,10.1,22.33,28.26
