run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,80.28,0.0,0.0,0.0,0.0
0,0,1,80.68,0.0,0.0,0.0,0.0
0,0,2,81.67,0.0,0.0,0.0,0.0
0,0,3,81.47,0.0,0.0,0.0,0.0
0,0,4,82.14,0.0,0.0,0.0,0.0
0,0,5,82.54,0.0,0.0,0.0,0.0
0,1,0,48.07,57.85,0.0,0.0,0.0
0,1,1,53.72,53.19,0.0,0.0,0.0
0,1,2,60.76,48.14,0.0,0.0,0.0
0,1,3,65.74,44.68,0.0,0.0,0.0
0,1,4,70.65,38.83,0.0,0.0,0.0
0,1,5,74.04,34.64,0.0,0.0,0.0
0,2,0,61.95,3.99,46.54,0.0,0.0
0,2,1,64.54,5.32,41.89,0.0,0.0
0,2,2,67.2,6.78,36.5,0.0,0.0
0,2,3,68.39,7.51,30.72,0.0,0.0
0,2,4,70.12,8.11,25.86,0.0,0.0
0,2,5,70.65,10.04,22.34,0.0,0.0
0,3,0,47.34,6.32,2.73,46.45,0.0
0,3,1,49.6,6.52,3.19,42.66,0.0
0,3,2,55.78,24.73,32.05,57.34,0.0
0,3,3,58.83,25.8,33.71,52.82,0.0
0,3,4,60.42,25.86,34.91,49.77,0.0
0,3,5,59.69,39.83,40.62,62.99,0.0
0,4,0,52.99,35.51,40.23,25.85,46.81
0,4,1,59.89,29.59,38.16,27.11,54.78
0,4,2,61.95,33.05,39.3,35.15,50.8
0,4,3,65.27,35.24,44.02,29.97,49.73
0,4,4,65.07,36.17,42.42,31.89,50.2
0,4,5,59.83,40.56,39.76,44.72,69.59
1,0,0,51.99,0.0,0.0,0.0,0.0
1,0,1,54.12,0.0,0.0,0.0,0.0
1,0,2,54.32,0.0,0.0,0.0,0.0
1,0,3,54.52,0.0,0.0,0.0,0.0
1,0,4,68.92,0.0,0.0,0.0,0.0
1,0,5,71.45,0.0,0.0,0.0,0.0
1,1,0,57.5,35.24,0.0,0.0,0.0
1,1,1,59.89,31.58,0.0,0.0,0.0
1,1,2,61.75,28.19,0.0,0.0,0.0
1,1,3,54.98,70.28,0.0,0.0,0.0
1,1,4,56.31,70.08,0.0,0.0,0.0
1,1,5,52.32,80.72,0.0,0.0,0.0
1,2,0,44.49,39.83,68.53,0.0,0.0
1,2,1,47.88,50.47,67.73,0.0,0.0
1,2,2,46.15,47.34,78.49,0.0,0.0
1,2,3,47.34,52.59,80.94,0.0,0.0
1,2,4,46.95,52.79,84.73,0.0,0.0
1,2,5,47.88,49.93,86.59,0.0,0.0
1,3,0,44.89,41.62,38.25,63.39,0.0
1,3,1,44.62,48.6,41.24,65.91,0.0
1,3,2,45.75,45.61,45.62,73.02,0.0
1,3,3,46.48,49.14,46.88,71.96,0.0
1,3,4,47.14,47.74,49.34,72.29,0.0
1,3,5,46.35,48.14,47.74,76.15,0.0
1,4,0,40.44,31.91,43.23,35.42,76.48
1,4,1,44.89,47.47,45.82,37.74,73.29
1,4,2,44.09,40.62,50.6,36.68,81.53
1,4,3,46.15,44.15,49.67,39.47,80.6
1,4,4,43.96,44.08,48.41,45.78,83.06
1,4,5,44.29,45.15,50.66,45.78,82.33
2,0,0,71.68,0.0,0.0,0.0,0.0
2,0,1,71.08,0.0,0.0,0.0,0.0
2,0,2,75.4,0.0,0.0,0.0,0.0
2,0,3,74.47,0.0,0.0,0.0,0.0
2,0,4,81.18,0.0,0.0,0.0,0.0
2,0,5,89.56,0.0,0.0,0.0,0.0
2,1,0,54.52,70.7,0.0,0.0,0.0
2,1,1,53.39,78.8,0.0,0.0,0.0
2,1,2,59.97,84.25,0.0,0.0,0.0
2,1,3,59.31,86.31,0.0,0.0,0.0
2,1,4,63.36,88.9,0.0,0.0,0.0
2,1,5,58.11,91.83,0.0,0.0,0.0
2,2,0,24.0,54.95,70.68,0.0,0.0
2,2,1,28.52,41.59,82.71,0.0,0.0
2,2,2,35.17,53.36,83.11,0.0,0.0
2,2,3,36.24,52.89,83.71,0.0,0.0
2,2,4,38.1,54.88,85.44,0.0,0.0
2,2,5,40.62,53.89,84.57,0.0,0.0
2,3,0,31.72,48.04,39.56,59.6,0.0
2,3,1,45.88,50.76,43.95,64.78,0.0
2,3,2,48.87,49.3,42.62,70.1,0.0
2,3,3,43.88,47.91,45.94,74.82,0.0
2,3,4,45.81,50.63,50.2,75.22,0.0
2,3,5,44.95,46.05,45.15,78.94,0.0
2,4,0,34.24,44.05,47.27,33.16,68.99
2,4,1,29.12,41.13,43.75,24.19,77.49
2,4,2,34.84,45.85,52.66,32.29,80.81
2,4,3,39.63,44.85,50.13,34.02,83.53
2,4,4,40.62,45.25,50.4,34.95,82.74
2,4,5,36.37,46.05,51.06,38.21,85.06
3,0,0,75.95,0.0,0.0,0.0,0.0
3,0,1,76.21,0.0,0.0,0.0,0.0
3,0,2,86.25,0.0,0.0,0.0,0.0
3,0,3,86.31,0.0,0.0,0.0,0.0
3,0,4,95.15,0.0,0.0,0.0,0.0
3,0,5,94.95,0.0,0.0,0.0,0.0
3,1,0,62.13,76.01,0.0,0.0,0.0
3,1,1,66.91,81.46,0.0,0.0,0.0
3,1,2,69.83,84.65,0.0,0.0,0.0
3,1,3,69.17,87.64,0.0,0.0,0.0
3,1,4,70.7,87.24,0.0,0.0,0.0
3,1,5,67.71,91.23,0.0,0.0,0.0
3,2,0,47.24,54.49,70.81,0.0,0.0
3,2,1,41.73,35.95,79.06,0.0,0.0
3,2,2,48.97,46.91,81.72,0.0,0.0
3,2,3,48.64,50.1,84.38,0.0,0.0
3,2,4,48.11,49.37,85.11,0.0,0.0
3,2,5,47.57,49.3,85.04,0.0,0.0
3,3,0,56.68,42.33,30.19,59.57,0.0
3,3,1,58.01,49.1,28.92,67.15,0.0
3,3,2,60.6,55.28,32.45,71.74,0.0
3,3,3,58.67,54.49,40.36,72.27,0.0
3,3,4,58.74,47.84,45.48,78.39,0.0
3,3,5,58.34,49.24,46.21,78.72,0.0
3,4,0,48.31,42.66,44.68,42.95,67.33
3,4,1,54.49,50.5,41.49,49.73,76.63
3,4,2,53.95,51.56,46.34,46.88,82.54
3,4,3,56.15,49.44,45.74,47.94,87.05
3,4,4,52.62,52.43,46.14,47.14,87.72
3,4,5,55.61,52.36,45.88,44.95,89.31
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.38,0.0,0.0,0.0,0.0
4,0,2,89.17,0.0,0.0,0.0,0.0
4,0,3,89.83,0.0,0.0,0.0,0.0
4,0,4,90.3,0.0,0.0,0.0,0.0
4,0,5,91.23,0.0,0.0,0.0,0.0
4,1,0,49.77,43.88,0.0,0.0,0.0
4,1,1,61.33,60.84,0.0,0.0,0.0
4,1,2,62.33,60.37,0.0,0.0,0.0
4,1,3,66.78,74.2,0.0,0.0,0.0
4,1,4,62.19,73.74,0.0,0.0,0.0
4,1,5,60.13,86.5,0.0,0.0,0.0
4,2,0,40.66,47.14,53.05,0.0,0.0
4,2,1,45.91,42.75,65.07,0.0,0.0
4,2,2,44.32,55.59,65.87,0.0,0.0
4,2,3,44.12,54.19,67.73,0.0,0.0
4,2,4,46.91,62.23,75.83,0.0,0.0
4,2,5,46.78,62.83,76.16,0.0,0.0
4,3,0,40.93,49.93,28.42,67.55,0.0
4,3,1,41.26,57.45,22.78,71.34,0.0
4,3,2,45.91,57.11,31.81,75.66,0.0
4,3,3,42.26,61.17,34.26,78.39,0.0
4,3,4,44.58,56.85,38.58,79.92,0.0
4,3,5,43.12,61.3,31.81,84.31,0.0
4,4,0,37.34,37.97,25.37,44.41,53.12
4,4,1,41.73,32.98,20.25,43.48,58.84
4,4,2,45.71,40.23,28.75,48.27,70.88
4,4,3,43.32,43.48,32.34,50.07,74.47
4,4,4,44.32,40.62,37.18,53.39,77.13
4,4,5,45.12,41.62,36.06,53.12,77.66
