run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,80.28,0.0,0.0,0.0,0.0
0,0,1,80.68,0.0,0.0,0.0,0.0
0,0,2,81.67,0.0,0.0,0.0,0.0
0,0,3,81.47,0.0,0.0,0.0,0.0
0,0,4,82.14,0.0,0.0,0.0,0.0
0,0,5,82.54,0.0,0.0,0.0,0.0
0,1,0,62.68,50.2,0.0,0.0,0.0
0,1,1,63.88,52.26,0.0,0.0,0.0
0,1,2,65.54,51.53,0.0,0.0,0.0
0,1,3,67.13,50.53,0.0,0.0,0.0
0,1,4,69.79,48.34,0.0,0.0,0.0
0,1,5,71.65,46.41,0.0,0.0,0.0
0,2,0,66.14,17.35,48.67,0.0,0.0
0,2,1,66.27,19.08,46.01,0.0,0.0
0,2,2,66.8,21.08,43.95,0.0,0.0
0,2,3,67.66,21.68,40.96,0.0,0.0
0,2,4,67.53,23.67,39.16,0.0,0.0
0,2,5,65.41,25.86,37.43,0.0,0.0
0,3,0,53.39,26.0,12.57,39.93,0.0
0,3,1,55.84,26.66,13.16,36.41,0.0
0,3,2,59.43,33.78,44.22,59.87,0.0
0,3,3,67.46,41.56,38.63,65.78,0.0
0,3,4,68.99,41.69,38.5,64.52,0.0
0,3,5,62.42,44.81,35.04,82.39,0.0
0,4,0,60.09,44.41,34.97,57.94,47.68
0,4,1,63.35,40.69,40.29,58.74,54.45
0,4,2,64.08,41.95,39.23,55.81,60.96
0,4,3,59.23,42.82,35.04,61.46,66.73
0,4,4,59.03,40.62,36.24,59.2,71.38
0,4,5,57.64,43.09,36.24,59.0,79.88
1,0,0,51.99,0.0,0.0,0.0,0.0
1,0,1,54.12,0.0,0.0,0.0,0.0
1,0,2,54.32,0.0,0.0,0.0,0.0
1,0,3,54.52,0.0,0.0,0.0,0.0
1,0,4,68.92,0.0,0.0,0.0,0.0
1,0,5,71.45,0.0,0.0,0.0,0.0
1,1,0,54.98,52.73,0.0,0.0,0.0
1,1,1,56.57,50.13,0.0,0.0,0.0
1,1,2,57.17,47.41,0.0,0.0,0.0
1,1,3,57.3,75.07,0.0,0.0,0.0
1,1,4,57.37,80.59,0.0,0.0,0.0
1,1,5,55.11,83.05,0.0,0.0,0.0
1,2,0,53.92,54.32,60.29,0.0,0.0
1,2,1,52.99,51.46,70.19,0.0,0.0
1,2,2,55.11,49.14,72.97,0.0,0.0
1,2,3,49.54,50.53,84.73,0.0,0.0
1,2,4,47.28,51.86,85.99,0.0,0.0
1,2,5,49.54,50.0,90.17,0.0,0.0
1,3,0,44.62,44.75,60.36,55.61,0.0
1,3,1,49.0,47.94,56.18,59.67,0.0
1,3,2,48.21,47.21,57.84,67.38,0.0
1,3,3,47.81,52.39,55.71,71.36,0.0
1,3,4,48.07,47.14,61.49,74.75,0.0
1,3,5,47.61,47.21,59.63,76.74,0.0
1,4,0,43.29,41.76,54.32,47.84,64.25
1,4,1,46.81,37.9,46.68,51.23,67.77
1,4,2,48.14,45.35,55.38,51.16,78.14
1,4,3,47.74,40.16,55.91,47.57,84.78
1,4,4,47.41,40.09,59.43,49.44,84.65
1,4,5,45.09,41.29,53.45,50.03,89.17
2,0,0,71.68,0.0,0.0,0.0,0.0
2,0,1,71.08,0.0,0.0,0.0,0.0
2,0,2,75.4,0.0,0.0,0.0,0.0
2,0,3,74.47,0.0,0.0,0.0,0.0
2,0,4,81.18,0.0,0.0,0.0,0.0
2,0,5,89.56,0.0,0.0,0.0,0.0
2,1,0,67.22,62.59,0.0,0.0,0.0
2,1,1,78.92,58.8,0.0,0.0,0.0
2,1,2,79.12,60.0,0.0,0.0,0.0
2,1,3,71.88,79.4,0.0,0.0,0.0
2,1,4,71.48,80.66,0.0,0.0,0.0
2,1,5,69.41,91.63,0.0,0.0,0.0
2,2,0,55.92,71.69,46.88,0.0,0.0
2,2,1,49.4,68.64,65.36,0.0,0.0
2,2,2,51.2,70.56,67.55,0.0,0.0
2,2,3,51.46,68.7,71.34,0.0,0.0
2,2,4,41.29,63.52,80.52,0.0,0.0
2,2,5,45.15,66.98,82.58,0.0,0.0
2,3,0,48.27,62.46,50.93,47.57,0.0
2,3,1,45.35,51.16,51.06,59.53,0.0
2,3,2,51.8,56.28,47.87,66.18,0.0
2,3,3,47.81,53.62,53.79,67.64,0.0
2,3,4,48.14,53.09,49.87,73.29,0.0
2,3,5,47.07,55.95,47.54,80.27,0.0
2,4,0,38.7,49.3,43.22,55.35,55.91
2,4,1,41.76,49.77,50.4,49.24,63.68
2,4,2,40.36,50.96,49.6,43.65,73.51
2,4,3,44.55,53.02,46.94,45.78,74.63
2,4,4,46.74,53.22,47.61,45.71,80.68
2,4,5,44.35,51.1,48.47,44.52,81.87
3,0,0,75.95,0.0,0.0,0.0,0.0
3,0,1,76.21,0.0,0.0,0.0,0.0
3,0,2,86.25,0.0,0.0,0.0,0.0
3,0,3,86.31,0.0,0.0,0.0,0.0
3,0,4,95.15,0.0,0.0,0.0,0.0
3,0,5,94.95,0.0,0.0,0.0,0.0
3,1,0,80.8,66.38,0.0,0.0,0.0
3,1,1,75.55,79.47,0.0,0.0,0.0
3,1,2,74.95,82.79,0.0,0.0,0.0
3,1,3,77.94,85.71,0.0,0.0,0.0
3,1,4,70.7,91.36,0.0,0.0,0.0
3,1,5,70.23,89.9,0.0,0.0,0.0
3,2,0,65.25,71.23,63.7,0.0,0.0
3,2,1,52.69,59.0,77.06,0.0,0.0
3,2,2,57.14,65.32,79.39,0.0,0.0
3,2,3,59.6,68.84,84.57,0.0,0.0
3,2,4,52.29,62.33,86.77,0.0,0.0
3,2,5,51.3,62.39,89.36,0.0,0.0
3,3,0,54.22,59.73,52.73,46.48,0.0
3,3,1,57.34,59.47,55.98,54.59,0.0
3,3,2,58.94,62.06,58.78,61.17,0.0
3,3,3,58.27,62.59,58.51,66.89,0.0
3,3,4,59.87,63.06,62.5,67.75,0.0
3,3,5,60.07,59.93,53.32,73.54,0.0
3,4,0,49.9,55.88,57.25,42.09,65.34
3,4,1,56.68,57.67,61.64,44.22,74.97
3,4,2,57.94,54.68,60.64,48.6,81.21
3,4,3,58.21,52.62,61.37,44.02,87.65
3,4,4,58.01,54.68,62.37,43.15,87.78
3,4,5,56.21,55.68,64.23,44.61,89.44
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.38,0.0,0.0,0.0,0.0
4,0,2,89.17,0.0,0.0,0.0,0.0
4,0,3,89.83,0.0,0.0,0.0,0.0
4,0,4,90.3,0.0,0.0,0.0,0.0
4,0,5,91.23,0.0,0.0,0.0,0.0
4,1,0,71.36,45.68,0.0,0.0,0.0
4,1,1,72.82,43.68,0.0,0.0,0.0
4,1,2,74.88,40.96,0.0,0.0,0.0
4,1,3,76.94,38.1,0.0,0.0,0.0
4,1,4,78.41,34.38,0.0,0.0,0.0
4,1,5,80.4,28.66,0.0,0.0,0.0
4,2,0,71.1,14.69,31.87,0.0,0.0
4,2,1,72.82,17.35,27.42,0.0,0.0
4,2,2,74.62,18.75,22.64,0.0,0.0
4,2,3,76.28,20.94,17.46,0.0,0.0
4,2,4,60.27,62.03,61.16,0.0,0.0
4,2,5,55.42,58.05,75.83,0.0,0.0
4,3,0,45.25,48.47,42.16,59.24,0.0
4,3,1,49.44,55.92,39.51,65.16,0.0
4,3,2,52.89,49.4,38.98,74.0,0.0
4,3,3,47.71,54.65,39.97,75.0,0.0
4,3,4,48.64,54.92,42.03,76.33,0.0
4,3,5,48.5,54.79,41.77,75.73,0.0
4,4,0,44.25,38.76,40.84,48.07,49.73
4,4,1,47.64,43.09,38.91,44.08,58.18
4,4,2,46.91,40.96,40.11,45.35,67.55
4,4,3,45.38,39.96,40.37,45.55,68.62
4,4,4,47.84,38.36,42.5,49.0,71.34
4,4,5,44.39,40.96,44.16,52.86,84.77
