run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,78.09,0.0,0.0,0.0,0.0
0,0,1,77.16,0.0,0.0,0.0,0.0
0,0,2,77.03,0.0,0.0,0.0,0.0
0,0,3,76.56,0.0,0.0,0.0,0.0
0,0,4,76.16,0.0,0.0,0.0,0.0
0,0,5,75.17,0.0,0.0,0.0,0.0
0,1,0,50.86,38.5,0.0,0.0,0.0
0,1,1,51.99,36.77,0.0,0.0,0.0
0,1,2,52.46,34.84,0.0,0.0,0.0
0,1,3,53.39,32.58,0.0,0.0,0.0
0,1,4,52.99,30.65,0.0,0.0,0.0
0,1,5,52.66,28.79,0.0,0.0,0.0
0,2,0,61.16,4.52,36.37,0.0,0.0
0,2,1,64.48,4.52,31.45,0.0,0.0
0,2,2,67.73,4.65,27.26,0.0,0.0
0,2,3,70.25,4.79,23.54,0.0,0.0
0,2,4,72.11,4.92,20.74,0.0,0.0
0,2,5,72.44,5.25,18.48,0.0,0.0
0,3,0,39.44,6.58,0.2,56.61,0.0
0,3,1,43.89,7.18,0.2,52.36,0.0
0,3,2,48.41,7.31,0.33,47.18,0.0
0,3,3,51.86,7.31,0.47,42.59,0.0
0,3,4,52.52,7.45,0.8,38.8,0.0
0,3,5,52.99,7.05,1.6,35.88,0.0
0,4,0,29.02,9.38,11.7,4.45,59.16
0,4,1,30.94,10.51,13.5,5.05,55.58
0,4,2,33.33,12.63,15.96,5.85,50.53
0,4,3,34.59,13.7,18.35,6.71,44.09
0,4,4,36.19,14.96,21.28,7.57,37.85
0,4,5,36.59,15.89,22.54,8.31,34.13
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,50.0,0.0,0.0,0.0,0.0
1,0,2,50.07,0.0,0.0,0.0,0.0
1,0,3,50.27,0.0,0.0,0.0,0.0
1,0,4,50.33,0.0,0.0,0.0,0.0
1,0,5,50.86,0.0,0.0,0.0,0.0
1,1,0,40.37,35.64,0.0,0.0,0.0
1,1,1,41.57,33.31,0.0,0.0,0.0
1,1,2,42.9,31.05,0.0,0.0,0.0
1,1,3,44.36,27.39,0.0,0.0,0.0
1,1,4,45.88,25.66,0.0,0.0,0.0
1,1,5,46.48,23.94,0.0,0.0,0.0
1,2,0,35.59,1.53,62.35,0.0,0.0
1,2,1,37.38,2.33,59.16,0.0,0.0
1,2,2,37.78,3.32,54.38,0.0,0.0
1,2,3,37.65,4.45,49.6,0.0,0.0
1,2,4,36.25,5.32,46.15,0.0,0.0
1,2,5,33.93,7.05,43.29,0.0,0.0
1,3,0,31.67,19.55,3.72,45.58,0.0
1,3,1,33.8,20.74,5.38,41.79,0.0
1,3,2,35.86,22.14,8.23,37.48,0.0
1,3,3,37.05,23.01,10.89,33.69,0.0
1,3,4,38.78,22.67,13.28,31.56,0.0
1,3,5,38.51,22.21,16.14,30.63,0.0
1,4,0,38.38,9.18,15.94,2.13,43.46
1,4,1,39.18,9.18,16.93,2.92,40.07
1,4,2,39.91,9.44,17.86,3.92,35.75
1,4,3,40.57,9.11,18.99,5.32,31.56
1,4,4,34.2,28.99,41.77,28.11,54.15
1,4,5,34.99,29.12,41.43,30.37,51.89
2,0,0,74.2,0.0,0.0,0.0,0.0
2,0,1,77.99,0.0,0.0,0.0,0.0
2,0,2,82.65,0.0,0.0,0.0,0.0
2,0,3,87.1,0.0,0.0,0.0,0.0
2,0,4,87.9,0.0,0.0,0.0,0.0
2,0,5,90.36,0.0,0.0,0.0,0.0
2,1,0,59.91,48.5,0.0,0.0,0.0
2,1,1,63.23,45.32,0.0,0.0,0.0
2,1,2,67.42,41.06,0.0,0.0,0.0
2,1,3,69.88,35.75,0.0,0.0,0.0
2,1,4,71.74,32.56,0.0,0.0,0.0
2,1,5,74.2,29.24,0.0,0.0,0.0
2,2,0,55.85,1.79,40.69,0.0,0.0
2,2,1,58.98,2.19,36.9,0.0,0.0
2,2,2,61.5,2.72,32.51,0.0,0.0
2,2,3,65.29,3.32,28.06,0.0,0.0
2,2,4,61.77,56.94,52.86,0.0,0.0
2,2,5,55.85,54.75,68.09,0.0,0.0
2,3,0,40.03,42.33,41.56,41.99,0.0
2,3,1,40.16,43.59,42.22,41.06,0.0
2,3,2,52.79,54.49,38.43,51.16,0.0
2,3,3,52.66,54.35,41.49,50.76,0.0
2,3,4,48.54,52.16,48.2,61.86,0.0
2,3,5,47.94,52.23,49.2,74.22,0.0
2,4,0,37.9,44.45,46.41,31.89,66.2
2,4,1,45.68,40.73,44.28,23.06,77.03
2,4,2,44.48,42.46,49.2,24.65,78.62
2,4,3,43.22,44.58,47.67,23.06,81.47
2,4,4,43.42,42.86,49.73,23.65,84.13
2,4,5,42.75,37.14,45.88,29.3,89.31
3,0,0,85.65,0.0,0.0,0.0,0.0
3,0,1,87.91,0.0,0.0,0.0,0.0
3,0,2,89.9,0.0,0.0,0.0,0.0
3,0,3,94.09,0.0,0.0,0.0,0.0
3,0,4,95.42,0.0,0.0,0.0,0.0
3,0,5,97.01,0.0,0.0,0.0,0.0
3,1,0,52.82,73.89,0.0,0.0,0.0
3,1,1,60.13,82.19,0.0,0.0,0.0
3,1,2,68.7,86.11,0.0,0.0,0.0
3,1,3,62.46,89.63,0.0,0.0,0.0
3,1,4,62.52,91.76,0.0,0.0,0.0
3,1,5,62.86,93.22,0.0,0.0,0.0
3,2,0,59.4,59.8,71.21,0.0,0.0
3,2,1,56.35,47.77,79.26,0.0,0.0
3,2,2,56.81,55.08,84.84,0.0,0.0
3,2,3,53.09,49.17,89.76,0.0,0.0
3,2,4,52.56,50.3,91.49,0.0,0.0
3,2,5,54.02,54.09,92.69,0.0,0.0
3,3,0,55.75,49.97,51.6,53.12,0.0
3,3,1,60.13,55.55,50.66,57.78,0.0
3,3,2,59.34,53.49,49.93,66.69,0.0
3,3,3,61.13,53.22,45.61,70.94,0.0
3,3,4,61.33,55.22,48.34,73.67,0.0
3,3,5,61.53,49.77,44.75,78.79,0.0
3,4,0,50.37,41.73,42.69,39.3,69.39
3,4,1,55.08,51.76,49.2,37.63,78.09
3,4,2,57.61,51.16,51.06,34.31,81.81
3,4,3,57.41,51.83,48.74,36.9,84.06
3,4,4,60.53,52.56,50.93,39.43,86.12
3,4,5,60.6,50.56,52.19,39.43,87.58
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.78,0.0,0.0,0.0,0.0
4,0,2,87.38,0.0,0.0,0.0,0.0
4,0,3,89.63,0.0,0.0,0.0,0.0
4,0,4,90.37,0.0,0.0,0.0,0.0
4,0,5,90.76,0.0,0.0,0.0,0.0
4,1,0,54.88,49.34,0.0,0.0,0.0
4,1,1,58.94,43.48,0.0,0.0,0.0
4,1,2,65.38,35.44,0.0,0.0,0.0
4,1,3,69.5,27.79,0.0,0.0,0.0
4,1,4,72.43,22.94,0.0,0.0,0.0
4,1,5,74.15,19.55,0.0,0.0,0.0
4,2,0,55.35,1.2,43.49,0.0,0.0
4,2,1,57.48,1.4,41.37,0.0,0.0
4,2,2,60.2,1.73,38.98,0.0,0.0
4,2,3,62.79,2.19,35.66,0.0,0.0
4,2,4,65.25,2.33,33.53,0.0,0.0
4,2,5,66.91,2.73,30.28,0.0,0.0
4,3,0,55.88,36.3,24.3,38.16,0.0
4,3,1,56.88,36.7,23.97,34.97,0.0
4,3,2,58.34,37.83,21.31,30.65,0.0
4,3,3,58.6,39.1,18.86,29.06,0.0
4,3,4,58.67,39.43,16.2,27.33,0.0
4,3,5,50.96,50.86,24.44,62.7,0.0
4,4,0,42.72,20.48,19.19,28.92,59.64
4,4,1,53.82,29.32,30.61,37.77,61.04
4,4,2,56.48,33.58,28.69,36.17,62.3
4,4,3,49.04,37.23,31.54,44.88,69.88
4,4,4,48.24,37.9,30.74,41.62,71.94
4,4,5,46.91,37.3,30.81,42.15,73.67
