run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,78.09,0.0,0.0,0.0,0.0
0,0,1,77.16,0.0,0.0,0.0,0.0
0,0,2,77.03,0.0,0.0,0.0,0.0
0,0,3,76.56,0.0,0.0,0.0,0.0
0,0,4,76.16,0.0,0.0,0.0,0.0
0,0,5,75.17,0.0,0.0,0.0,0.0
0,1,0,61.69,42.82,0.0,0.0,0.0
0,1,1,62.82,44.88,0.0,0.0,0.0
0,1,2,62.82,44.95,0.0,0.0,0.0
0,1,3,62.88,44.95,0.0,0.0,0.0
0,1,4,63.15,44.95,0.0,0.0,0.0
0,1,5,63.35,44.35,0.0,0.0,0.0
0,2,0,74.24,25.8,33.31,0.0,0.0
0,2,1,74.1,25.8,31.85,0.0,0.0
0,2,2,73.71,27.26,30.85,0.0,0.0
0,2,3,73.71,29.12,30.19,0.0,0.0
0,2,4,74.04,30.19,29.59,0.0,0.0
0,2,5,73.97,31.38,28.39,0.0,0.0
0,3,0,51.53,23.87,9.38,50.17,0.0
0,3,1,51.73,23.14,11.04,47.31,0.0
0,3,2,52.79,22.81,13.23,44.72,0.0
0,3,3,52.72,22.67,15.16,42.06,0.0
0,3,4,52.52,22.81,16.56,39.93,0.0
0,3,5,52.92,22.61,17.95,36.28,0.0
0,4,0,45.68,20.41,30.32,5.98,41.04
0,4,1,46.95,21.28,30.98,7.04,37.58
0,4,2,47.48,21.94,31.91,8.04,34.4
0,4,3,47.08,22.41,32.58,10.3,31.08
0,4,4,47.34,23.6,33.31,12.49,27.89
0,4,5,48.07,23.74,33.18,13.89,24.1
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,50.0,0.0,0.0,0.0,0.0
1,0,2,50.07,0.0,0.0,0.0,0.0
1,0,3,50.27,0.0,0.0,0.0,0.0
1,0,4,50.33,0.0,0.0,0.0,0.0
1,0,5,50.86,0.0,0.0,0.0,0.0
1,1,0,35.66,62.23,0.0,0.0,0.0
1,1,1,35.26,61.3,0.0,0.0,0.0
1,1,2,35.26,60.24,0.0,0.0,0.0
1,1,3,35.33,58.58,0.0,0.0,0.0
1,1,4,34.86,57.51,0.0,0.0,0.0
1,1,5,34.79,56.58,0.0,0.0,0.0
1,2,0,33.73,41.95,50.27,0.0,0.0
1,2,1,33.67,42.89,47.74,0.0,0.0
1,2,2,33.8,43.82,44.36,0.0,0.0
1,2,3,34.66,44.55,40.64,0.0,0.0
1,2,4,34.73,45.21,38.51,0.0,0.0
1,2,5,46.15,52.73,76.49,0.0,0.0
1,3,0,42.3,46.14,43.69,49.63,0.0
1,3,1,42.43,46.74,44.56,48.11,0.0
1,3,2,44.75,51.26,48.34,60.07,0.0
1,3,3,43.56,53.52,48.74,60.66,0.0
1,3,4,42.1,48.01,50.73,73.55,0.0
1,3,5,44.02,46.01,53.19,76.01,0.0
1,4,0,43.89,38.23,53.65,50.03,61.86
1,4,1,42.7,40.23,47.48,47.38,70.63
1,4,2,41.5,40.23,51.39,47.18,77.67
1,4,3,42.96,40.56,53.19,45.65,83.65
1,4,4,43.29,38.76,54.25,47.57,88.17
1,4,5,44.69,36.37,52.92,49.37,92.03
2,0,0,74.2,0.0,0.0,0.0,0.0
2,0,1,77.99,0.0,0.0,0.0,0.0
2,0,2,82.65,0.0,0.0,0.0,0.0
2,0,3,87.1,0.0,0.0,0.0,0.0
2,0,4,87.9,0.0,0.0,0.0,0.0
2,0,5,90.36,0.0,0.0,0.0,0.0
2,1,0,75.8,56.48,0.0,0.0,0.0
2,1,1,77.86,53.49,0.0,0.0,0.0
2,1,2,80.05,49.37,0.0,0.0,0.0
2,1,3,81.58,45.71,0.0,0.0,0.0
2,1,4,83.05,40.73,0.0,0.0,0.0
2,1,5,84.31,38.21,0.0,0.0,0.0
2,2,0,73.8,12.36,28.12,0.0,0.0
2,2,1,75.86,13.89,25.47,0.0,0.0
2,2,2,77.06,15.95,22.74,0.0,0.0
2,2,3,77.79,18.21,20.28,0.0,0.0
2,2,4,78.66,20.66,18.95,0.0,0.0
2,2,5,79.32,22.06,17.82,0.0,0.0
2,3,0,77.99,34.02,1.2,18.21,0.0
2,3,1,78.72,35.22,1.26,15.95,0.0
2,3,2,79.79,35.55,1.46,14.09,0.0
2,3,3,80.65,35.95,1.33,11.36,0.0
2,3,4,80.98,36.48,1.46,9.7,0.0
2,3,5,81.85,36.54,1.6,8.37,0.0
2,4,0,66.42,28.44,8.84,0.66,47.34
2,4,1,69.15,28.9,8.24,1.06,44.29
2,4,2,72.27,29.1,7.71,1.26,40.84
2,4,3,74.87,29.5,7.25,1.79,37.18
2,4,4,77.33,29.97,6.98,1.79,32.01
2,4,5,79.39,30.17,7.11,1.73,28.75
3,0,0,85.65,0.0,0.0,0.0,0.0
3,0,1,87.91,0.0,0.0,0.0,0.0
3,0,2,89.9,0.0,0.0,0.0,0.0
3,0,3,94.09,0.0,0.0,0.0,0.0
3,0,4,95.42,0.0,0.0,0.0,0.0
3,0,5,97.01,0.0,0.0,0.0,0.0
3,1,0,78.67,68.17,0.0,0.0,0.0
3,1,1,74.22,76.15,0.0,0.0,0.0
3,1,2,73.29,81.79,0.0,0.0,0.0
3,1,3,70.83,84.52,0.0,0.0,0.0
3,1,4,74.02,89.37,0.0,0.0,0.0
3,1,5,68.7,91.16,0.0,0.0,0.0
3,2,0,60.6,71.36,64.43,0.0,0.0
3,2,1,55.61,62.13,75.53,0.0,0.0
3,2,2,60.13,58.74,82.58,0.0,0.0
3,2,3,60.4,62.19,88.03,0.0,0.0
3,2,4,57.61,59.4,90.43,0.0,0.0
3,2,5,54.35,59.87,92.42,0.0,0.0
3,3,0,59.73,58.67,68.42,44.35,0.0
3,3,1,56.28,51.69,68.15,54.06,0.0
3,3,2,59.93,52.49,66.76,62.83,0.0
3,3,3,61.0,51.1,64.63,68.82,0.0
3,3,4,61.53,55.22,63.63,75.33,0.0
3,3,5,61.66,53.69,61.44,79.06,0.0
3,4,0,54.22,53.49,49.8,53.39,60.03
3,4,1,57.81,54.55,57.51,48.2,69.79
3,4,2,60.13,54.68,56.91,48.2,74.97
3,4,3,59.07,54.35,55.78,47.67,78.69
3,4,4,58.8,52.82,55.25,47.67,82.07
3,4,5,59.8,56.74,56.65,47.74,89.71
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.78,0.0,0.0,0.0,0.0
4,0,2,87.38,0.0,0.0,0.0,0.0
4,0,3,89.63,0.0,0.0,0.0,0.0
4,0,4,90.37,0.0,0.0,0.0,0.0
4,0,5,90.76,0.0,0.0,0.0,0.0
4,1,0,72.23,43.42,0.0,0.0,0.0
4,1,1,74.02,40.89,0.0,0.0,0.0
4,1,2,75.48,38.36,0.0,0.0,0.0
4,1,3,77.34,35.97,0.0,0.0,0.0
4,1,4,79.4,33.05,0.0,0.0,0.0
4,1,5,80.47,31.45,0.0,0.0,0.0
4,2,0,59.34,9.97,48.34,0.0,0.0
4,2,1,60.73,11.7,46.48,0.0,0.0
4,2,2,62.66,13.16,43.49,0.0,0.0
4,2,3,65.05,15.62,41.43,0.0,0.0
4,2,4,67.57,18.42,38.71,0.0,0.0
4,2,5,68.04,21.08,35.33,0.0,0.0
4,3,0,60.6,41.42,32.74,34.18,0.0
4,3,1,60.86,41.95,32.54,31.05,0.0
4,3,2,62.33,41.76,32.34,29.12,0.0
4,3,3,63.99,41.49,30.01,27.66,0.0
4,3,4,55.81,52.99,34.66,62.5,0.0
4,3,5,52.96,53.92,39.84,68.95,0.0
4,4,0,49.9,44.15,37.58,46.68,42.09
4,4,1,47.38,36.64,38.51,51.53,58.24
4,4,2,48.04,36.9,35.13,48.6,64.3
4,4,3,48.5,34.18,40.5,47.47,71.61
4,4,4,43.65,32.11,35.99,51.06,83.38
4,4,5,40.8,31.18,39.31,48.67,85.57
