run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,78.09,0.0,0.0,0.0,0.0
0,0,1,77.16,0.0,0.0,0.0,0.0
0,0,2,77.09,0.0,0.0,0.0,0.0
0,0,3,76.96,0.0,0.0,0.0,0.0
0,0,4,76.29,0.0,0.0,0.0,0.0
0,0,5,75.03,0.0,0.0,0.0,0.0
0,1,0,50.93,38.63,0.0,0.0,0.0
0,1,1,52.26,37.3,0.0,0.0,0.0
0,1,2,52.66,35.24,0.0,0.0,0.0
0,1,3,53.32,32.58,0.0,0.0,0.0
0,1,4,53.39,31.05,0.0,0.0,0.0
0,1,5,54.12,29.65,0.0,0.0,0.0
0,2,0,59.83,4.45,37.17,0.0,0.0
0,2,1,62.88,4.79,32.11,0.0,0.0
0,2,2,66.14,4.72,28.19,0.0,0.0
0,2,3,67.66,4.99,24.07,0.0,0.0
0,2,4,69.99,5.05,21.48,0.0,0.0
0,2,5,70.58,5.45,19.48,0.0,0.0
0,3,0,38.91,6.45,0.07,57.21,0.0
0,3,1,43.29,6.98,0.13,53.22,0.0
0,3,2,47.61,7.25,0.2,48.44,0.0
0,3,3,51.0,6.72,0.47,43.65,0.0
0,3,4,51.59,6.32,1.0,40.07,0.0
0,3,5,52.32,6.52,1.6,37.41,0.0
0,4,0,30.74,9.18,9.97,4.65,58.17
0,4,1,33.13,10.57,11.57,5.05,55.11
0,4,2,34.59,11.77,12.9,5.98,51.26
0,4,3,36.52,12.37,15.56,7.24,45.22
0,4,4,38.91,13.03,18.68,8.31,37.78
0,4,5,39.97,13.7,19.48,8.97,34.46
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,49.93,0.0,0.0,0.0,0.0
1,0,2,49.93,0.0,0.0,0.0,0.0
1,0,3,50.2,0.0,0.0,0.0,0.0
1,0,4,50.27,0.0,0.0,0.0,0.0
1,0,5,51.06,0.0,0.0,0.0,0.0
1,1,0,39.84,36.5,0.0,0.0,0.0
1,1,1,41.17,34.24,0.0,0.0,0.0
1,1,2,42.63,31.12,0.0,0.0,0.0
1,1,3,43.69,28.59,0.0,0.0,0.0
1,1,4,44.56,27.53,0.0,0.0,0.0
1,1,5,45.55,25.33,0.0,0.0,0.0
1,2,0,34.86,1.2,62.82,0.0,0.0
1,2,1,35.86,1.86,60.29,0.0,0.0
1,2,2,36.65,2.79,55.64,0.0,0.0
1,2,3,36.59,3.59,50.86,0.0,0.0
1,2,4,35.46,4.45,47.81,0.0,0.0
1,2,5,33.86,5.05,45.02,0.0,0.0
1,3,0,33.0,19.02,2.39,47.38,0.0
1,3,1,34.79,20.74,3.65,43.52,0.0
1,3,2,36.85,23.14,4.98,39.07,0.0
1,3,3,38.31,24.6,6.77,35.02,0.0
1,3,4,39.51,24.8,8.57,32.89,0.0
1,3,5,40.37,23.14,11.62,31.5,0.0
1,4,0,39.04,8.11,14.41,2.99,41.53
1,4,1,40.31,8.51,15.21,4.32,39.14
1,4,2,40.64,8.71,16.47,5.58,34.75
1,4,3,37.92,42.02,38.84,43.99,54.02
1,4,4,39.38,38.83,42.03,47.71,71.36
1,4,5,34.53,32.78,41.77,41.99,83.85
2,0,0,74.2,0.0,0.0,0.0,0.0
2,0,1,78.12,0.0,0.0,0.0,0.0
2,0,2,82.51,0.0,0.0,0.0,0.0
2,0,3,85.37,0.0,0.0,0.0,0.0
2,0,4,88.23,0.0,0.0,0.0,0.0
2,0,5,89.56,0.0,0.0,0.0,0.0
2,1,0,59.31,55.08,0.0,0.0,0.0
2,1,1,60.51,53.49,0.0,0.0,0.0
2,1,2,62.3,51.56,0.0,0.0,0.0
2,1,3,63.83,48.44,0.0,0.0,0.0
2,1,4,74.4,85.18,0.0,0.0,0.0
2,1,5,66.29,91.5,0.0,0.0,0.0
2,2,0,41.62,45.98,62.63,0.0,0.0
2,2,1,51.26,48.97,66.76,0.0,0.0
2,2,2,46.54,47.11,73.27,0.0,0.0
2,2,3,49.07,47.64,78.26,0.0,0.0
2,2,4,46.41,48.17,81.18,0.0,0.0
2,2,5,42.82,53.36,85.17,0.0,0.0
2,3,0,37.77,35.02,40.49,47.04,0.0
2,3,1,48.14,42.86,43.88,60.6,0.0
2,3,2,50.8,42.79,43.68,63.39,0.0
2,3,3,53.52,49.3,45.48,66.84,0.0
2,3,4,52.39,44.25,43.75,70.96,0.0
2,3,5,49.0,41.46,44.88,77.08,0.0
2,4,0,46.81,44.25,42.75,29.9,65.87
2,4,1,39.1,33.75,51.86,28.17,78.22
2,4,2,47.74,40.66,43.22,28.64,81.47
2,4,3,46.14,39.8,46.08,29.1,85.59
2,4,4,46.88,39.53,47.47,28.9,88.11
2,4,5,46.61,43.32,47.81,31.36,89.04
3,0,0,85.65,0.0,0.0,0.0,0.0
3,0,1,87.91,0.0,0.0,0.0,0.0
3,0,2,89.9,0.0,0.0,0.0,0.0
3,0,3,94.09,0.0,0.0,0.0,0.0
3,0,4,95.42,0.0,0.0,0.0,0.0
3,0,5,97.01,0.0,0.0,0.0,0.0
3,1,0,52.82,73.89,0.0,0.0,0.0
3,1,1,63.46,82.33,0.0,0.0,0.0
3,1,2,58.6,87.18,0.0,0.0,0.0
3,1,3,65.38,90.03,0.0,0.0,0.0
3,1,4,65.91,93.75,0.0,0.0,0.0
3,1,5,58.41,94.42,0.0,0.0,0.0
3,2,0,47.77,60.13,71.74,0.0,0.0
3,2,1,46.51,57.48,78.59,0.0,0.0
3,2,2,48.97,54.75,85.84,0.0,0.0
3,2,3,50.63,55.61,88.63,0.0,0.0
3,2,4,48.7,52.76,89.76,0.0,0.0
3,2,5,48.77,62.66,93.95,0.0,0.0
3,3,0,43.99,45.32,50.53,48.67,0.0
3,3,1,52.09,53.42,52.33,60.17,0.0
3,3,2,54.42,57.28,56.38,68.82,0.0
3,3,3,53.49,57.28,57.38,74.8,0.0
3,3,4,52.96,54.42,50.86,80.45,0.0
3,3,5,57.94,55.28,51.86,82.05,0.0
3,4,0,51.16,57.67,48.2,40.82,70.58
3,4,1,51.69,54.42,45.41,41.69,82.14
3,4,2,51.23,55.15,46.61,37.63,85.86
3,4,3,52.16,55.61,47.07,39.89,89.18
3,4,4,53.16,54.62,47.47,40.03,91.1
3,4,5,52.62,55.15,45.55,44.22,93.49
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.78,0.0,0.0,0.0,0.0
4,0,2,88.11,0.0,0.0,0.0,0.0
4,0,3,91.23,0.0,0.0,0.0,0.0
4,0,4,89.83,0.0,0.0,0.0,0.0
4,0,5,93.42,0.0,0.0,0.0,0.0
4,1,0,57.08,51.66,0.0,0.0,0.0
4,1,1,61.13,48.47,0.0,0.0,0.0
4,1,2,63.92,44.48,0.0,0.0,0.0
4,1,3,65.78,40.96,0.0,0.0,0.0
4,1,4,67.44,38.56,0.0,0.0,0.0
4,1,5,66.91,79.99,0.0,0.0,0.0
4,2,0,44.65,38.23,58.9,0.0,0.0
4,2,1,47.64,38.63,59.89,0.0,0.0
4,2,2,50.17,44.55,59.43,0.0,0.0
4,2,3,49.77,44.75,60.29,0.0,0.0
4,2,4,50.3,52.73,75.1,0.0,0.0
4,2,5,52.96,55.92,76.56,0.0,0.0
4,3,0,46.31,49.73,37.25,58.38,0.0
4,3,1,47.24,53.32,39.58,61.84,0.0
4,3,2,50.1,53.32,37.52,66.95,0.0
4,3,3,50.5,51.4,37.58,70.35,0.0
4,3,4,44.25,55.98,38.18,79.79,0.0
4,3,5,46.45,53.86,42.63,81.85,0.0
4,4,0,40.47,28.99,30.21,50.93,48.74
4,4,1,45.91,39.3,37.18,47.74,55.72
4,4,2,46.11,42.42,40.84,52.93,63.23
4,4,3,47.04,42.35,40.04,47.07,67.29
4,4,4,47.04,41.82,44.49,52.33,78.19
4,4,5,44.65,35.77,40.84,45.48,84.18
