run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,78.09,0.0,0.0,0.0,0.0
0,0,1,77.16,0.0,0.0,0.0,0.0
0,0,2,77.09,0.0,0.0,0.0,0.0
0,0,3,76.96,0.0,0.0,0.0,0.0
0,0,4,76.29,0.0,0.0,0.0,0.0
0,0,5,75.03,0.0,0.0,0.0,0.0
0,1,0,61.89,42.89,0.0,0.0,0.0
0,1,1,62.62,44.81,0.0,0.0,0.0
0,1,2,62.68,44.55,0.0,0.0,0.0
0,1,3,63.35,44.68,0.0,0.0,0.0
0,1,4,63.35,44.81,0.0,0.0,0.0
0,1,5,63.41,44.35,0.0,0.0,0.0
0,2,0,73.71,25.47,33.51,0.0,0.0
0,2,1,73.9,25.2,31.91,0.0,0.0
0,2,2,73.97,26.8,31.12,0.0,0.0
0,2,3,74.04,28.19,30.45,0.0,0.0
0,2,4,74.3,29.26,29.92,0.0,0.0
0,2,5,74.37,29.39,29.06,0.0,0.0
0,3,0,51.66,23.47,9.38,49.97,0.0
0,3,1,52.39,23.34,10.84,46.91,0.0
0,3,2,53.72,23.14,13.16,44.92,0.0
0,3,3,53.52,23.01,15.09,42.72,0.0
0,3,4,53.59,22.87,16.62,39.8,0.0
0,3,5,54.18,22.54,18.35,36.28,0.0
0,4,0,45.29,20.21,30.39,6.18,41.83
0,4,1,46.61,20.88,31.78,7.18,38.51
0,4,2,47.68,21.68,31.98,8.37,35.92
0,4,3,48.74,22.07,32.45,9.97,32.93
0,4,4,49.0,23.14,32.51,11.69,30.01
0,4,5,50.53,23.54,33.51,13.16,26.89
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,49.93,0.0,0.0,0.0,0.0
1,0,2,49.93,0.0,0.0,0.0,0.0
1,0,3,50.2,0.0,0.0,0.0,0.0
1,0,4,50.27,0.0,0.0,0.0,0.0
1,0,5,51.06,0.0,0.0,0.0,0.0
1,1,0,35.66,61.97,0.0,0.0,0.0
1,1,1,35.79,60.77,0.0,0.0,0.0
1,1,2,35.59,60.04,0.0,0.0,0.0
1,1,3,35.52,58.05,0.0,0.0,0.0
1,1,4,35.52,56.85,0.0,0.0,0.0
1,1,5,35.39,55.85,0.0,0.0,0.0
1,2,0,33.8,41.62,51.46,0.0,0.0
1,2,1,33.86,42.75,48.87,0.0,0.0
1,2,2,33.93,43.88,45.75,0.0,0.0
1,2,3,43.43,55.05,67.4,0.0,0.0
1,2,4,44.56,50.73,81.87,0.0,0.0
1,2,5,41.43,49.14,85.79,0.0,0.0
1,3,0,38.38,45.28,50.6,49.5,0.0
1,3,1,41.3,46.54,54.18,53.42,0.0
1,3,2,41.1,50.27,51.99,60.6,0.0
1,3,3,41.04,46.34,54.18,72.09,0.0
1,3,4,39.71,46.61,54.32,74.22,0.0
1,3,5,41.9,42.69,56.51,79.07,0.0
1,4,0,42.43,43.95,55.38,56.61,56.81
1,4,1,41.1,42.89,49.54,49.3,72.03
1,4,2,41.37,38.96,45.82,58.41,76.48
1,4,3,37.65,43.82,49.73,51.5,82.99
1,4,4,40.37,39.16,52.59,52.62,89.17
1,4,5,40.31,37.3,48.41,54.82,91.03
2,0,0,74.2,0.0,0.0,0.0,0.0
2,0,1,78.12,0.0,0.0,0.0,0.0
2,0,2,82.51,0.0,0.0,0.0,0.0
2,0,3,85.37,0.0,0.0,0.0,0.0
2,0,4,88.23,0.0,0.0,0.0,0.0
2,0,5,89.56,0.0,0.0,0.0,0.0
2,1,0,73.8,59.0,0.0,0.0,0.0
2,1,1,75.66,56.21,0.0,0.0,0.0
2,1,2,84.91,57.34,0.0,0.0,0.0
2,1,3,85.31,55.88,0.0,0.0,0.0
2,1,4,77.06,82.66,0.0,0.0,0.0
2,1,5,74.07,89.77,0.0,0.0,0.0
2,2,0,63.5,76.41,48.14,0.0,0.0
2,2,1,57.78,64.19,58.31,0.0,0.0
2,2,2,54.65,64.45,67.02,0.0,0.0
2,2,3,57.38,63.06,69.68,0.0,0.0
2,2,4,49.14,59.2,80.65,0.0,0.0
2,2,5,48.47,57.61,84.38,0.0,0.0
2,3,0,47.61,54.88,62.5,43.19,0.0
2,3,1,48.54,51.03,58.31,57.28,0.0
2,3,2,48.01,53.16,58.11,62.39,0.0
2,3,3,49.53,47.24,52.26,69.17,0.0
2,3,4,48.27,47.18,47.21,77.67,0.0
2,3,5,47.87,45.78,49.67,81.4,0.0
2,4,0,44.88,48.97,48.34,52.96,50.6
2,4,1,46.28,44.78,46.41,44.19,67.86
2,4,2,44.28,43.32,49.93,43.85,75.83
2,4,3,47.67,42.59,48.07,40.53,80.21
2,4,4,46.08,40.6,49.07,40.2,82.6
2,4,5,47.67,42.46,47.07,36.74,87.92
3,0,0,85.65,0.0,0.0,0.0,0.0
3,0,1,87.91,0.0,0.0,0.0,0.0
3,0,2,89.9,0.0,0.0,0.0,0.0
3,0,3,94.09,0.0,0.0,0.0,0.0
3,0,4,95.42,0.0,0.0,0.0,0.0
3,0,5,97.01,0.0,0.0,0.0,0.0
3,1,0,78.67,68.17,0.0,0.0,0.0
3,1,1,74.55,76.48,0.0,0.0,0.0
3,1,2,70.83,82.66,0.0,0.0,0.0
3,1,3,73.95,90.1,0.0,0.0,0.0
3,1,4,71.3,91.5,0.0,0.0,0.0
3,1,5,72.23,94.29,0.0,0.0,0.0
3,2,0,58.67,77.21,63.16,0.0,0.0
3,2,1,60.33,65.85,77.79,0.0,0.0
3,2,2,55.75,66.38,84.84,0.0,0.0
3,2,3,52.09,58.47,89.63,0.0,0.0
3,2,4,51.56,59.6,91.22,0.0,0.0
3,2,5,47.91,58.21,92.49,0.0,0.0
3,3,0,65.25,60.73,68.42,45.01,0.0
3,3,1,59.67,55.95,63.83,54.06,0.0
3,3,2,63.19,56.94,60.24,62.1,0.0
3,3,3,61.0,55.08,65.09,69.68,0.0
3,3,4,63.99,55.15,58.64,73.14,0.0
3,3,5,63.06,56.21,61.17,76.0,0.0
3,4,0,61.93,58.07,54.72,54.12,59.83
3,4,1,57.94,53.95,53.72,42.69,74.5
3,4,2,60.2,56.21,58.91,44.48,77.22
3,4,3,62.26,55.08,58.05,43.68,81.41
3,4,4,60.53,56.01,59.77,42.75,87.25
3,4,5,60.0,52.43,56.58,43.62,88.11
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.78,0.0,0.0,0.0,0.0
4,0,2,88.11,0.0,0.0,0.0,0.0
4,0,3,91.23,0.0,0.0,0.0,0.0
4,0,4,89.83,0.0,0.0,0.0,0.0
4,0,5,93.42,0.0,0.0,0.0,0.0
4,1,0,73.42,50.4,0.0,0.0,0.0
4,1,1,74.95,48.07,0.0,0.0,0.0
4,1,2,76.81,46.48,0.0,0.0,0.0
4,1,3,78.21,43.22,0.0,0.0,0.0
4,1,4,79.93,41.29,0.0,0.0,0.0
4,1,5,71.43,78.39,0.0,0.0,0.0
4,2,0,53.62,56.72,45.82,0.0,0.0
4,2,1,58.34,55.98,56.44,0.0,0.0
4,2,2,58.8,50.0,65.27,0.0,0.0
4,2,3,57.94,53.39,67.33,0.0,0.0
4,2,4,51.5,57.25,80.08,0.0,0.0
4,2,5,46.71,50.0,83.6,0.0,0.0
4,3,0,47.38,51.4,60.62,55.65,0.0
4,3,1,44.72,49.53,54.78,66.76,0.0
4,3,2,46.25,51.2,54.78,71.48,0.0
4,3,3,46.51,53.39,53.98,75.47,0.0
4,3,4,44.78,53.52,49.67,82.51,0.0
4,3,5,42.86,56.05,51.59,85.44,0.0
4,4,0,42.33,45.08,41.7,69.15,50.33
4,4,1,39.87,39.43,40.31,66.95,59.97
4,4,2,41.79,37.9,47.41,61.17,63.5
4,4,3,44.19,35.24,43.76,54.99,75.66
4,4,4,44.19,34.31,43.82,52.46,77.46
4,4,5,43.19,34.71,44.56,54.79,80.25
