run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,78.09,0.0,0.0,0.0,0.0
0,0,1,77.16,0.0,0.0,0.0,0.0
0,0,2,77.09,0.0,0.0,0.0,0.0
0,0,3,76.96,0.0,0.0,0.0,0.0
0,0,4,76.29,0.0,0.0,0.0,0.0
0,0,5,75.03,0.0,0.0,0.0,0.0
0,1,0,50.93,38.63,0.0,0.0,0.0
0,1,1,52.19,37.7,0.0,0.0,0.0
0,1,2,52.92,35.57,0.0,0.0,0.0
0,1,3,53.98,33.38,0.0,0.0,0.0
0,1,4,54.32,31.91,0.0,0.0,0.0
0,1,5,55.05,30.72,0.0,0.0,0.0
0,2,0,59.76,4.72,36.5,0.0,0.0
0,2,1,63.48,4.99,31.85,0.0,0.0
0,2,2,67.13,5.32,28.72,0.0,0.0
0,2,3,68.66,5.05,25.33,0.0,0.0
0,2,4,70.52,5.12,22.61,0.0,0.0
0,2,5,71.58,5.59,20.74,0.0,0.0
0,3,0,39.84,7.11,0.13,57.08,0.0
0,3,1,44.16,7.78,0.2,52.96,0.0
0,3,2,48.07,7.71,0.27,48.24,0.0
0,3,3,50.2,7.85,0.66,44.19,0.0
0,3,4,51.33,7.91,1.2,40.27,0.0
0,3,5,51.26,8.38,2.19,37.87,0.0
0,4,0,28.62,11.7,9.77,4.19,58.96
0,4,1,31.08,12.63,11.84,4.92,55.78
0,4,2,33.2,14.3,13.16,5.71,51.66
0,4,3,34.66,14.96,15.96,6.64,46.48
0,4,4,36.52,16.49,18.02,7.18,41.24
0,4,5,38.25,17.75,20.01,8.31,37.32
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,49.93,0.0,0.0,0.0,0.0
1,0,2,49.93,0.0,0.0,0.0,0.0
1,0,3,50.2,0.0,0.0,0.0,0.0
1,0,4,50.27,0.0,0.0,0.0,0.0
1,0,5,51.06,0.0,0.0,0.0,0.0
1,1,0,39.84,36.5,0.0,0.0,0.0
1,1,1,40.84,35.11,0.0,0.0,0.0
1,1,2,42.23,33.38,0.0,0.0,0.0
1,1,3,43.09,33.05,0.0,0.0,0.0
1,1,4,43.63,32.65,0.0,0.0,0.0
1,1,5,44.82,31.05,0.0,0.0,0.0
1,2,0,34.59,1.53,63.41,0.0,0.0
1,2,1,35.66,2.33,61.22,0.0,0.0
1,2,2,36.12,3.79,57.5,0.0,0.0
1,2,3,34.66,5.52,53.25,0.0,0.0
1,2,4,34.06,6.91,51.0,0.0,0.0
1,2,5,32.67,7.85,47.28,0.0,0.0
1,3,0,32.27,20.01,3.85,45.91,0.0
1,3,1,34.13,22.47,4.78,43.59,0.0
1,3,2,36.25,24.0,6.57,39.93,0.0
1,3,3,37.38,24.8,8.7,37.67,0.0
1,3,4,39.31,24.8,9.83,35.15,0.0
1,3,5,39.71,23.47,13.35,34.22,0.0
1,4,0,37.72,8.44,14.34,4.65,45.85
1,4,1,39.31,9.11,15.54,5.78,42.06
1,4,2,42.16,33.84,35.33,41.33,68.04
1,4,3,42.3,34.11,38.84,43.39,66.98
1,4,4,41.9,30.39,48.54,40.33,84.58
1,4,5,38.91,29.45,48.87,42.52,87.71
2,0,0,74.2,0.0,0.0,0.0,0.0
2,0,1,78.12,0.0,0.0,0.0,0.0
2,0,2,82.51,0.0,0.0,0.0,0.0
2,0,3,85.37,0.0,0.0,0.0,0.0
2,0,4,88.23,0.0,0.0,0.0,0.0
2,0,5,89.56,0.0,0.0,0.0,0.0
2,1,0,59.31,55.08,0.0,0.0,0.0
2,1,1,60.51,53.29,0.0,0.0,0.0
2,1,2,73.54,74.62,0.0,0.0,0.0
2,1,3,70.94,84.32,0.0,0.0,0.0
2,1,4,65.96,92.36,0.0,0.0,0.0
2,1,5,64.23,94.22,0.0,0.0,0.0
2,2,0,49.0,59.53,58.78,0.0,0.0
2,2,1,49.6,55.95,70.61,0.0,0.0
2,2,2,43.09,50.63,76.73,0.0,0.0
2,2,3,42.29,50.83,81.12,0.0,0.0
2,2,4,42.09,45.65,83.11,0.0,0.0
2,2,5,41.16,42.19,86.9,0.0,0.0
2,3,0,40.82,45.78,47.14,44.98,0.0
2,3,1,49.47,43.99,41.89,55.08,0.0
2,3,2,48.54,45.38,40.69,63.46,0.0
2,3,3,49.47,43.59,44.41,69.9,0.0
2,3,4,52.33,41.86,45.35,71.3,0.0
2,3,5,45.68,46.05,43.09,77.41,0.0
2,4,0,43.95,47.24,44.68,27.77,62.82
2,4,1,45.08,42.79,45.21,26.31,73.37
2,4,2,47.34,41.13,40.09,25.32,79.02
2,4,3,47.34,43.46,41.36,25.71,79.95
2,4,4,45.48,38.87,44.55,34.82,86.19
2,4,5,46.01,41.06,44.41,34.88,85.79
3,0,0,85.65,0.0,0.0,0.0,0.0
3,0,1,87.91,0.0,0.0,0.0,0.0
3,0,2,89.9,0.0,0.0,0.0,0.0
3,0,3,94.09,0.0,0.0,0.0,0.0
3,0,4,95.42,0.0,0.0,0.0,0.0
3,0,5,97.01,0.0,0.0,0.0,0.0
3,1,0,52.82,73.89,0.0,0.0,0.0
3,1,1,54.88,76.21,0.0,0.0,0.0
3,1,2,64.19,88.04,0.0,0.0,0.0
3,1,3,63.26,89.24,0.0,0.0,0.0
3,1,4,65.45,91.69,0.0,0.0,0.0
3,1,5,65.05,94.02,0.0,0.0,0.0
3,2,0,53.36,56.15,73.87,0.0,0.0
3,2,1,52.56,50.1,82.11,0.0,0.0
3,2,2,46.25,55.61,84.18,0.0,0.0
3,2,3,49.04,53.22,90.23,0.0,0.0
3,2,4,51.16,54.55,92.15,0.0,0.0
3,2,5,48.84,51.3,93.35,0.0,0.0
3,3,0,59.14,47.38,48.67,53.99,0.0
3,3,1,60.4,48.77,50.4,62.63,0.0
3,3,2,58.87,50.1,55.25,69.68,0.0
3,3,3,60.86,49.5,49.6,74.14,0.0
3,3,4,59.0,52.03,50.47,77.79,0.0
3,3,5,63.79,44.58,47.47,81.91,0.0
3,4,0,53.75,42.66,44.41,43.55,69.99
3,4,1,57.61,50.76,48.54,35.44,77.42
3,4,2,58.34,53.82,55.32,37.63,83.0
3,4,3,59.07,55.08,52.46,41.76,86.52
3,4,4,59.47,53.55,50.86,39.89,88.58
3,4,5,59.73,55.61,52.79,38.9,90.9
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.78,0.0,0.0,0.0,0.0
4,0,2,88.11,0.0,0.0,0.0,0.0
4,0,3,91.23,0.0,0.0,0.0,0.0
4,0,4,89.83,0.0,0.0,0.0,0.0
4,0,5,93.42,0.0,0.0,0.0,0.0
4,1,0,57.08,51.66,0.0,0.0,0.0
4,1,1,60.93,48.54,0.0,0.0,0.0
4,1,2,63.72,44.61,0.0,0.0,0.0
4,1,3,65.25,41.76,0.0,0.0,0.0
4,1,4,66.51,38.83,0.0,0.0,0.0
4,1,5,67.71,36.64,0.0,0.0,0.0
4,2,0,52.96,5.78,49.27,0.0,0.0
4,2,1,53.69,7.05,47.48,0.0,0.0
4,2,2,54.55,9.04,44.95,0.0,0.0
4,2,3,55.75,10.97,42.5,0.0,0.0
4,2,4,56.74,11.84,40.44,0.0,0.0
4,2,5,57.67,12.7,37.92,0.0,0.0
4,3,0,54.09,38.9,16.4,53.19,0.0
4,3,1,54.35,40.56,15.47,52.79,0.0
4,3,2,48.77,45.41,24.17,64.63,0.0
4,3,3,50.7,48.01,26.29,67.75,0.0
4,3,4,56.81,48.01,25.23,71.01,0.0
4,3,5,48.9,47.87,35.19,82.58,0.0
4,4,0,47.84,28.79,30.28,40.09,58.64
4,4,1,48.9,27.99,30.35,36.1,68.95
4,4,2,44.39,27.66,27.62,46.68,75.8
4,4,3,46.25,28.86,27.82,38.63,79.79
4,4,4,45.51,29.99,27.82,43.15,82.51
4,4,5,40.47,26.4,31.14,47.74,86.84
