run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,78.09,0.0,0.0,0.0,0.0
0,0,1,77.16,0.0,0.0,0.0,0.0
0,0,2,77.09,0.0,0.0,0.0,0.0
0,0,3,76.96,0.0,0.0,0.0,0.0
0,0,4,76.29,0.0,0.0,0.0,0.0
0,0,5,75.03,0.0,0.0,0.0,0.0
0,1,0,61.89,42.89,0.0,0.0,0.0
0,1,1,62.82,45.01,0.0,0.0,0.0
0,1,2,63.48,44.55,0.0,0.0,0.0
0,1,3,64.01,44.41,0.0,0.0,0.0
0,1,4,63.68,43.95,0.0,0.0,0.0
0,1,5,63.15,43.82,0.0,0.0,0.0
0,2,0,73.71,24.34,32.78,0.0,0.0
0,2,1,74.37,25.33,31.91,0.0,0.0
0,2,2,74.37,25.86,31.32,0.0,0.0
0,2,3,75.23,25.93,30.85,0.0,0.0
0,2,4,74.9,27.06,29.99,0.0,0.0
0,2,5,75.03,26.99,29.52,0.0,0.0
0,3,0,58.17,21.54,8.64,48.37,0.0
0,3,1,58.63,21.41,9.77,45.98,0.0
0,3,2,58.57,21.68,11.84,43.19,0.0
0,3,3,57.77,22.01,13.5,40.53,0.0
0,3,4,56.71,22.07,15.09,38.01,0.0
0,3,5,56.44,22.34,16.36,35.75,0.0
0,4,0,47.34,19.81,30.32,8.64,37.25
0,4,1,48.67,20.55,31.38,10.1,34.79
0,4,2,49.0,19.95,31.78,11.5,32.54
0,4,3,50.33,20.68,32.45,13.89,29.35
0,4,4,51.46,21.41,32.45,15.55,27.42
0,4,5,53.45,21.41,32.51,16.21,24.7
1,0,0,50.46,0.0,0.0,0.0,0.0
1,0,1,49.93,0.0,0.0,0.0,0.0
1,0,2,49.93,0.0,0.0,0.0,0.0
1,0,3,50.2,0.0,0.0,0.0,0.0
1,0,4,50.27,0.0,0.0,0.0,0.0
1,0,5,51.06,0.0,0.0,0.0,0.0
1,1,0,35.66,61.97,0.0,0.0,0.0
1,1,1,35.92,60.77,0.0,0.0,0.0
1,1,2,35.86,59.91,0.0,0.0,0.0
1,1,3,36.32,57.38,0.0,0.0,0.0
1,1,4,35.72,55.65,0.0,0.0,0.0
1,1,5,35.46,55.19,0.0,0.0,0.0
1,2,0,33.0,40.96,51.53,0.0,0.0
1,2,1,33.6,41.95,49.2,0.0,0.0
1,2,2,33.2,43.15,45.95,0.0,0.0
1,2,3,33.93,44.02,41.9,0.0,0.0
1,2,4,44.09,48.34,79.02,0.0,0.0
1,2,5,38.25,49.8,83.53,0.0,0.0
1,3,0,37.52,47.54,53.25,51.43,0.0
1,3,1,43.23,49.87,55.91,51.69,0.0
1,3,2,39.04,50.73,58.43,63.99,0.0
1,3,3,41.77,48.67,58.5,69.97,0.0
1,3,4,42.3,46.41,54.25,74.62,0.0
1,3,5,37.32,44.95,58.43,79.93,0.0
1,4,0,41.1,40.16,55.11,54.29,63.19
1,4,1,39.11,38.96,55.18,53.29,73.42
1,4,2,41.17,36.1,53.45,52.36,81.2
1,4,3,36.99,31.72,54.18,46.64,87.77
1,4,4,37.05,34.84,49.47,48.64,91.63
1,4,5,37.78,37.43,44.95,48.97,93.02
2,0,0,74.2,0.0,0.0,0.0,0.0
2,0,1,78.12,0.0,0.0,0.0,0.0
2,0,2,82.51,0.0,0.0,0.0,0.0
2,0,3,85.37,0.0,0.0,0.0,0.0
2,0,4,88.23,0.0,0.0,0.0,0.0
2,0,5,89.56,0.0,0.0,0.0,0.0
2,1,0,73.8,59.0,0.0,0.0,0.0
2,1,1,82.11,57.21,0.0,0.0,0.0
2,1,2,82.18,56.01,0.0,0.0,0.0
2,1,3,82.78,55.15,0.0,0.0,0.0
2,1,4,82.91,53.89,0.0,0.0,0.0
2,1,5,76.8,84.32,0.0,0.0,0.0
2,2,0,63.5,71.23,47.94,0.0,0.0
2,2,1,63.36,68.24,55.92,0.0,0.0
2,2,2,61.37,61.59,60.11,0.0,0.0
2,2,3,54.65,57.08,72.07,0.0,0.0
2,2,4,52.13,58.34,81.05,0.0,0.0
2,2,5,48.14,52.16,85.31,0.0,0.0
2,3,0,45.41,50.43,63.1,42.33,0.0
2,3,1,48.8,46.84,61.3,52.23,0.0
2,3,2,49.53,46.98,60.9,58.94,0.0
2,3,3,49.34,46.91,56.78,68.5,0.0
2,3,4,51.2,47.91,56.91,69.97,0.0
2,3,5,47.41,44.98,50.2,77.08,0.0
2,4,0,44.02,38.74,47.74,47.31,53.92
2,4,1,44.35,40.2,52.06,43.32,63.21
2,4,2,48.47,42.39,52.33,43.46,70.32
2,4,3,55.98,47.24,49.67,36.54,75.5
2,4,4,50.8,41.46,49.8,36.01,79.55
2,4,5,47.54,42.13,52.33,40.07,86.59
3,0,0,85.65,0.0,0.0,0.0,0.0
3,0,1,87.91,0.0,0.0,0.0,0.0
3,0,2,89.9,0.0,0.0,0.0,0.0
3,0,3,94.09,0.0,0.0,0.0,0.0
3,0,4,95.42,0.0,0.0,0.0,0.0
3,0,5,97.01,0.0,0.0,0.0,0.0
3,1,0,78.67,68.17,0.0,0.0,0.0
3,1,1,74.95,80.07,0.0,0.0,0.0
3,1,2,71.83,87.51,0.0,0.0,0.0
3,1,3,67.44,90.23,0.0,0.0,0.0
3,1,4,71.1,93.49,0.0,0.0,0.0
3,1,5,68.77,94.35,0.0,0.0,0.0
3,2,0,62.72,74.49,64.96,0.0,0.0
3,2,1,55.68,65.58,80.92,0.0,0.0
3,2,2,54.15,57.48,88.16,0.0,0.0
3,2,3,52.09,57.61,89.83,0.0,0.0
3,2,4,50.7,61.86,92.75,0.0,0.0
3,2,5,50.23,57.87,94.41,0.0,0.0
3,3,0,48.11,56.01,74.53,48.2,0.0
3,3,1,51.83,49.83,68.82,57.31,0.0
3,3,2,55.95,56.94,64.56,67.49,0.0
3,3,3,58.34,56.41,64.1,72.27,0.0
3,3,4,58.47,59.53,60.57,76.6,0.0
3,3,5,58.87,58.21,60.7,81.05,0.0
3,4,0,52.43,53.75,53.99,49.4,61.49
3,4,1,55.81,59.07,61.44,50.0,75.9
3,4,2,54.75,56.81,61.84,47.14,82.34
3,4,3,53.29,54.42,60.51,45.55,87.85
3,4,4,53.69,54.68,59.38,43.22,89.31
3,4,5,54.42,55.15,51.53,43.95,91.97
4,0,0,80.27,0.0,0.0,0.0,0.0
4,0,1,85.78,0.0,0.0,0.0,0.0
4,0,2,88.11,0.0,0.0,0.0,0.0
4,0,3,91.23,0.0,0.0,0.0,0.0
4,0,4,89.83,0.0,0.0,0.0,0.0
4,0,5,93.42,0.0,0.0,0.0,0.0
4,1,0,73.42,50.4,0.0,0.0,0.0
4,1,1,75.15,48.07,0.0,0.0,0.0
4,1,2,76.94,46.28,0.0,0.0,0.0
4,1,3,78.74,43.48,0.0,0.0,0.0
4,1,4,72.29,80.25,0.0,0.0,0.0
4,1,5,70.23,81.72,0.0,0.0,0.0
4,2,0,54.29,61.44,50.2,0.0,0.0
4,2,1,51.1,54.45,61.42,0.0,0.0
4,2,2,57.41,52.99,66.27,0.0,0.0
4,2,3,54.62,49.6,73.31,0.0,0.0
4,2,4,51.96,55.05,82.27,0.0,0.0
4,2,5,47.71,50.4,85.66,0.0,0.0
4,3,0,48.17,48.14,54.52,56.78,0.0
4,3,1,46.58,52.53,56.97,67.15,0.0
4,3,2,45.91,50.66,53.45,74.14,0.0
4,3,3,46.58,50.66,50.33,76.86,0.0
4,3,4,47.84,49.4,49.07,80.59,0.0
4,3,5,47.11,52.39,51.13,81.45,0.0
4,4,0,44.19,37.57,44.02,50.93,42.29
4,4,1,45.91,39.36,49.27,49.6,56.65
4,4,2,47.24,38.36,45.95,50.4,66.29
4,4,3,49.3,35.97,47.61,52.06,71.81
4,4,4,46.98,36.97,46.95,48.2,76.46
4,4,5,45.12,34.84,42.56,49.0,81.72
