run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,67.4,0.0,0.0,0.0,0.0
0,0,1,65.72,0.0,0.0,0.0,0.0
0,0,2,64.84,0.0,0.0,0.0,0.0
0,0,3,63.95,0.0,0.0,0.0,0.0
0,0,4,64.13,0.0,0.0,0.0,0.0
0,1,0,33.84,26.51,0.0,0.0,0.0
0,1,1,35.61,26.71,0.0,0.0,0.0
0,1,2,37.2,25.98,0.0,0.0,0.0
0,1,3,38.97,26.18,0.0,0.0,0.0
0,1,4,40.92,25.85,0.0,0.0,0.0
0,2,0,42.25,25.91,15.89,0.0,0.0
0,2,1,43.4,25.65,15.43,0.0,0.0
0,2,2,44.91,25.51,14.83,0.0,0.0
0,2,3,46.32,25.98,14.36,0.0,0.0
0,2,4,47.65,25.98,14.1,0.0,0.0
0,3,0,48.1,25.18,12.1,2.06,0.0
0,3,1,44.02,28.17,28.46,24.4,0.0
0,3,2,44.29,28.37,27.79,23.87,0.0
0,3,3,44.2,28.57,27.46,23.27,0.0
0,3,4,44.55,28.84,27.46,22.74,0.0
0,4,0,46.77,29.37,24.93,18.75,5.44
0,4,1,48.27,24.19,11.77,4.45,23.31
0,4,2,48.1,24.32,11.7,4.65,22.71
0,4,3,48.01,24.39,11.97,4.72,22.44
0,4,4,47.92,24.39,12.57,4.72,21.98
1,0,0,52.35,0.0,0.0,0.0,0.0
1,0,1,52.26,0.0,0.0,0.0,0.0
1,0,2,51.82,0.0,0.0,0.0,0.0
1,0,3,51.02,0.0,0.0,0.0,0.0
1,0,4,50.84,0.0,0.0,0.0,0.0
1,1,0,9.57,36.21,0.0,0.0,0.0
1,1,1,12.31,36.28,0.0,0.0,0.0
1,1,2,13.82,35.55,0.0,0.0,0.0
1,1,3,14.53,34.62,0.0,0.0,0.0
1,1,4,16.03,34.35,0.0,0.0,0.0
1,2,0,36.49,34.82,47.57,0.0,0.0
1,2,1,36.58,34.22,47.57,0.0,0.0
1,2,2,36.94,34.02,47.44,0.0,0.0
1,2,3,37.56,33.49,47.71,0.0,0.0
1,2,4,35.87,31.3,51.03,0.0,0.0
1,3,0,35.96,15.61,25.85,39.6,0.0
1,3,1,37.2,21.2,41.73,63.92,0.0
1,3,2,37.29,27.91,39.4,63.72,0.0
1,3,3,39.24,25.85,40.93,65.25,0.0
1,3,4,41.72,26.18,40.93,69.7,0.0
1,4,0,38.88,23.19,36.01,57.74,56.54
1,4,1,37.64,21.53,27.11,52.36,70.9
1,4,2,40.83,22.19,29.44,52.03,71.69
1,4,3,38.97,21.13,24.12,49.63,75.88
1,4,4,39.77,22.52,28.11,51.56,76.61
2,0,0,64.8,0.0,0.0,0.0,0.0
2,0,1,65.07,0.0,0.0,0.0,0.0
2,0,2,74.38,0.0,0.0,0.0,0.0
2,0,3,75.27,0.0,0.0,0.0,0.0
2,0,4,74.82,0.0,0.0,0.0,0.0
2,1,0,48.76,38.7,0.0,0.0,0.0
2,1,1,52.39,46.21,0.0,0.0,0.0
2,1,2,51.95,45.74,0.0,0.0,0.0
2,1,3,51.77,45.08,0.0,0.0,0.0
2,1,4,51.6,44.68,0.0,0.0,0.0
2,2,0,50.71,37.77,30.96,0.0,0.0
2,2,1,41.13,34.31,47.91,0.0,0.0
2,2,2,41.05,35.31,47.24,0.0,0.0
2,2,3,41.58,36.1,46.91,0.0,0.0
2,2,4,41.84,36.17,46.71,0.0,0.0
2,3,0,50.44,36.1,35.28,15.03,0.0
2,3,1,47.52,31.58,33.22,26.26,0.0
2,3,2,47.61,32.05,33.55,26.2,0.0
2,3,3,47.7,32.71,33.75,25.8,0.0
2,3,4,47.61,33.44,33.82,25.2,0.0
2,4,0,52.3,36.97,26.18,13.43,27.56
2,4,1,51.51,34.84,28.57,15.29,31.41
2,4,2,51.42,34.84,28.37,15.49,31.08
2,4,3,51.51,34.91,28.31,15.62,30.68
2,4,4,52.13,35.31,28.24,15.89,30.35
3,0,0,80.5,0.0,0.0,0.0,0.0
3,0,1,82.45,0.0,0.0,0.0,0.0
3,0,2,87.15,0.0,0.0,0.0,0.0
3,0,3,87.06,0.0,0.0,0.0,0.0
3,0,4,88.56,0.0,0.0,0.0,0.0
3,1,0,78.99,48.64,0.0,0.0,0.0
3,1,1,61.35,53.55,0.0,0.0,0.0
3,1,2,65.96,65.65,0.0,0.0,0.0
3,1,3,71.28,68.5,0.0,0.0,0.0
3,1,4,74.82,67.84,0.0,0.0,0.0
3,2,0,51.06,48.17,51.89,0.0,0.0
3,2,1,45.39,55.61,61.59,0.0,0.0
3,2,2,48.32,56.08,61.53,0.0,0.0
3,2,3,49.29,57.67,60.93,0.0,0.0
3,2,4,49.2,57.87,60.86,0.0,0.0
3,3,0,56.03,43.92,45.71,26.13,0.0
