run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,85.16,0.0,0.0,0.0,0.0
0,0,1,85.27,0.0,0.0,0.0,0.0
0,0,2,85.6,0.0,0.0,0.0,0.0
0,0,3,85.6,0.0,0.0,0.0,0.0
0,0,4,85.94,0.0,0.0,0.0,0.0
0,1,0,64.23,48.57,0.0,0.0,0.0
0,1,1,63.9,48.64,0.0,0.0,0.0
0,1,2,63.79,48.77,0.0,0.0,0.0
0,1,3,63.79,48.64,0.0,0.0,0.0
0,1,4,64.12,48.5,0.0,0.0,0.0
0,2,0,62.46,45.18,29.65,0.0,0.0
0,2,1,62.79,44.98,29.26,0.0,0.0
0,2,2,63.9,44.98,29.06,0.0,0.0
0,2,3,64.34,44.98,28.92,0.0,0.0
0,2,4,64.45,45.12,28.66,0.0,0.0
0,3,0,54.82,33.55,32.85,33.22,0.0
0,3,1,54.93,33.55,32.71,33.09,0.0
0,3,2,55.04,33.29,32.65,32.96,0.0
0,3,3,55.04,33.22,32.71,32.62,0.0
0,3,4,55.15,32.96,32.45,32.36,0.0
0,4,0,57.92,32.36,26.26,28.37,23.92
0,4,1,57.36,32.03,26.13,28.44,23.46
0,4,2,57.03,32.03,26.53,28.37,23.39
0,4,3,56.59,31.83,26.86,28.57,22.79
0,4,4,56.48,31.96,26.93,28.37,22.72
1,0,0,50.28,0.0,0.0,0.0,0.0
1,0,1,50.94,0.0,0.0,0.0,0.0
1,0,2,50.83,0.0,0.0,0.0,0.0
1,0,3,50.72,0.0,0.0,0.0,0.0
1,0,4,50.61,0.0,0.0,0.0,0.0
1,1,0,20.04,24.92,0.0,0.0,0.0
1,1,1,23.37,24.78,0.0,0.0,0.0
1,1,2,25.8,24.12,0.0,0.0,0.0
1,1,3,25.91,22.59,0.0,0.0,0.0
1,1,4,25.36,21.13,0.0,0.0,0.0
1,2,0,7.53,15.75,31.5,0.0,0.0
1,2,1,7.97,16.08,31.89,0.0,0.0
1,2,2,8.64,16.48,31.96,0.0,0.0
1,2,3,9.3,16.68,32.16,0.0,0.0
1,2,4,10.08,17.28,32.29,0.0,0.0
1,3,0,34.55,30.63,37.61,48.61,0.0
1,3,1,28.9,25.58,36.74,52.72,0.0
1,3,2,29.01,25.98,36.74,52.79,0.0
