run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,67.4,0.0,0.0,0.0,0.0
0,0,1,65.72,0.0,0.0,0.0,0.0
0,0,2,64.84,0.0,0.0,0.0,0.0
0,0,3,63.95,0.0,0.0,0.0,0.0
0,0,4,64.13,0.0,0.0,0.0,0.0
0,1,0,39.59,39.47,0.0,0.0,0.0
0,1,1,39.68,39.8,0.0,0.0,0.0
0,1,2,40.04,39.87,0.0,0.0,0.0
0,1,3,41.1,40.4,0.0,0.0,0.0
0,1,4,41.19,40.33,0.0,0.0,0.0
0,2,0,48.45,37.54,31.91,0.0,0.0
0,2,1,49.16,37.87,31.38,0.0,0.0
0,2,2,49.69,37.94,30.92,0.0,0.0
0,2,3,50.04,38.14,30.92,0.0,0.0
0,2,4,50.22,38.54,30.78,0.0,0.0
0,3,0,42.07,30.17,30.98,30.05,0.0
0,3,1,41.98,30.03,30.52,30.25,0.0
0,3,2,56.24,42.33,41.76,48.6,0.0
0,3,3,59.88,41.73,44.68,57.51,0.0
0,3,4,56.42,38.27,42.89,60.04,0.0
0,4,0,55.36,40.0,40.23,51.13,34.59
0,4,1,56.16,37.67,29.72,44.55,45.95
0,4,2,51.9,40.66,32.98,48.2,50.07
0,4,3,50.93,37.21,36.37,51.26,54.25
0,4,4,51.55,35.42,30.05,49.47,57.5
1,0,0,52.35,0.0,0.0,0.0,0.0
1,0,1,52.26,0.0,0.0,0.0,0.0
1,0,2,51.82,0.0,0.0,0.0,0.0
1,0,3,51.02,0.0,0.0,0.0,0.0
1,0,4,50.84,0.0,0.0,0.0,0.0
1,1,0,14.44,37.61,0.0,0.0,0.0
1,1,1,16.56,37.34,0.0,0.0,0.0
1,1,2,18.51,35.95,0.0,0.0,0.0
1,1,3,19.57,35.42,0.0,0.0,0.0
1,1,4,19.93,33.75,0.0,0.0,0.0
1,2,0,32.95,29.37,53.42,0.0,0.0
1,2,1,32.95,28.9,53.55,0.0,0.0
1,2,2,32.68,28.57,53.89,0.0,0.0
1,2,3,33.13,27.77,53.89,0.0,0.0
1,2,4,33.39,27.71,53.82,0.0,0.0
1,3,0,26.4,18.34,28.31,49.5,0.0
1,3,1,25.42,17.34,41.86,54.15,0.0
1,3,2,26.04,18.01,41.4,53.42,0.0
1,3,3,26.13,18.8,41.66,52.89,0.0
1,3,4,26.57,19.34,41.66,52.43,0.0
1,4,0,31.98,20.93,32.16,44.39,48.17
1,4,1,33.92,22.13,35.88,48.5,60.27
1,4,2,34.54,18.07,31.16,45.38,67.84
1,4,3,36.49,22.19,29.17,50.23,71.56
1,4,4,35.61,21.13,30.9,49.63,71.1
2,0,0,64.8,0.0,0.0,0.0,0.0
2,0,1,65.07,0.0,0.0,0.0,0.0
2,0,2,74.38,0.0,0.0,0.0,0.0
2,0,3,75.27,0.0,0.0,0.0,0.0
2,0,4,74.82,0.0,0.0,0.0,0.0
2,1,0,53.1,51.26,0.0,0.0,0.0
2,1,1,52.93,51.06,0.0,0.0,0.0
2,1,2,53.37,50.53,0.0,0.0,0.0
2,1,3,53.63,49.93,0.0,0.0,0.0
2,1,4,54.17,49.6,0.0,0.0,0.0
2,2,0,27.04,32.91,53.55,0.0,0.0
2,2,1,27.39,33.11,53.62,0.0,0.0
2,2,2,40.78,45.28,53.29,0.0,0.0
2,2,3,40.96,45.08,53.09,0.0,0.0
2,2,4,41.4,45.01,53.16,0.0,0.0
2,3,0,38.74,34.77,40.13,31.58,0.0
2,3,1,46.19,37.97,44.39,45.55,0.0
2,3,2,47.34,37.23,46.71,49.0,0.0
2,3,3,46.45,36.17,46.84,52.66,0.0
2,3,4,40.51,32.38,44.98,52.46,0.0
2,4,0,44.24,36.9,43.72,36.97,41.63
2,4,1,43.53,34.38,40.53,44.95,54.05
2,4,2,43.88,36.04,35.48,41.62,55.38
2,4,3,41.13,32.78,35.22,46.74,59.03
2,4,4,41.22,32.91,35.28,46.68,59.1
3,0,0,80.5,0.0,0.0,0.0,0.0
3,0,1,82.45,0.0,0.0,0.0,0.0
3,0,2,87.15,0.0,0.0,0.0,0.0
3,0,3,87.06,0.0,0.0,0.0,0.0
3,0,4,88.56,0.0,0.0,0.0,0.0
3,1,0,71.9,56.08,0.0,0.0,0.0
3,1,1,65.6,61.06,0.0,0.0,0.0
3,1,2,65.6,60.27,0.0,0.0,0.0
3,1,3,65.78,60.2,0.0,0.0,0.0
3,1,4,66.13,60.07,0.0,0.0,0.0
3,2,0,47.96,46.71,54.15,0.0,0.0
3,2,1,50.62,59.34,63.85,0.0,0.0
3,2,2,49.82,57.01,66.64,0.0,0.0
3,2,3,49.73,53.09,67.91,0.0,0.0
3,2,4,49.73,53.16,67.97,0.0,0.0
3,3,0,57.45,45.45,53.89,40.69,0.0
