run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,79.81,0.0,0.0,0.0,0.0
0,0,1,83.86,0.0,0.0,0.0,0.0
0,0,2,83.27,0.0,0.0,0.0,0.0
0,0,3,82.67,0.0,0.0,0.0,0.0
0,0,4,81.87,0.0,0.0,0.0,0.0
0,0,5,80.21,0.0,0.0,0.0,0.0
0,1,0,70.32,53.32,0.0,0.0,0.0
0,1,1,71.38,51.66,0.0,0.0,0.0
0,1,2,71.65,50.66,0.0,0.0,0.0
0,1,3,71.51,50.4,0.0,0.0,0.0
0,1,4,69.12,53.26,0.0,0.0,0.0
0,1,5,70.39,52.59,0.0,0.0,0.0
0,2,0,76.76,22.74,38.1,0.0,0.0
0,2,1,76.89,22.67,37.1,0.0,0.0
0,2,2,76.76,22.67,36.3,0.0,0.0
0,2,3,76.89,22.74,35.11,0.0,0.0
0,2,4,76.56,21.94,34.77,0.0,0.0
0,2,5,77.03,22.61,34.24,0.0,0.0
0,3,0,58.76,19.95,26.26,40.73,0.0
0,3,1,58.7,19.61,27.13,38.87,0.0
0,3,2,58.9,19.35,27.99,36.94,0.0
0,3,3,59.23,19.28,28.19,37.34,0.0
0,3,4,59.23,19.35,28.86,36.68,0.0
0,3,5,59.36,19.55,27.93,36.21,0.0
0,4,0,53.59,18.82,27.99,21.33,33.73
0,4,1,55.25,19.41,28.26,21.86,32.14
0,4,2,55.31,20.08,28.26,22.26,30.35
0,4,3,55.91,19.81,27.86,22.72,29.88
0,4,4,56.37,19.55,28.12,23.46,29.22
0,4,5,55.78,20.35,27.79,24.58,28.88
1,0,0,51.33,0.0,0.0,0.0,0.0
1,0,1,50.8,0.0,0.0,0.0,0.0
1,0,2,50.27,0.0,0.0,0.0,0.0
1,0,3,50.27,0.0,0.0,0.0,0.0
1,0,4,50.6,0.0,0.0,0.0,0.0
1,0,5,50.8,0.0,0.0,0.0,0.0
1,1,0,15.41,66.49,0.0,0.0,0.0
1,1,1,14.67,65.43,0.0,0.0,0.0
1,1,2,13.94,64.76,0.0,0.0,0.0
1,1,3,14.34,64.03,0.0,0.0,0.0
1,1,4,13.81,63.3,0.0,0.0,0.0
1,1,5,13.94,62.83,0.0,0.0,0.0
1,2,0,24.3,52.86,45.75,0.0,0.0
1,2,1,25.1,52.66,44.16,0.0,0.0
1,2,2,25.9,52.26,43.89,0.0,0.0
1,2,3,26.49,51.86,42.83,0.0,0.0
1,2,4,26.29,51.13,42.5,0.0,0.0
1,2,5,27.22,50.33,41.57,0.0,0.0
1,3,0,29.08,51.2,30.35,29.5,0.0
1,3,1,29.81,51.66,30.28,29.24,0.0
1,3,2,29.55,51.13,31.08,29.77,0.0
1,3,3,29.88,51.66,31.87,28.97,0.0
1,3,4,30.01,51.66,32.07,28.9,0.0
1,3,5,30.35,51.73,32.27,29.3,0.0
1,4,0,32.14,33.11,30.48,36.88,69.63
1,4,1,31.74,27.19,31.08,36.15,82.33
1,4,2,34.0,30.32,31.94,36.01,83.52
1,4,3,34.66,32.98,30.61,35.42,82.72
1,4,4,31.67,29.45,36.06,33.22,87.77
1,4,5,30.41,29.59,35.79,33.55,88.04
2,0,0,73.94,0.0,0.0,0.0,0.0
2,0,1,72.41,0.0,0.0,0.0,0.0
2,0,2,72.07,0.0,0.0,0.0,0.0
2,0,3,70.88,0.0,0.0,0.0,0.0
2,0,4,69.75,0.0,0.0,0.0,0.0
2,0,5,69.35,0.0,0.0,0.0,0.0
2,1,0,51.2,67.71,0.0,0.0,0.0
2,1,1,52.99,66.05,0.0,0.0,0.0
2,1,2,52.46,67.38,0.0,0.0,0.0
2,1,3,53.46,66.91,0.0,0.0,0.0
2,1,4,54.06,65.91,0.0,0.0,0.0
2,1,5,54.65,64.85,0.0,0.0,0.0
2,2,0,51.0,53.09,24.34,0.0,0.0
2,2,1,53.72,52.96,21.61,0.0,0.0
2,2,2,55.12,52.69,20.21,0.0,0.0
2,2,3,56.58,52.29,18.95,0.0,0.0
2,2,4,57.38,53.02,16.56,0.0,0.0
2,2,5,52.19,52.23,23.4,0.0,0.0
2,3,0,54.52,57.08,3.72,8.7,0.0
2,3,1,55.78,57.87,4.59,7.44,0.0
2,3,2,56.32,58.67,4.72,6.64,0.0
2,3,3,57.18,59.0,5.05,6.05,0.0
2,3,4,57.45,59.2,4.99,5.71,0.0
2,3,5,56.65,60.2,5.12,5.51,0.0
2,4,0,47.21,51.3,14.03,1.86,36.45
2,4,1,50.07,52.29,14.36,2.13,33.0
2,4,2,52.33,53.62,14.03,2.13,30.61
2,4,3,53.46,54.15,13.5,2.26,28.09
2,4,4,54.45,54.02,14.23,2.06,26.36
2,4,5,55.12,53.95,13.9,1.99,24.97
3,0,0,81.4,0.0,0.0,0.0,0.0
3,0,1,80.73,0.0,0.0,0.0,0.0
3,0,2,78.94,0.0,0.0,0.0,0.0
3,0,3,76.74,0.0,0.0,0.0,0.0
3,0,4,74.35,0.0,0.0,0.0,0.0
3,0,5,72.03,0.0,0.0,0.0,0.0
3,1,0,72.16,74.35,0.0,0.0,0.0
3,1,1,64.19,84.58,0.0,0.0,0.0
3,1,2,58.27,87.38,0.0,0.0,0.0
3,1,3,57.94,89.7,0.0,0.0,0.0
3,1,4,59.07,89.37,0.0,0.0,0.0
3,1,5,65.98,90.76,0.0,0.0,0.0
3,2,0,54.68,74.02,65.69,0.0,0.0
3,2,1,46.91,68.17,77.66,0.0,0.0
3,2,2,42.79,64.58,80.65,0.0,0.0
3,2,3,43.52,62.19,82.65,0.0,0.0
3,2,4,43.85,61.26,83.44,0.0,0.0
3,2,5,43.39,64.98,84.31,0.0,0.0
3,3,0,55.48,65.45,55.19,44.55,0.0
3,3,1,53.75,61.33,47.41,65.29,0.0
3,3,2,56.81,61.86,45.88,67.69,0.0
3,3,3,59.0,59.67,40.89,71.81,0.0
3,3,4,55.42,62.46,43.88,72.21,0.0
3,3,5,58.01,62.79,37.03,72.67,0.0
3,4,0,55.48,61.99,45.68,39.36,62.68
3,4,1,53.75,60.86,41.22,37.97,74.97
3,4,2,55.15,59.47,49.2,35.9,77.82
3,4,3,54.22,60.33,43.35,37.77,81.54
