run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,85.16,0.0,0.0,0.0,0.0
0,0,1,85.27,0.0,0.0,0.0,0.0
0,0,2,85.6,0.0,0.0,0.0,0.0
0,0,3,85.6,0.0,0.0,0.0,0.0
0,0,4,85.94,0.0,0.0,0.0,0.0
0,1,0,78.29,50.1,0.0,0.0,0.0
0,1,1,78.41,50.1,0.0,0.0,0.0
0,1,2,78.52,50.37,0.0,0.0,0.0
0,1,3,78.74,49.97,0.0,0.0,0.0
0,1,4,78.85,49.57,0.0,0.0,0.0
0,2,0,75.42,43.46,19.88,0.0,0.0
0,2,1,70.99,40.27,25.47,0.0,0.0
0,2,2,71.21,40.0,25.13,0.0,0.0
0,2,3,71.43,39.73,24.8,0.0,0.0
0,2,4,71.76,39.47,24.53,0.0,0.0
0,3,0,75.3,38.01,18.62,18.8,0.0
0,3,1,66.67,31.76,18.35,33.02,0.0
0,3,2,66.89,31.69,17.95,32.96,0.0
0,3,3,67.0,31.36,18.02,32.43,0.0
0,3,4,67.22,31.23,17.82,32.43,0.0
0,4,0,67.88,34.68,12.5,13.16,33.36
0,4,1,56.15,36.41,27.73,36.08,52.76
0,4,2,53.05,33.69,27.59,42.66,57.94
0,4,3,55.37,37.01,31.65,48.17,57.87
0,4,4,55.48,37.67,31.65,45.12,59.0
1,0,0,50.28,0.0,0.0,0.0,0.0
1,0,1,50.94,0.0,0.0,0.0,0.0
1,0,2,50.83,0.0,0.0,0.0,0.0
1,0,3,50.72,0.0,0.0,0.0,0.0
1,0,4,50.61,0.0,0.0,0.0,0.0
1,1,0,50.61,19.67,0.0,0.0,0.0
1,1,1,50.61,19.67,0.0,0.0,0.0
1,1,2,50.61,19.67,0.0,0.0,0.0
1,1,3,50.61,19.67,0.0,0.0,0.0
1,1,4,50.61,19.73,0.0,0.0,0.0
1,2,0,29.79,11.83,0.13,0.0,0.0
1,2,1,28.13,11.16,0.13,0.0,0.0
1,2,2,26.69,10.5,0.2,0.0,0.0
1,2,3,25.25,10.3,0.2,0.0,0.0
1,2,4,24.81,9.57,0.2,0.0,0.0
1,3,0,38.98,19.27,9.97,36.06,0.0
1,3,1,38.98,19.27,9.7,35.59,0.0
1,3,2,38.87,19.4,9.44,35.39,0.0
