run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,85.26,0.0,0.0,0.0,0.0
0,0,1,84.99,0.0,0.0,0.0,0.0
0,0,2,84.93,0.0,0.0,0.0,0.0
0,0,3,84.53,0.0,0.0,0.0,0.0
0,0,4,84.13,0.0,0.0,0.0,0.0
0,1,0,70.12,33.05,0.0,0.0,0.0
0,1,1,69.52,32.91,0.0,0.0,0.0
0,1,2,69.52,32.51,0.0,0.0,0.0
0,1,3,69.46,32.38,0.0,0.0,0.0
0,1,4,69.32,32.25,0.0,0.0,0.0
0,2,0,68.99,10.84,33.18,0.0,0.0
0,2,1,69.52,10.84,32.45,0.0,0.0
0,2,2,69.65,10.7,31.65,0.0,0.0
0,2,3,70.19,10.37,31.12,0.0,0.0
0,2,4,70.52,10.24,30.12,0.0,0.0
0,3,0,68.19,26.13,42.82,55.28,0.0
0,3,1,70.92,20.68,41.09,60.2,0.0
0,3,2,72.24,16.82,40.62,58.41,0.0
0,3,3,72.05,16.89,40.89,58.27,0.0
0,3,4,68.79,27.26,39.89,70.9,0.0
0,4,0,70.78,20.94,42.49,51.96,33.07
0,4,1,70.78,18.22,37.17,57.41,38.45
0,4,2,70.92,18.15,37.1,57.14,38.11
0,4,3,66.73,24.14,41.82,61.79,46.35
0,4,4,65.74,30.32,41.42,61.33,56.64
1,0,0,49.87,0.0,0.0,0.0,0.0
1,0,1,50.13,0.0,0.0,0.0,0.0
1,0,2,50.0,0.0,0.0,0.0,0.0
1,0,3,50.0,0.0,0.0,0.0,0.0
1,0,4,50.0,0.0,0.0,0.0,0.0
1,1,0,39.44,59.31,0.0,0.0,0.0
1,1,1,39.97,58.78,0.0,0.0,0.0
1,1,2,40.57,58.64,0.0,0.0,0.0
1,1,3,41.1,57.91,0.0,0.0,0.0
1,1,4,41.5,57.65,0.0,0.0,0.0
1,2,0,40.9,51.13,56.91,0.0,0.0
1,2,1,40.97,50.93,55.58,0.0,0.0
1,2,2,41.57,51.13,54.85,0.0,0.0
1,2,3,40.7,45.08,63.48,0.0,0.0
1,2,4,40.97,45.28,63.21,0.0,0.0
1,3,0,40.57,48.4,44.29,39.87,0.0
1,3,1,40.57,48.14,44.09,39.8,0.0
1,3,2,40.57,48.27,44.56,39.47,0.0
1,3,3,39.71,47.61,36.19,46.78,0.0
1,3,4,39.77,47.61,36.45,46.45,0.0
1,4,0,39.64,43.75,47.88,40.8,50.63
1,4,1,33.73,38.83,44.82,33.62,61.53
1,4,2,33.73,39.03,44.89,33.95,60.86
1,4,3,37.92,41.62,47.61,38.01,61.79
1,4,4,37.92,41.42,47.54,38.01,61.66
2,0,0,67.09,0.0,0.0,0.0,0.0
2,0,1,66.62,0.0,0.0,0.0,0.0
2,0,2,66.02,0.0,0.0,0.0,0.0
2,0,3,65.62,0.0,0.0,0.0,0.0
2,0,4,64.96,0.0,0.0,0.0,0.0
2,1,0,50.6,65.71,0.0,0.0,0.0
2,1,1,49.53,65.38,0.0,0.0,0.0
2,1,2,50.4,65.25,0.0,0.0,0.0
2,1,3,51.0,64.65,0.0,0.0,0.0
2,1,4,51.4,63.99,0.0,0.0,0.0
2,2,0,45.74,48.11,36.04,0.0,0.0
2,2,1,45.88,48.9,34.97,0.0,0.0
2,2,2,45.88,49.5,34.38,0.0,0.0
2,2,3,45.94,50.1,34.04,0.0,0.0
2,2,4,45.88,50.37,33.44,0.0,0.0
2,3,0,39.83,48.11,10.64,40.4,0.0
