run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,85.26,0.0,0.0,0.0,0.0
0,0,1,84.99,0.0,0.0,0.0,0.0
0,0,2,84.93,0.0,0.0,0.0,0.0
0,0,3,84.53,0.0,0.0,0.0,0.0
0,0,4,84.13,0.0,0.0,0.0,0.0
0,1,0,70.12,33.05,0.0,0.0,0.0
0,1,1,69.52,32.91,0.0,0.0,0.0
0,1,2,69.39,32.38,0.0,0.0,0.0
0,1,3,69.39,32.25,0.0,0.0,0.0
0,1,4,69.39,32.18,0.0,0.0,0.0
0,2,0,69.12,10.97,33.24,0.0,0.0
0,2,1,69.59,11.1,32.71,0.0,0.0
0,2,2,69.79,10.97,31.78,0.0,0.0
0,2,3,70.39,10.24,31.12,0.0,0.0
0,2,4,70.52,10.11,30.19,0.0,0.0
0,3,0,63.55,10.51,23.14,25.38,0.0
0,3,1,64.01,10.37,23.27,24.65,0.0
0,3,2,64.34,10.11,23.4,23.79,0.0
0,3,3,64.61,9.57,23.47,22.86,0.0
0,3,4,65.01,9.11,23.74,22.46,0.0
0,4,0,65.41,6.12,22.01,21.4,27.62
0,4,1,65.6,5.98,22.34,21.53,26.96
0,4,2,65.6,5.98,22.41,22.06,26.16
0,4,3,65.6,5.98,22.74,22.39,25.1
0,4,4,65.8,5.85,22.87,22.59,24.5
1,0,0,49.87,0.0,0.0,0.0,0.0
1,0,1,50.07,0.0,0.0,0.0,0.0
1,0,2,50.0,0.0,0.0,0.0,0.0
1,0,3,50.0,0.0,0.0,0.0,0.0
1,0,4,50.0,0.0,0.0,0.0,0.0
1,1,0,39.38,59.44,0.0,0.0,0.0
1,1,1,39.77,58.78,0.0,0.0,0.0
1,1,2,40.5,58.78,0.0,0.0,0.0
1,1,3,41.04,58.24,0.0,0.0,0.0
1,1,4,41.5,57.78,0.0,0.0,0.0
1,2,0,40.9,51.0,56.24,0.0,0.0
1,2,1,41.24,51.26,55.44,0.0,0.0
1,2,2,41.77,51.4,54.65,0.0,0.0
1,2,3,40.37,45.35,60.76,0.0,0.0
1,2,4,40.24,45.68,60.49,0.0,0.0
1,3,0,45.88,47.34,43.43,39.34,0.0
1,3,1,40.37,39.43,36.65,47.97,0.0
1,3,2,40.57,39.76,36.85,47.57,0.0
1,3,3,40.84,39.89,37.05,47.04,0.0
1,3,4,41.04,39.96,37.12,46.84,0.0
1,4,0,42.16,39.3,44.89,42.72,52.62
1,4,1,35.86,32.71,43.96,42.06,66.18
1,4,2,41.3,42.42,48.61,41.86,72.16
1,4,3,36.85,30.32,42.36,40.0,82.72
1,4,4,39.04,33.11,42.23,40.47,83.85
2,0,0,67.09,0.0,0.0,0.0,0.0
2,0,1,66.56,0.0,0.0,0.0,0.0
2,0,2,66.09,0.0,0.0,0.0,0.0
2,0,3,65.43,0.0,0.0,0.0,0.0
2,0,4,65.09,0.0,0.0,0.0,0.0
2,1,0,50.53,65.85,0.0,0.0,0.0
2,1,1,49.0,66.98,0.0,0.0,0.0
2,1,2,49.8,66.31,0.0,0.0,0.0
2,1,3,50.33,65.32,0.0,0.0,0.0
2,1,4,50.93,64.78,0.0,0.0,0.0
2,2,0,45.68,48.44,36.1,0.0,0.0
2,2,1,45.35,48.84,35.24,0.0,0.0
2,2,2,45.74,49.5,34.24,0.0,0.0
2,2,3,45.88,49.9,34.04,0.0,0.0
2,2,4,45.88,50.23,33.58,0.0,0.0
2,3,0,39.63,48.11,8.58,40.27,0.0
