run,task,cycle,task_1,task_2,task_3,task_4,task_5
0,0,0,85.26,0.0,0.0,0.0,0.0
0,0,1,84.99,0.0,0.0,0.0,0.0
0,0,2,84.93,0.0,0.0,0.0,0.0
0,0,3,84.53,0.0,0.0,0.0,0.0
0,0,4,84.13,0.0,0.0,0.0,0.0
0,1,0,70.12,33.05,0.0,0.0,0.0
0,1,1,69.46,32.78,0.0,0.0,0.0
0,1,2,69.59,32.51,0.0,0.0,0.0
0,1,3,69.46,32.25,0.0,0.0,0.0
0,1,4,69.52,31.91,0.0,0.0,0.0
0,2,0,69.12,10.9,33.24,0.0,0.0
0,2,1,69.85,11.17,32.58,0.0,0.0
0,2,2,69.99,11.1,31.45,0.0,0.0
0,2,3,70.39,10.84,30.85,0.0,0.0
0,2,4,70.92,10.7,29.85,0.0,0.0
0,3,0,63.61,10.44,23.07,25.51,0.0
0,3,1,64.14,10.24,23.54,24.39,0.0
0,3,2,64.34,9.97,23.6,23.92,0.0
0,3,3,64.34,9.91,23.94,23.06,0.0
0,3,4,64.61,9.11,23.94,22.79,0.0
0,4,0,65.54,5.85,22.21,21.2,27.89
0,4,1,65.94,5.85,22.61,21.46,27.09
0,4,2,66.07,5.92,22.61,21.86,26.36
0,4,3,65.94,5.78,22.87,22.19,25.3
0,4,4,66.2,5.92,23.2,22.33,25.03
1,0,0,49.87,0.0,0.0,0.0,0.0
1,0,1,50.07,0.0,0.0,0.0,0.0
1,0,2,50.0,0.0,0.0,0.0,0.0
1,0,3,50.0,0.0,0.0,0.0,0.0
1,0,4,50.0,0.0,0.0,0.0,0.0
1,1,0,39.38,59.44,0.0,0.0,0.0
1,1,1,39.91,58.71,0.0,0.0,0.0
1,1,2,40.64,58.51,0.0,0.0,0.0
1,1,3,41.24,57.91,0.0,0.0,0.0
1,1,4,41.83,57.51,0.0,0.0,0.0
1,2,0,41.17,51.33,56.11,0.0,0.0
1,2,1,38.11,44.95,65.41,0.0,0.0
1,2,2,38.31,45.28,65.01,0.0,0.0
1,2,3,38.84,45.74,64.14,0.0,0.0
1,2,4,38.91,46.21,63.28,0.0,0.0
1,3,0,43.29,50.53,45.75,44.52,0.0
1,3,1,39.97,47.94,39.18,50.56,0.0
1,3,2,40.11,48.07,39.58,49.77,0.0
1,3,3,40.31,48.27,39.84,49.1,0.0
1,3,4,40.64,46.88,46.41,51.23,0.0
1,4,0,39.24,42.62,48.27,48.04,50.56
1,4,1,34.33,34.44,48.87,43.32,67.64
1,4,2,35.86,34.18,46.55,47.18,68.97
1,4,3,35.99,34.18,47.41,46.38,68.7
1,4,4,38.78,35.44,49.34,47.64,68.97
2,0,0,67.09,0.0,0.0,0.0,0.0
2,0,1,66.56,0.0,0.0,0.0,0.0
2,0,2,66.09,0.0,0.0,0.0,0.0
2,0,3,65.43,0.0,0.0,0.0,0.0
2,0,4,65.09,0.0,0.0,0.0,0.0
2,1,0,50.53,65.85,0.0,0.0,0.0
2,1,1,50.73,65.38,0.0,0.0,0.0
2,1,2,50.4,67.57,0.0,0.0,0.0
2,1,3,51.26,67.18,0.0,0.0,0.0
2,1,4,51.66,66.45,0.0,0.0,0.0
2,2,0,47.01,45.38,32.45,0.0,0.0
2,2,1,47.01,46.64,31.65,0.0,0.0
2,2,2,47.21,47.11,30.92,0.0,0.0
2,2,3,47.47,47.91,29.85,0.0,0.0
2,2,4,47.67,48.57,29.19,0.0,0.0
2,3,0,47.41,59.47,9.71,24.85,0.0
