task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,70.97,0.0,0.0,0.0,0.0,70.97,70.97
0,1,75.01,0.0,0.0,0.0,0.0,75.01,75.01
0,2,77.1,0.0,0.0,0.0,0.0,77.1,77.1
0,3,80.49,0.0,0.0,0.0,0.0,80.49,80.49
0,4,86.09,0.0,0.0,0.0,0.0,86.09,86.09
0,5,86.59,0.0,0.0,0.0,0.0,86.59,86.59
1,0,62.35,52.99,0.0,0.0,0.0,57.67,52.99
1,1,61.16,53.64,0.0,0.0,0.0,57.4,53.64
1,2,64.23,63.36,0.0,0.0,0.0,63.8,63.36
1,3,65.26,68.45,0.0,0.0,0.0,66.86,68.45
1,4,66.08,70.06,0.0,0.0,0.0,68.07,70.06
1,5,67.19,71.0,0.0,0.0,0.0,69.1,71.0
2,0,47.21,25.42,59.5,0.0,0.0,44.04,59.5
2,1,52.87,27.28,63.17,0.0,0.0,47.77,63.17
2,2,51.03,35.25,66.91,0.0,0.0,51.06,66.91
2,3,53.03,43.69,72.83,0.0,0.0,56.52,72.83
2,4,54.39,46.97,75.99,0.0,0.0,59.12,75.99
2,5,54.41,46.73,77.62,0.0,0.0,59.59,77.62
3,0,49.88,38.99,33.72,58.54,0.0,45.28,58.54
3,1,54.12,41.9,29.24,64.96,0.0,47.55,64.96
3,2,54.41,43.09,32.18,70.79,0.0,50.12,70.79
3,3,54.43,43.51,31.47,72.93,0.0,50.58,72.93
3,4,54.37,43.4,32.56,73.85,0.0,51.04,73.85
3,5,51.44,44.55,35.71,79.28,0.0,52.74,79.28
4,0,48.95,35.91,32.94,33.98,66.7,43.7,66.7
4,1,50.53,39.52,37.41,36.67,75.58,47.94,75.58
4,2,51.63,37.37,37.77,34.91,80.34,48.4,80.34
4,3,50.23,41.08,42.86,39.27,81.97,51.08,81.97
4,4,50.13,42.18,43.7,40.95,83.81,52.15,83.81
4,5,49.78,42.5,43.77,42.09,85.89,52.81,85.89
