task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,70.97,0.0,0.0,0.0,0.0,70.97,70.97
0,1,75.01,0.0,0.0,0.0,0.0,75.01,75.01
0,2,77.1,0.0,0.0,0.0,0.0,77.1,77.1
0,3,80.49,0.0,0.0,0.0,0.0,80.49,80.49
0,4,86.09,0.0,0.0,0.0,0.0,86.09,86.09
0,5,86.59,0.0,0.0,0.0,0.0,86.59,86.59
1,0,72.92,56.57,0.0,0.0,0.0,64.74,56.57
1,1,69.34,59.99,0.0,0.0,0.0,64.67,59.99
1,2,70.0,60.66,0.0,0.0,0.0,65.33,60.66
1,3,71.86,60.85,0.0,0.0,0.0,66.36,60.85
1,4,68.66,75.7,0.0,0.0,0.0,72.18,75.7
1,5,65.83,79.15,0.0,0.0,0.0,72.49,79.15
2,0,59.29,59.19,53.71,0.0,0.0,57.4,53.71
2,1,52.59,47.82,64.54,0.0,0.0,54.98,64.54
2,2,54.32,50.6,66.27,0.0,0.0,57.06,66.27
2,3,54.6,56.8,71.46,0.0,0.0,60.95,71.46
2,4,52.92,56.02,78.43,0.0,0.0,62.46,78.43
2,5,52.52,56.41,83.41,0.0,0.0,64.11,83.41
3,0,47.73,51.59,55.47,53.44,0.0,52.06,53.44
3,1,48.46,49.71,54.25,61.88,0.0,53.58,61.88
3,2,51.05,50.24,53.27,68.93,0.0,55.87,68.93
3,3,50.0,50.09,53.25,71.98,0.0,56.33,71.98
3,4,48.49,51.46,53.89,76.14,0.0,57.5,76.14
3,5,49.8,50.61,52.29,78.97,0.0,57.92,78.97
4,0,48.55,47.44,48.99,47.83,55.85,49.73,55.85
4,1,48.89,46.86,52.25,47.8,66.55,52.47,66.55
4,2,49.81,46.37,53.72,45.59,73.61,53.82,73.61
4,3,49.86,45.08,52.1,46.68,76.39,54.02,76.39
4,4,49.87,44.6,52.31,46.92,79.93,54.73,79.93
4,5,47.63,43.04,53.59,46.02,82.92,54.64,82.92
