task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,64.12,0.0,0.0,0.0,0.0,64.12,64.12
0,1,68.57,0.0,0.0,0.0,0.0,68.57,68.57
0,2,72.94,0.0,0.0,0.0,0.0,72.94,72.94
0,3,75.43,0.0,0.0,0.0,0.0,75.43,75.43
0,4,79.46,0.0,0.0,0.0,0.0,79.46,79.46
0,5,80.96,0.0,0.0,0.0,0.0,80.96,80.96
1,0,42.7,53.98,0.0,0.0,0.0,48.34,53.98
1,1,43.02,57.78,0.0,0.0,0.0,50.4,57.78
1,2,43.25,62.4,0.0,0.0,0.0,52.82,62.4
1,3,44.55,64.51,0.0,0.0,0.0,54.53,64.51
1,4,43.46,64.9,0.0,0.0,0.0,54.18,64.9
1,5,44.59,76.32,0.0,0.0,0.0,60.46,76.32
2,0,30.42,32.89,64.21,0.0,0.0,42.51,64.21
2,1,30.83,26.35,72.81,0.0,0.0,43.33,72.81
2,2,28.25,26.81,75.41,0.0,0.0,43.49,75.41
2,3,27.93,33.12,84.53,0.0,0.0,48.53,84.53
2,4,28.79,33.41,85.94,0.0,0.0,49.38,85.94
2,5,29.9,33.94,88.37,0.0,0.0,50.74,88.37
3,0,26.4,30.51,38.09,65.9,0.0,40.22,65.9
3,1,26.73,27.91,33.14,74.9,0.0,40.67,74.9
3,2,26.5,26.91,28.61,80.46,0.0,40.62,80.46
3,3,27.78,27.94,29.32,82.03,0.0,41.77,82.03
3,4,29.28,27.85,29.43,83.64,0.0,42.55,83.64
3,5,29.18,27.97,29.63,84.67,0.0,42.86,84.67
4,0,29.06,23.22,33.29,35.63,62.56,36.75,62.56
4,1,28.19,23.32,33.51,28.43,76.14,37.92,76.14
4,2,28.06,24.71,32.77,30.17,82.58,39.66,82.58
4,3,29.48,23.13,32.06,27.82,86.78,39.85,86.78
4,4,28.5,24.72,32.71,28.71,88.06,40.54,88.06
4,5,28.95,25.36,33.3,27.78,90.57,41.19,90.57
