task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,70.97,0.0,0.0,0.0,0.0,70.97,70.97
0,1,75.94,0.0,0.0,0.0,0.0,75.94,75.94
0,2,77.52,0.0,0.0,0.0,0.0,77.52,77.52
0,3,78.4,0.0,0.0,0.0,0.0,78.4,78.4
0,4,82.6,0.0,0.0,0.0,0.0,82.6,82.6
0,5,87.01,0.0,0.0,0.0,0.0,87.01,87.01
1,0,69.63,60.5,0.0,0.0,0.0,65.06,60.5
1,1,67.37,64.96,0.0,0.0,0.0,66.16,64.96
1,2,69.5,67.54,0.0,0.0,0.0,68.52,67.54
1,3,70.35,70.81,0.0,0.0,0.0,70.58,70.81
1,4,68.34,75.8,0.0,0.0,0.0,72.07,75.8
1,5,65.42,86.5,0.0,0.0,0.0,75.96,86.5
2,0,55.85,65.42,51.1,0.0,0.0,57.46,51.1
2,1,56.95,58.2,61.6,0.0,0.0,58.92,61.6
2,2,57.55,62.03,67.05,0.0,0.0,62.21,67.05
2,3,56.34,61.05,73.54,0.0,0.0,63.64,73.54
2,4,55.02,58.68,76.81,0.0,0.0,63.5,76.81
2,5,54.18,59.62,78.39,0.0,0.0,64.06,78.39
3,0,52.62,52.66,48.47,51.54,0.0,51.32,51.54
3,1,51.3,53.1,45.78,61.34,0.0,52.88,61.34
3,2,53.09,54.93,46.82,65.32,0.0,55.04,65.32
3,3,53.55,56.66,47.61,70.35,0.0,57.04,70.35
3,4,52.79,55.73,47.78,76.98,0.0,58.32,76.98
3,5,51.95,55.93,46.42,79.37,0.0,58.42,79.37
4,0,48.11,49.75,43.49,52.36,54.4,49.62,54.4
4,1,51.16,50.36,45.82,50.27,65.96,52.71,65.96
4,2,49.56,49.21,45.42,51.9,72.66,53.75,72.66
4,3,50.04,49.39,44.87,49.81,79.18,54.66,79.18
4,4,50.44,48.99,46.27,50.08,81.64,55.48,81.64
4,5,50.13,49.72,47.33,49.97,83.78,56.19,83.78
