task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
72.92,0.0,0.0,0.0,0.0,0,0,72.92,72.92
73.29,0.0,0.0,0.0,0.0,0,1,73.29,73.29
74.69,0.0,0.0,0.0,0.0,0,2,74.69,74.69
76.06,0.0,0.0,0.0,0.0,0,3,76.06,76.06
76.26,0.0,0.0,0.0,0.0,0,4,76.26,76.26
76.71,0.0,0.0,0.0,0.0,0,5,76.71,76.71
51.9,62.03,0.0,0.0,0.0,1,0,56.96,62.03
53.5,63.11,0.0,0.0,0.0,1,1,58.3,63.11
53.92,63.7,0.0,0.0,0.0,1,2,58.81,63.7
56.02,62.83,0.0,0.0,0.0,1,3,59.42,62.83
56.3,62.53,0.0,0.0,0.0,1,4,59.42,62.53
57.02,62.17,0.0,0.0,0.0,1,5,59.6,62.17
52.6,43.71,44.25,0.0,0.0,2,0,46.85,44.25
50.97,42.34,45.28,0.0,0.0,2,1,46.2,45.28
50.2,41.09,44.87,0.0,0.0,2,2,45.39,44.87
49.51,43.34,44.93,0.0,0.0,2,3,45.93,44.93
49.39,42.99,45.18,0.0,0.0,2,4,45.85,45.18
50.68,45.25,43.96,0.0,0.0,2,5,46.63,43.96
50.41,45.26,29.01,38.23,0.0,3,0,40.73,38.23
50.85,45.8,25.67,42.9,0.0,3,1,41.3,42.9
51.66,46.34,24.71,42.73,0.0,3,2,41.36,42.73
51.49,46.37,25.56,42.18,0.0,3,3,41.4,42.18
53.77,48.36,29.16,49.04,0.0,3,4,45.08,49.04
52.86,49.28,30.56,49.88,0.0,3,5,45.64,49.88
48.26,41.68,34.3,35.15,48.81,4,0,41.64,48.81
49.02,40.29,33.65,36.12,55.07,4,1,42.83,55.07
51.4,40.58,32.72,36.68,60.59,4,2,44.39,60.59
50.82,41.51,34.32,37.95,61.06,4,3,45.13,61.06
51.78,40.13,33.36,37.49,62.79,4,4,45.11,62.79
49.92,38.88,38.4,38.46,69.14,4,5,46.96,69.14
