task_1,task_2,task_3,task_4,task_5,task,cycle,average_learning_accuracy,average_accuracy,average_forgetting
69.19,0.0,0.0,0.0,0.0,0,0,13.838,69.19,0.0
73.852,0.0,0.0,0.0,0.0,0,1,14.7704,73.852,-4.662000000000006
76.444,0.0,0.0,0.0,0.0,0,2,15.2888,76.444,-2.5919999999999987
76.764,0.0,0.0,0.0,0.0,0,3,15.352799999999998,76.764,-0.3199999999999932
76.682,0.0,0.0,0.0,0.0,0,4,15.336400000000001,76.682,0.08199999999999363
76.974,0.0,0.0,0.0,0.0,0,5,15.3948,76.974,-0.21000000000000796
77.188,0.0,0.0,0.0,0.0,0,6,15.4376,77.188,-0.21399999999999864
57.548,53.562,0.0,0.0,0.0,1,0,22.222,55.555,19.64
60.936,52.176,0.0,0.0,0.0,1,1,22.6224,56.556,8.818999999999999
61.931999999999995,51.684000000000005,0.0,0.0,0.0,1,2,22.7232,56.808,8.567
62.462,51.274,0.0,0.0,0.0,1,3,22.7472,56.868,8.506999999999998
62.95399999999999,51.58,0.0,0.0,0.0,1,4,22.906799999999997,57.266999999999996,8.108000000000004
63.513999999999996,51.022,0.0,0.0,0.0,1,5,22.9072,57.268,8.107000000000003
63.924,50.492000000000004,0.0,0.0,0.0,1,6,22.8832,57.208,8.166999999999998
57.322,36.134,43.47,0.0,0.0,2,0,27.385199999999998,45.641999999999996,18.647
57.348,40.548,46.266,0.0,0.0,2,1,28.8324,48.054,10.019333333333334
57.544000000000004,40.97,45.876,0.0,0.0,2,2,28.878000000000004,48.13,10.875333333333332
57.94200000000001,41.544,45.4,0.0,0.0,2,3,28.9772,48.29533333333333,10.709999999999999
58.024,41.798,44.948,0.0,0.0,2,4,28.954,48.25666666666667,10.748666666666665
59.31199999999999,45.57,44.976,0.0,0.0,2,5,29.971600000000002,49.952666666666666,9.052666666666669
59.59400000000001,45.61,44.362,0.0,0.0,2,6,29.9132,49.855333333333334,9.149999999999997
59.58,47.522000000000006,32.936,32.964,0.0,3,0,34.6004,43.2505,12.325999999999999
58.864,45.638,28.656,38.786,0.0,3,1,34.388799999999996,42.986,9.509
58.822,47.324,29.854000000000003,38.268,0.0,3,2,34.8536,43.567,10.383499999999998
59.391999999999996,47.844,31.18,37.815999999999995,0.0,3,3,35.2464,44.058,9.892500000000002
59.196000000000005,47.858,30.624000000000002,40.298,0.0,3,4,35.5952,44.494,9.456499999999998
60.976,46.062,33.058,46.004000000000005,0.0,3,5,37.220000000000006,46.525000000000006,7.8035
59.172000000000004,44.07,33.706,49.204,0.0,3,6,37.2304,46.538000000000004,9.216999999999999
56.815999999999995,45.266,35.726,40.208,44.464,4,0,44.495999999999995,44.495999999999995,12.051000000000002
53.465999999999994,38.55,34.678000000000004,39.744,58.628,4,1,45.0132,45.0132,9.1236
54.34400000000001,39.1,34.983999999999995,37.827999999999996,59.638,4,2,45.1788,45.1788,11.7908
55.648,39.218,36.194,39.134,61.65599999999999,4,3,46.370000000000005,46.370000000000005,10.801599999999999
54.452,40.12,36.78,38.628,63.782,4,4,46.7524,46.7524,10.822799999999999
54.372,39.882,37.14,40.17,65.458,4,5,47.4044,47.4044,10.596
53.974000000000004,39.88,39.078,40.13,66.508,4,6,47.914,47.914,10.421599999999998
