task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,73.73,0.0,0.0,0.0,0.0,73.73,73.73
0,1,75.87,0.0,0.0,0.0,0.0,75.87,75.87
0,2,76.64,0.0,0.0,0.0,0.0,76.64,76.64
0,3,77.92,0.0,0.0,0.0,0.0,77.92,77.92
0,4,81.14,0.0,0.0,0.0,0.0,81.14,81.14
0,5,82.74,0.0,0.0,0.0,0.0,82.74,82.74
1,0,52.13,51.67,0.0,0.0,0.0,51.9,51.67
1,1,57.93,53.06,0.0,0.0,0.0,55.5,53.06
1,2,59.89,52.26,0.0,0.0,0.0,56.08,52.26
1,3,61.63,60.59,0.0,0.0,0.0,61.11,60.59
1,4,62.85,61.35,0.0,0.0,0.0,62.1,61.35
1,5,63.13,61.72,0.0,0.0,0.0,62.42,61.72
2,0,44.43,23.52,61.11,0.0,0.0,43.02,61.11
2,1,47.91,22.56,61.63,0.0,0.0,44.03,61.63
2,2,47.27,28.05,62.06,0.0,0.0,45.79,62.06
2,3,50.04,29.35,61.71,0.0,0.0,47.03,61.71
2,4,52.91,36.86,65.87,0.0,0.0,51.88,65.87
2,5,54.17,47.94,72.69,0.0,0.0,58.27,72.69
3,0,42.48,38.8,27.47,55.76,0.0,41.13,55.76
3,1,51.53,40.96,32.47,61.8,0.0,46.69,61.8
3,2,52.18,42.18,31.66,64.05,0.0,47.52,64.05
3,3,53.39,44.71,31.95,64.84,0.0,48.72,64.84
3,4,53.61,44.49,31.47,66.03,0.0,48.9,66.03
3,5,52.06,43.46,35.38,71.86,0.0,50.69,71.86
4,0,40.71,31.45,31.97,29.18,62.65,39.19,62.65
4,1,47.07,32.85,34.05,27.78,64.35,41.22,64.35
4,2,50.53,36.95,37.55,30.92,70.37,45.26,70.37
4,3,50.07,39.18,39.02,34.76,71.96,47.0,71.96
4,4,49.8,42.17,39.3,36.08,76.34,48.74,76.34
4,5,49.64,42.05,41.33,38.03,77.88,49.79,77.88
