task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,73.73,0.0,0.0,0.0,0.0,73.73,73.73
0,1,75.87,0.0,0.0,0.0,0.0,75.87,75.87
0,2,76.64,0.0,0.0,0.0,0.0,76.64,76.64
0,3,77.92,0.0,0.0,0.0,0.0,77.92,77.92
0,4,81.14,0.0,0.0,0.0,0.0,81.14,81.14
0,5,82.74,0.0,0.0,0.0,0.0,82.74,82.74
1,0,66.04,55.24,0.0,0.0,0.0,60.64,55.24
1,1,64.67,55.78,0.0,0.0,0.0,60.22,55.78
1,2,68.27,55.01,0.0,0.0,0.0,61.64,55.01
1,3,70.02,56.45,0.0,0.0,0.0,63.24,56.45
1,4,69.22,60.06,0.0,0.0,0.0,64.64,60.06
1,5,69.13,58.98,0.0,0.0,0.0,64.05,58.98
2,0,55.93,39.71,49.09,0.0,0.0,48.24,49.09
2,1,56.9,38.61,50.8,0.0,0.0,48.77,50.8
2,2,58.39,40.0,50.92,0.0,0.0,49.77,50.92
2,3,58.65,41.16,49.89,0.0,0.0,49.9,49.89
2,4,61.02,42.86,57.27,0.0,0.0,53.72,57.27
2,5,61.26,42.91,59.24,0.0,0.0,54.47,59.24
3,0,57.66,45.27,33.68,34.64,0.0,42.81,34.64
3,1,59.96,43.39,34.07,40.97,0.0,44.6,40.97
3,2,61.01,44.07,34.71,43.93,0.0,45.93,43.93
3,3,61.36,45.14,36.64,45.05,0.0,47.05,45.05
3,4,60.78,45.69,34.13,48.35,0.0,47.24,48.35
3,5,58.47,50.33,39.92,60.57,0.0,52.32,60.57
4,0,50.78,41.2,36.93,38.34,51.35,43.72,51.35
4,1,53.24,43.19,41.12,37.91,56.82,46.46,56.82
4,2,52.89,41.78,38.53,37.57,61.47,46.45,61.47
4,3,53.15,40.44,41.33,37.16,65.86,47.59,65.86
4,4,53.28,42.25,44.38,41.17,74.09,51.03,74.09
4,5,52.34,42.71,44.13,40.28,76.78,51.25,76.78
