task_1,task_2,task_3,task_4,task_5,task,cycle,average_accuracy,learning_accuracy
72.48,0.0,0.0,0.0,0.0,0,0,72.48,72.48
74.34,0.0,0.0,0.0,0.0,0,1,74.34,74.34
74.17,0.0,0.0,0.0,0.0,0,2,74.17,74.17
73.24,0.0,0.0,0.0,0.0,0,3,73.24,73.24
72.08,0.0,0.0,0.0,0.0,0,4,72.08,72.08
70.45,0.0,0.0,0.0,0.0,0,5,70.45,70.45
51.13,60.38,0.0,0.0,0.0,1,0,55.76,60.38
51.82,59.88,0.0,0.0,0.0,1,1,55.85,59.88
51.37,59.38,0.0,0.0,0.0,1,2,55.38,59.38
51.21,58.32,0.0,0.0,0.0,1,3,54.76,58.32
50.84,57.63,0.0,0.0,0.0,1,4,54.24,57.63
51.01,57.15,0.0,0.0,0.0,1,5,54.08,57.15
47.59,44.67,41.59,0.0,0.0,2,0,44.62,41.59
48.23,45.86,39.2,0.0,0.0,2,1,44.43,39.2
47.78,48.0,39.18,0.0,0.0,2,2,44.99,39.18
48.69,49.45,38.67,0.0,0.0,2,3,45.6,38.67
48.85,49.74,37.32,0.0,0.0,2,4,45.3,37.32
49.31,49.42,37.64,0.0,0.0,2,5,45.46,37.64
48.12,49.9,27.54,34.96,0.0,3,0,40.13,34.96
48.52,50.58,25.35,38.08,0.0,3,1,40.63,38.08
48.31,51.41,26.39,36.86,0.0,3,2,40.74,36.86
48.27,51.5,25.7,38.86,0.0,3,3,41.08,38.86
48.97,51.67,26.59,38.43,0.0,3,4,41.42,38.43
48.81,52.16,26.79,37.92,0.0,3,5,41.42,37.92
49.07,46.1,29.8,29.86,34.41,4,0,37.85,34.41
47.18,45.17,31.89,27.3,43.9,4,1,39.09,43.9
47.91,44.89,29.14,29.38,49.11,4,2,40.09,49.11
47.69,45.32,29.94,29.77,50.0,4,3,40.54,50.0
48.07,45.04,29.91,28.95,49.83,4,4,40.36,49.83
47.25,44.94,29.75,30.28,51.05,4,5,40.65,51.05
