task,cycle,task_1,task_2,task_3,task_4,task_5,average_accuracy,learning_accuracy
0,0,72.03,0.0,0.0,0.0,0.0,72.03,72.03
0,1,76.06,0.0,0.0,0.0,0.0,76.06,76.06
0,2,81.08,0.0,0.0,0.0,0.0,81.08,81.08
0,3,82.84,0.0,0.0,0.0,0.0,82.84,82.84
0,4,86.38,0.0,0.0,0.0,0.0,86.38,86.38
0,5,86.62,0.0,0.0,0.0,0.0,86.62,86.62
1,0,67.95,55.05,0.0,0.0,0.0,61.5,55.05
1,1,68.52,55.39,0.0,0.0,0.0,61.96,55.39
1,2,71.47,58.51,0.0,0.0,0.0,64.99,58.51
1,3,72.43,56.96,0.0,0.0,0.0,64.7,56.96
1,4,72.8,56.8,0.0,0.0,0.0,64.8,56.8
1,5,72.41,57.1,0.0,0.0,0.0,64.76,57.1
2,0,60.76,35.2,48.15,0.0,0.0,48.04,48.15
2,1,62.98,31.24,48.77,0.0,0.0,47.66,48.77
2,2,63.3,32.84,47.24,0.0,0.0,47.79,47.24
2,3,63.78,37.05,47.89,0.0,0.0,49.57,47.89
2,4,61.23,43.27,58.44,0.0,0.0,54.31,58.44
2,5,61.67,43.47,58.4,0.0,0.0,54.51,58.4
3,0,57.85,42.02,31.03,43.57,0.0,43.62,43.57
3,1,59.04,43.39,32.23,49.18,0.0,45.96,49.18
3,2,60.66,43.28,33.04,51.07,0.0,47.01,51.07
3,3,59.18,43.8,36.42,51.6,0.0,47.75,51.6
3,4,60.42,43.26,36.2,53.67,0.0,48.39,53.67
3,5,57.17,49.12,44.28,65.72,0.0,54.07,65.72
4,0,52.26,43.75,40.99,44.59,52.12,46.74,52.12
4,1,51.26,44.27,43.14,47.1,64.17,49.99,64.17
4,2,52.71,47.51,46.67,46.96,68.39,52.45,68.39
4,3,53.15,47.8,46.42,47.65,72.63,53.53,72.63
4,4,52.92,46.07,45.92,47.95,77.48,54.07,77.48
4,5,52.68,48.47,47.3,47.85,78.15,54.89,78.15
